location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1953,1953-05-26,146,-5.83,0.0,90.0,283.3
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1954,1954-05-19,139,-5.09,0.0,90.0,216.7
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1955,1955-05-20,140,-5.43,0.0,89.0,206.2
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1956,1956-05-13,134,-5.04,0.0,90.0,242.3
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1959,1959-05-07,127,-4.71,0.0,90.0,168.9
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1966,1966-05-21,141,-4.89,0.0,90.0,279.3
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1968,1968-05-10,131,-4.11,0.0,90.0,194.6
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1969,1969-05-13,133,-6.68,0.0,89.0,154.9
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1970,1970-05-10,130,-5.79,0.0,90.0,258.3
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1971,1971-05-20,140,-4.58,0.0,90.0,204.1
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1972,1972-05-06,127,-3.98,0.0,90.0,264.3
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1973,1973-05-13,133,-4.51,0.0,90.0,182.4
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1974,1974-05-18,138,-4.1,0.0,90.0,221.2
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1975,1975-05-17,137,-4.53,0.0,90.0,253.3
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1976,1976-05-16,137,-4.17,0.0,90.0,154.3
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1977,1977-05-16,136,-6.31,0.0,90.0,186.4
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1978,1978-05-14,134,-6.21,0.0,90.0,214.1
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1979,1979-05-26,146,-5.68,0.0,90.0,256.1
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1980,1980-05-23,144,-6.45,0.0,90.0,156.9
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1981,1981-05-17,137,-7.01,0.0,90.0,154.0
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1982,1982-05-13,133,-6.17,0.0,90.0,113.0
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1983,1983-05-05,125,-7.05,0.0,90.0,86.6
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1984,1984-05-26,147,-7.37,0.0,90.0,150.8
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1985,1985-05-12,132,-6.4,0.0,90.0,206.2
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1986,1986-05-10,130,-7.94,0.0,90.0,158.0
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1987,1987-05-11,131,-6.47,0.0,90.0,155.2
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1988,1988-05-15,136,-6.75,0.0,90.0,89.8
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1989,1989-05-19,139,-3.32,0.0,89.0,193.5
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1990,1990-05-09,129,-4.85,0.0,89.0,196.2
Japan/Abashiri,44.0177777777778,144.279722222222,37.58,1991,1991-05-10,130,-4.18,0.0,89.0,135.8
