location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Aikawa,38.0291666666667,138.24,5.5,1953,1953-04-20,110,3.59,60.2,79.0,333.8
Japan/Aikawa,38.0291666666667,138.24,5.5,1954,1954-04-11,101,4.32,94.9,66.0,272.5
Japan/Aikawa,38.0291666666667,138.24,5.5,1955,1955-04-12,102,3.46,49.6,80.0,364.6
Japan/Aikawa,38.0291666666667,138.24,5.5,1956,1956-04-17,108,2.96,56.3,70.0,413.2
Japan/Aikawa,38.0291666666667,138.24,5.5,1957,1957-04-22,112,3.13,31.3,84.0,319.3
Japan/Aikawa,38.0291666666667,138.24,5.5,1958,1958-04-17,107,4.3,88.3,71.0,362.6
Japan/Aikawa,38.0291666666667,138.24,5.5,1959,1959-04-09,99,4.72,97.6,60.0,424.8
Japan/Aikawa,38.0291666666667,138.24,5.5,1960,1960-04-14,105,4.19,89.2,71.0,384.4
Japan/Aikawa,38.0291666666667,138.24,5.5,1961,1961-04-15,105,3.15,39.8,74.0,372.3
Japan/Aikawa,38.0291666666667,138.24,5.5,1962,1962-04-14,104,3.8,45.0,74.0,370.8
Japan/Aikawa,38.0291666666667,138.24,5.5,1963,1963-04-17,107,2.85,37.8,77.0,320.7
Japan/Aikawa,38.0291666666667,138.24,5.5,1964,1964-04-17,108,3.62,30.0,74.0,291.7
Japan/Aikawa,38.0291666666667,138.24,5.5,1965,1965-04-28,118,3.29,30.7,74.0,348.2
Japan/Aikawa,38.0291666666667,138.24,5.5,1966,1966-04-21,111,4.22,87.3,70.0,361.8
Japan/Aikawa,38.0291666666667,138.24,5.5,1967,1967-04-18,108,3.58,65.4,82.0,359.7
Japan/Aikawa,38.0291666666667,138.24,5.5,1968,1968-04-17,108,3.25,57.7,80.0,390.2
Japan/Aikawa,38.0291666666667,138.24,5.5,1969,1969-04-23,113,3.25,64.1,59.0,390.4
Japan/Aikawa,38.0291666666667,138.24,5.5,1970,1970-04-25,115,2.4,26.2,77.0,341.2
Japan/Aikawa,38.0291666666667,138.24,5.5,1971,1971-04-20,110,3.42,59.2,83.0,333.4
Japan/Aikawa,38.0291666666667,138.24,5.5,1972,1972-04-16,107,5.06,105.2,63.0,389.9
Japan/Aikawa,38.0291666666667,138.24,5.5,1973,1973-04-16,106,4.71,83.5,57.0,347.7
Japan/Aikawa,38.0291666666667,138.24,5.5,1974,1974-04-23,113,2.93,26.7,84.0,382.5
