location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Akita,39.7175,140.099166666667,6.3,1953,1953-04-29,119,0.07,3.9,90.0,366.0
Japan/Akita,39.7175,140.099166666667,6.3,1953,1953-04-29,119,0.07,3.9,90.0,366.0
Japan/Akita,39.7175,140.099166666667,6.3,1954,1954-04-22,112,0.58,13.6,87.0,302.7
Japan/Akita,39.7175,140.099166666667,6.3,1954,1954-04-22,112,0.58,13.6,87.0,302.7
Japan/Akita,39.7175,140.099166666667,6.3,1955,1955-04-23,113,-0.1,2.1,88.0,374.1
Japan/Akita,39.7175,140.099166666667,6.3,1955,1955-04-23,113,-0.1,2.1,88.0,374.1
Japan/Akita,39.7175,140.099166666667,6.3,1956,1956-04-26,117,-0.09,5.1,85.0,374.3
Japan/Akita,39.7175,140.099166666667,6.3,1956,1956-04-26,117,-0.09,5.1,85.0,374.3
Japan/Akita,39.7175,140.099166666667,6.3,1957,1957-04-29,119,-0.0,1.3,90.0,346.1
Japan/Akita,39.7175,140.099166666667,6.3,1957,1957-04-29,119,-0.0,1.3,90.0,346.1
Japan/Akita,39.7175,140.099166666667,6.3,1958,1958-04-29,119,0.92,7.7,87.0,383.0
Japan/Akita,39.7175,140.099166666667,6.3,1958,1958-04-29,119,0.92,7.7,87.0,383.0
Japan/Akita,39.7175,140.099166666667,6.3,1959,1959-04-17,107,1.44,12.8,88.0,373.5
Japan/Akita,39.7175,140.099166666667,6.3,1959,1959-04-17,107,1.44,12.8,88.0,373.5
Japan/Akita,39.7175,140.099166666667,6.3,1960,1960-04-27,118,0.56,9.7,85.0,465.0
Japan/Akita,39.7175,140.099166666667,6.3,1960,1960-04-27,118,0.56,9.7,85.0,465.0
Japan/Akita,39.7175,140.099166666667,6.3,1961,1961-04-23,113,-0.09,2.6,89.0,334.3
Japan/Akita,39.7175,140.099166666667,6.3,1961,1961-04-23,113,-0.09,2.6,89.0,334.3
Japan/Akita,39.7175,140.099166666667,6.3,1962,1962-04-24,114,0.28,0.4,87.0,314.9
Japan/Akita,39.7175,140.099166666667,6.3,1962,1962-04-24,114,0.28,0.4,87.0,314.9
Japan/Akita,39.7175,140.099166666667,6.3,1963,1963-04-21,111,0.06,3.6,90.0,325.0
Japan/Akita,39.7175,140.099166666667,6.3,1963,1963-04-21,111,0.06,3.6,90.0,325.0
Japan/Akita,39.7175,140.099166666667,6.3,1964,1964-04-23,114,0.04,6.5,85.0,272.5
Japan/Akita,39.7175,140.099166666667,6.3,1964,1964-04-23,114,0.04,6.5,85.0,272.5
Japan/Akita,39.7175,140.099166666667,6.3,1965,1965-05-08,128,-0.2,0.0,89.0,343.2
Japan/Akita,39.7175,140.099166666667,6.3,1965,1965-05-08,128,-0.2,0.0,89.0,343.2
Japan/Akita,39.7175,140.099166666667,6.3,1966,1966-04-25,115,0.5,10.2,88.0,431.2
Japan/Akita,39.7175,140.099166666667,6.3,1966,1966-04-25,115,0.5,10.2,88.0,431.2
Japan/Akita,39.7175,140.099166666667,6.3,1967,1967-04-28,118,0.03,8.9,90.0,291.8
Japan/Akita,39.7175,140.099166666667,6.3,1967,1967-04-28,118,0.03,8.9,90.0,291.8
Japan/Akita,39.7175,140.099166666667,6.3,1968,1968-04-24,115,0.55,6.4,90.0,307.4
Japan/Akita,39.7175,140.099166666667,6.3,1968,1968-04-24,115,0.55,6.4,90.0,307.4
Japan/Akita,39.7175,140.099166666667,6.3,1969,1969-04-29,119,-0.65,4.8,79.0,315.7
Japan/Akita,39.7175,140.099166666667,6.3,1969,1969-04-29,119,-0.65,4.8,79.0,315.7
Japan/Akita,39.7175,140.099166666667,6.3,1970,1970-05-01,121,-0.75,1.5,89.0,378.6
Japan/Akita,39.7175,140.099166666667,6.3,1970,1970-05-01,121,-0.75,1.5,89.0,378.6
Japan/Akita,39.7175,140.099166666667,6.3,1971,1971-04-29,119,0.3,17.7,89.0,270.3
Japan/Akita,39.7175,140.099166666667,6.3,1971,1971-04-29,119,0.3,17.7,89.0,270.3
Japan/Akita,39.7175,140.099166666667,6.3,1972,1972-04-22,113,1.61,21.8,86.0,392.1
Japan/Akita,39.7175,140.099166666667,6.3,1972,1972-04-22,113,1.61,21.8,86.0,392.1
Japan/Akita,39.7175,140.099166666667,6.3,1973,1973-04-23,113,1.02,6.7,86.0,372.4
Japan/Akita,39.7175,140.099166666667,6.3,1973,1973-04-23,113,1.02,6.7,86.0,372.4
Japan/Akita,39.7175,140.099166666667,6.3,1974,1974-04-30,120,0.25,0.9,89.0,311.8
Japan/Akita,39.7175,140.099166666667,6.3,1974,1974-04-30,120,0.25,0.9,89.0,311.8
Japan/Akita,39.7175,140.099166666667,6.3,1975,1975-04-25,115,0.37,3.4,90.0,346.5
Japan/Akita,39.7175,140.099166666667,6.3,1975,1975-04-25,115,0.37,3.4,90.0,346.5
Japan/Akita,39.7175,140.099166666667,6.3,1976,1976-04-28,119,0.75,5.9,89.0,338.6
Japan/Akita,39.7175,140.099166666667,6.3,1976,1976-04-28,119,0.75,5.9,89.0,338.6
Japan/Akita,39.7175,140.099166666667,6.3,1977,1977-04-27,117,-0.29,5.8,89.0,300.2
Japan/Akita,39.7175,140.099166666667,6.3,1977,1977-04-27,117,-0.29,5.8,89.0,300.2
Japan/Akita,39.7175,140.099166666667,6.3,1978,1978-04-30,120,-0.35,4.6,86.0,340.7
