location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1956,1956-05-02,123,-1.42,2.1,87.0,260.8
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1957,1957-05-07,127,-1.73,0.3,90.0,263.6
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1958,1958-05-04,124,-0.42,1.0,89.0,290.2
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1959,1959-04-25,115,-0.17,2.9,90.0,257.3
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1960,1960-05-01,122,-1.12,1.3,89.0,301.5
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1961,1961-04-29,119,-1.71,0.0,90.0,221.7
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1962,1962-04-30,120,-1.34,0.0,90.0,221.5
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1963,1963-04-26,116,-0.96,2.1,90.0,219.8
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1964,1964-05-02,123,-1.33,3.0,88.0,228.7
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1965,1965-05-10,130,-1.8,0.0,90.0,229.1
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1966,1966-05-05,125,-1.2,1.5,90.0,361.4
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1967,1967-05-03,123,-1.56,8.5,90.0,181.4
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1968,1968-05-03,124,-0.71,7.3,90.0,186.6
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1969,1969-05-04,124,-2.31,4.0,86.0,184.2
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1970,1970-05-07,127,-2.39,0.0,90.0,270.5
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1971,1971-05-05,125,-1.23,4.8,89.0,226.3
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1972,1972-04-29,120,0.2,4.9,90.0,360.5
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1973,1973-04-28,118,0.07,2.1,88.0,264.9
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1974,1974-05-07,127,-0.87,0.0,90.0,188.7
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1975,1975-05-01,121,-1.18,0.3,90.0,281.1
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1976,1976-05-04,125,-0.54,0.9,89.0,212.1
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1977,1977-05-07,127,-1.69,1.8,90.0,204.3
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1978,1978-05-04,124,-1.8,1.6,87.0,246.6
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1979,1979-05-06,126,-1.13,1.4,88.0,220.5
Japan/Aomori,40.8216666666667,140.768888888889,2.8,1980,1980-05-09,130,-2.22,1.4,88.0,137.2
