location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1953,1953-05-16,136,-8.47,0.0,90.0,185.4
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1954,1954-05-18,138,-7.29,0.0,90.0,229.4
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1955,1955-05-14,134,-7.81,0.0,90.0,267.1
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1956,1956-05-13,134,-7.52,0.0,90.0,215.8
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1957,1957-05-14,134,-7.86,0.0,90.0,192.4
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1958,1958-05-15,135,-6.59,0.0,90.0,254.2
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1959,1959-05-13,133,-6.32,0.0,90.0,170.5
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1960,1960-05-16,137,-7.24,0.0,90.0,187.3
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1961,1961-05-12,132,-7.85,0.0,90.0,193.9
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1962,1962-05-11,131,-7.57,0.0,90.0,192.3
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1963,1963-05-13,133,-6.3,0.0,90.0,113.6
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1964,1964-05-16,137,-8.08,0.0,90.0,120.9
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1965,1965-05-19,139,-7.09,0.0,90.0,224.4
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1966,1966-05-18,138,-7.04,0.0,90.0,291.7
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1967,1967-05-08,128,-8.21,0.0,90.0,192.9
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1968,1968-05-05,126,-6.47,0.0,90.0,195.2
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1969,1969-05-09,129,-9.26,0.0,89.0,204.5
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1970,1970-05-10,130,-8.4,0.0,90.0,298.1
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1971,1971-05-15,135,-7.01,0.0,90.0,198.0
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1972,1972-05-04,125,-6.33,0.0,90.0,231.1
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1973,1973-05-11,131,-6.32,0.0,90.0,223.0
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1974,1974-05-15,135,-6.42,0.0,90.0,162.0
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1975,1975-05-12,132,-6.93,0.0,90.0,245.2
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1976,1976-05-14,135,-6.39,0.0,90.0,214.3
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1977,1977-05-14,134,-8.89,0.0,90.0,198.8
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1978,1978-05-11,131,-8.94,0.0,90.0,197.4
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1979,1979-05-15,135,-7.29,0.0,90.0,236.5
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1980,1980-05-19,140,-8.2,0.0,90.0,158.1
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1981,1981-05-07,127,-7.6,0.0,90.0,139.6
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1982,1982-05-07,127,-7.51,0.0,90.0,162.8
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1983,1983-04-29,119,-7.74,0.0,90.0,82.2
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1984,1984-05-17,138,-8.82,0.0,90.0,87.2
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1985,1985-05-06,126,-7.97,0.0,90.0,155.9
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1986,1986-05-08,128,-8.43,0.0,90.0,134.1
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1987,1987-05-10,130,-7.37,0.0,90.0,207.3
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1988,1988-05-11,132,-7.18,0.0,90.0,127.8
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1989,1989-05-06,126,-4.61,0.0,90.0,143.6
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1990,1990-05-03,123,-5.9,0.0,90.0,111.7
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1991,1991-05-07,127,-6.17,0.0,90.0,147.7
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1992,1992-05-11,132,-6.5,0.0,90.0,100.6
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1993,1993-05-11,131,-5.99,0.0,90.0,145.7
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1994,1994-05-13,133,-7.24,0.0,90.0,188.5
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1995,1995-05-04,124,-6.54,0.0,90.0,131.0
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1996,1996-05-13,134,-6.98,0.0,90.0,197.7
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1997,1997-05-07,127,-6.2,0.3,90.0,151.2
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1998,1998-04-25,115,-7.82,0.0,90.0,117.4
Japan/Asahikawa,43.7569444444444,142.372222222222,119.8,1999,1999-05-08,128,-7.1,0.0,90.0,160.5
