location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1953,1953-04-05,95,7.05,229.8,54.0,226.5
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1954,1954-04-05,95,7.59,269.6,36.0,296.9
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1955,1955-04-04,94,6.99,221.7,44.0,284.2
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1956,1956-04-11,102,6.81,214.4,50.0,316.6
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1957,1957-04-09,99,6.68,183.4,58.0,216.3
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1958,1958-04-07,97,7.51,251.6,33.0,207.3
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1959,1959-04-02,92,7.76,275.3,34.0,361.6
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1960,1960-03-30,90,7.65,271.4,35.0,153.9
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1961,1961-04-08,98,6.2,158.2,57.0,203.2
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1962,1962-04-08,98,6.9,192.8,53.0,161.5
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1963,1963-04-11,101,5.6,115.4,61.0,141.6
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1964,1964-04-13,104,6.55,168.4,46.0,369.4
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1965,1965-04-17,107,6.24,141.8,46.0,158.7
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1966,1966-04-05,95,8.02,303.1,40.0,349.7
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1967,1967-04-06,96,6.43,195.8,59.0,260.0
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1968,1968-04-04,95,6.32,188.1,66.0,231.2
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1969,1969-04-11,101,7.42,246.6,38.0,389.9
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1970,1970-04-17,107,5.78,126.7,53.0,178.6
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1971,1971-04-08,98,6.44,173.3,58.0,209.7
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1972,1972-04-07,98,8.02,284.4,36.0,380.4
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1973,1973-04-08,98,7.62,249.9,36.0,244.0
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1974,1974-04-07,97,5.97,145.3,62.0,275.4
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1975,1975-04-10,100,6.19,141.8,57.0,257.3
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1976,1976-04-07,98,7.32,248.1,46.0,269.7
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1977,1977-04-02,92,5.77,169.2,55.0,269.7
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1978,1978-04-16,106,6.29,165.5,50.0,216.9
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1979,1979-04-06,96,8.35,315.2,30.0,308.5
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1980,1980-04-14,105,6.08,146.8,47.0,287.2
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1981,1981-04-13,103,5.86,147.8,67.0,194.9
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1982,1982-04-03,93,6.72,196.8,54.0,261.5
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1983,1983-04-13,103,6.35,154.4,48.0,251.1
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1984,1984-04-23,114,4.14,52.2,74.0,243.1
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1985,1985-04-09,99,6.25,165.6,60.0,348.5
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1986,1986-04-16,106,5.53,120.5,69.0,263.6
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1987,1987-04-06,96,7.08,225.1,48.0,250.8
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1988,1988-04-11,102,7.09,228.7,45.0,238.6
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1989,1989-04-02,92,8.37,310.9,37.0,385.8
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1990,1990-04-02,92,7.9,288.0,42.0,265.5
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1991,1991-04-10,100,7.17,218.2,48.0,276.3
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1992,1992-04-03,94,7.7,257.2,38.0,345.1
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1993,1993-04-14,104,7.42,224.5,39.0,359.4
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1994,1994-04-11,101,6.16,147.2,50.0,364.2
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1995,1995-04-09,99,6.8,184.4,50.0,237.7
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1996,1996-04-08,99,6.54,190.8,58.0,216.5
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1997,1997-04-06,96,7.39,235.1,43.0,185.7
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1998,1998-04-09,99,7.27,222.5,45.0,401.7
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1999,1999-04-03,93,7.49,248.9,40.0,259.4
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2000,2000-04-11,102,7.26,237.3,38.0,292.4
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2001,2001-04-02,92,6.96,214.4,49.0,374.0
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2002,2002-03-29,88,8.57,334.2,41.0,284.3
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2003,2003-04-04,94,6.5,164.0,61.0,348.1
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2004,2004-04-06,97,7.41,235.4,43.0,210.1
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2005,2005-04-10,100,6.85,184.1,44.0,309.5
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2006,2006-04-01,91,6.97,216.3,59.0,314.0
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2007,2007-04-05,95,8.53,318.4,20.0,200.2
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2008,2008-04-02,93,7.21,223.4,45.0,253.3
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2009,2009-04-07,97,8.07,282.4,37.0,319.2
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2010,2010-04-08,98,7.61,252.5,47.0,327.4
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2011,2011-04-12,102,6.47,169.8,48.0,243.9
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2012,2012-04-11,102,6.61,185.4,57.0,361.0
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2013,2013-03-28,87,7.6,266.7,53.0,205.8
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2014,2014-04-04,94,7.34,236.9,49.0,359.3
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2015,2015-04-06,96,7.42,237.8,54.0,341.6
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2016,2016-04-06,97,7.98,280.9,37.0,271.6
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2017,2017-04-10,100,7.29,225.0,39.0,324.9
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2018,2018-03-28,87,7.81,285.5,50.0,288.6
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2019,2019-04-05,95,8.35,306.2,38.0,283.6
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2020,2020-04-03,94,9.38,403.6,14.0,341.6
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2021,2021-03-28,87,9.29,399.1,34.0,301.1
