location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Esashi,41.8672222222222,140.123888888889,3.72,1953,1953-05-15,135,-1.92,0.3,90.0,347.7
Japan/Esashi,41.8672222222222,140.123888888889,3.72,1954,1954-05-08,128,-1.67,0.1,89.0,277.7
Japan/Esashi,41.8672222222222,140.123888888889,3.72,1955,1955-05-08,128,-2.23,0.8,90.0,327.6
Japan/Esashi,41.8672222222222,140.123888888889,3.72,1956,1956-05-09,130,-2.06,0.0,90.0,319.9
Japan/Esashi,41.8672222222222,140.123888888889,3.72,1957,1957-05-09,129,-2.11,1.2,90.0,310.2
Japan/Esashi,41.8672222222222,140.123888888889,3.72,1958,1958-05-11,131,-0.91,0.0,89.0,375.6
Japan/Esashi,41.8672222222222,140.123888888889,3.72,1959,1959-05-06,126,-0.97,0.0,90.0,245.4
Japan/Esashi,41.8672222222222,140.123888888889,3.72,1960,1960-05-09,130,-1.72,1.4,90.0,256.6
Japan/Esashi,41.8672222222222,140.123888888889,3.72,1961,1961-05-04,124,-1.98,0.0,90.0,225.2
Japan/Esashi,41.8672222222222,140.123888888889,3.72,1962,1962-05-04,124,-1.66,0.0,90.0,229.2
Japan/Esashi,41.8672222222222,140.123888888889,3.72,1963,1963-05-06,126,-1.17,2.3,90.0,193.7
Japan/Esashi,41.8672222222222,140.123888888889,3.72,1964,1964-05-08,129,-1.92,0.9,90.0,214.4
Japan/Esashi,41.8672222222222,140.123888888889,3.72,1965,1965-05-20,140,-1.87,0.0,90.0,267.5
Japan/Esashi,41.8672222222222,140.123888888889,3.72,1966,1966-05-09,129,-1.81,1.6,90.0,361.2
Japan/Esashi,41.8672222222222,140.123888888889,3.72,1967,1967-05-07,127,-2.07,0.7,90.0,214.2
Japan/Esashi,41.8672222222222,140.123888888889,3.72,1968,1968-05-05,126,-1.07,0.7,90.0,206.4
