location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Fukui,36.0555555555556,136.2225,8.8,1953,1953-04-12,102,3.69,77.6,79.0,637.1
Japan/Fukui,36.0555555555556,136.2225,8.8,1954,1954-04-06,96,4.54,114.8,62.0,473.8
Japan/Fukui,36.0555555555556,136.2225,8.8,1955,1955-04-09,99,3.76,69.3,79.0,623.2
Japan/Fukui,36.0555555555556,136.2225,8.8,1956,1956-04-14,105,2.96,64.0,71.0,816.6
Japan/Fukui,36.0555555555556,136.2225,8.8,1957,1957-04-17,107,3.21,41.1,81.0,605.0
Japan/Fukui,36.0555555555556,136.2225,8.8,1958,1958-04-07,97,4.31,117.7,63.0,606.1
Japan/Fukui,36.0555555555556,136.2225,8.8,1959,1959-04-04,94,4.81,128.9,62.0,646.9
Japan/Fukui,36.0555555555556,136.2225,8.8,1960,1960-04-05,96,4.72,120.5,66.0,555.2
Japan/Fukui,36.0555555555556,136.2225,8.8,1961,1961-04-10,100,2.56,28.7,80.0,582.9
Japan/Fukui,36.0555555555556,136.2225,8.8,1962,1962-04-12,102,3.58,57.2,75.0,626.6
Japan/Fukui,36.0555555555556,136.2225,8.8,1963,1963-04-12,102,1.87,22.3,77.0,771.7
Japan/Fukui,36.0555555555556,136.2225,8.8,1964,1964-04-12,103,3.64,46.2,74.0,549.9
Japan/Fukui,36.0555555555556,136.2225,8.8,1965,1965-04-19,109,2.81,24.7,76.0,661.4
Japan/Fukui,36.0555555555556,136.2225,8.8,1966,1966-04-09,99,4.6,116.9,65.0,744.4
Japan/Fukui,36.0555555555556,136.2225,8.8,1967,1967-04-07,97,3.38,70.6,84.0,586.1
Japan/Fukui,36.0555555555556,136.2225,8.8,1968,1968-04-11,102,2.57,34.6,84.0,719.5
Japan/Fukui,36.0555555555556,136.2225,8.8,1969,1969-04-13,103,3.74,79.1,62.0,641.2
Japan/Fukui,36.0555555555556,136.2225,8.8,1970,1970-04-19,109,2.14,21.1,81.0,647.4
Japan/Fukui,36.0555555555556,136.2225,8.8,1971,1971-04-13,103,3.09,63.8,78.0,592.2
Japan/Fukui,36.0555555555556,136.2225,8.8,1972,1972-04-10,101,5.43,140.9,66.0,566.4
Japan/Fukui,36.0555555555556,136.2225,8.8,1973,1973-04-09,99,4.35,88.4,63.0,604.5
Japan/Fukui,36.0555555555556,136.2225,8.8,1974,1974-04-12,102,2.63,29.4,88.0,608.7
Japan/Fukui,36.0555555555556,136.2225,8.8,1975,1975-04-12,102,3.53,50.9,81.0,653.8
Japan/Fukui,36.0555555555556,136.2225,8.8,1976,1976-04-10,101,4.45,112.3,73.0,696.6
Japan/Fukui,36.0555555555556,136.2225,8.8,1977,1977-04-13,103,2.73,63.5,77.0,689.0
Japan/Fukui,36.0555555555556,136.2225,8.8,1978,1978-04-15,105,3.18,51.4,67.0,688.5
Japan/Fukui,36.0555555555556,136.2225,8.8,1979,1979-04-06,96,5.71,150.5,55.0,576.3
Japan/Fukui,36.0555555555556,136.2225,8.8,1980,1980-04-11,102,2.95,42.2,73.0,707.8
Japan/Fukui,36.0555555555556,136.2225,8.8,1981,1981-04-13,103,2.72,36.6,85.0,675.6
Japan/Fukui,36.0555555555556,136.2225,8.8,1982,1982-04-05,95,3.59,76.5,81.0,494.1
Japan/Fukui,36.0555555555556,136.2225,8.8,1983,1983-04-10,100,3.55,60.5,74.0,636.2
Japan/Fukui,36.0555555555556,136.2225,8.8,1984,1984-04-21,112,1.14,5.0,85.0,658.2
Japan/Fukui,36.0555555555556,136.2225,8.8,1985,1985-04-11,101,3.29,53.4,75.0,599.7
Japan/Fukui,36.0555555555556,136.2225,8.8,1986,1986-04-14,104,1.9,21.7,82.0,570.7
Japan/Fukui,36.0555555555556,136.2225,8.8,1987,1987-04-07,97,4.17,95.7,67.0,585.5
