location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1953,1953-04-11,101,0.44,15.8,90.0,168.1
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1954,1954-04-09,99,0.45,27.4,85.0,141.7
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1955,1955-04-11,101,0.03,13.5,86.0,208.7
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1956,1956-04-16,107,-0.43,13.4,89.0,304.5
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1957,1957-04-19,109,0.01,2.8,90.0,202.1
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1958,1958-04-09,99,1.27,30.2,89.0,225.0
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1959,1959-04-08,98,1.31,24.2,89.0,212.4
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1960,1960-04-14,105,1.19,23.5,87.0,167.1
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1961,1961-04-14,104,-0.07,5.0,89.0,178.8
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1962,1962-04-16,106,0.8,6.8,88.0,154.5
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1963,1963-04-13,103,-0.13,16.0,90.0,157.1
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1964,1964-04-13,104,0.29,8.2,87.0,278.2
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1965,1965-04-24,114,0.51,3.1,90.0,141.0
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1966,1966-04-14,104,1.28,31.9,88.0,248.4
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1967,1967-04-14,104,-0.18,19.4,90.0,215.2
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1968,1968-04-11,102,0.36,24.9,90.0,156.0
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1969,1969-04-14,104,-0.43,10.3,78.0,306.2
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1970,1970-04-21,111,-0.94,4.5,87.0,159.1
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1971,1971-04-14,104,0.67,27.2,89.0,168.2
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1972,1972-04-11,102,2.02,45.3,89.0,359.4
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1973,1973-04-14,104,1.69,16.7,85.0,162.4
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1974,1974-04-22,112,-0.38,4.3,90.0,249.2
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1975,1975-04-15,105,-0.33,5.6,90.0,299.8
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1976,1976-04-16,107,0.78,19.8,87.0,201.3
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1977,1977-04-15,105,-0.55,12.0,90.0,171.5
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1978,1978-04-22,112,-0.19,7.1,88.0,216.3
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1979,1979-04-11,101,2.15,29.3,87.0,265.9
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1980,1980-04-16,107,-0.45,11.1,84.0,156.0
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1981,1981-04-15,105,-0.33,10.0,89.0,107.8
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1982,1982-04-13,103,1.15,26.0,89.0,137.0
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1983,1983-04-14,104,-0.07,7.1,86.0,248.3
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1984,1984-04-28,119,-2.51,1.3,90.0,190.1
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1985,1985-04-19,109,-0.72,3.9,88.0,229.9
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1986,1986-04-22,112,-1.01,0.0,90.0,205.8
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1987,1987-04-10,100,0.47,24.6,88.0,201.5
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1988,1988-04-20,111,0.19,9.7,88.0,179.2
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1989,1989-04-06,96,2.28,26.8,90.0,245.0
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1990,1990-04-07,97,1.76,31.3,88.0,150.0
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1991,1991-04-12,102,0.82,19.4,83.0,199.5
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1992,1992-04-10,101,1.14,15.0,85.0,192.8
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1993,1993-04-16,106,1.48,16.8,85.0,253.3
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1994,1994-04-13,103,0.55,2.5,88.0,164.2
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1995,1995-04-15,105,1.05,16.6,89.0,199.5
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1996,1996-04-23,114,0.65,10.3,89.0,213.1
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1997,1997-04-10,100,0.98,17.9,88.0,174.4
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1998,1998-04-10,100,0.53,18.3,87.0,209.5
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,1999,1999-04-11,101,1.18,37.8,88.0,164.0
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2000,2000-04-17,108,1.33,16.5,90.0,149.0
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2001,2001-04-10,100,-0.25,20.4,90.0,236.2
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2002,2002-04-02,92,2.68,44.5,90.0,244.2
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2003,2003-04-12,102,0.99,17.0,89.0,263.3
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2004,2004-04-08,99,2.07,49.5,87.0,119.1
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2005,2005-04-16,106,0.52,5.9,85.0,223.7
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2006,2006-04-15,105,1.39,18.5,90.0,200.5
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2007,2007-04-09,99,3.25,42.9,86.0,124.3
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2008,2008-04-11,102,1.96,32.8,88.0,137.6
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2009,2009-04-09,99,2.13,30.5,83.0,219.0
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2010,2010-04-13,103,1.37,26.6,82.0,187.2
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2011,2011-04-15,105,0.25,8.6,83.0,149.4
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2012,2012-04-20,111,-0.14,11.7,89.0,240.1
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2013,2013-04-08,98,0.62,37.2,90.0,116.5
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2014,2014-04-11,101,0.36,29.1,90.0,305.3
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2015,2015-04-06,96,1.91,45.9,89.0,228.9
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2016,2016-04-03,94,2.69,69.6,84.0,150.9
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2017,2017-04-12,102,2.86,24.1,81.0,272.6
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2018,2018-04-02,92,3.01,80.9,89.0,300.2
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2019,2019-04-08,98,4.01,66.9,83.0,211.8
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2020,2020-04-01,92,4.98,100.1,78.0,308.0
Japan/Fukushima,37.7594444444444,140.470833333333,67.44,2021,2021-03-29,88,4.23,121.0,81.0,314.2
