location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Gifu,35.4002777777778,136.7625,12.7,1953,1953-04-09,99,3.43,67.0,84.0,185.5
Japan/Gifu,35.4002777777778,136.7625,12.7,1954,1954-04-05,95,4.18,96.6,72.0,183.6
Japan/Gifu,35.4002777777778,136.7625,12.7,1955,1955-04-01,91,3.7,88.0,82.0,203.7
Japan/Gifu,35.4002777777778,136.7625,12.7,1956,1956-04-07,98,3.19,89.8,84.0,261.2
Japan/Gifu,35.4002777777778,136.7625,12.7,1957,1957-04-12,102,2.91,29.5,86.0,166.0
Japan/Gifu,35.4002777777778,136.7625,12.7,1958,1958-04-08,98,4.2,105.6,76.0,186.0
Japan/Gifu,35.4002777777778,136.7625,12.7,1959,1959-04-03,93,4.91,126.4,72.0,291.3
Japan/Gifu,35.4002777777778,136.7625,12.7,1960,1960-04-03,94,4.5,105.4,75.0,104.3
Japan/Gifu,35.4002777777778,136.7625,12.7,1961,1961-04-07,97,2.84,54.8,86.0,171.1
Japan/Gifu,35.4002777777778,136.7625,12.7,1962,1962-04-12,102,3.3,44.6,81.0,105.6
Japan/Gifu,35.4002777777778,136.7625,12.7,1963,1963-04-09,99,1.37,43.0,88.0,132.7
Japan/Gifu,35.4002777777778,136.7625,12.7,1964,1964-04-09,100,3.37,30.2,82.0,209.0
Japan/Gifu,35.4002777777778,136.7625,12.7,1965,1965-04-16,106,2.5,17.1,87.0,118.4
Japan/Gifu,35.4002777777778,136.7625,12.7,1966,1966-04-06,96,3.97,88.0,82.0,296.5
Japan/Gifu,35.4002777777778,136.7625,12.7,1967,1967-04-05,95,3.14,65.2,87.0,267.1
Japan/Gifu,35.4002777777778,136.7625,12.7,1968,1968-04-09,100,2.2,58.2,90.0,200.8
Japan/Gifu,35.4002777777778,136.7625,12.7,1969,1969-04-11,101,3.79,83.2,66.0,282.5
Japan/Gifu,35.4002777777778,136.7625,12.7,1970,1970-04-15,105,2.22,22.9,84.0,165.4
Japan/Gifu,35.4002777777778,136.7625,12.7,1971,1971-04-07,97,3.41,70.7,85.0,166.4
Japan/Gifu,35.4002777777778,136.7625,12.7,1972,1972-04-05,96,5.06,111.1,82.0,371.1
Japan/Gifu,35.4002777777778,136.7625,12.7,1973,1973-04-08,98,4.18,69.4,76.0,170.3
Japan/Gifu,35.4002777777778,136.7625,12.7,1974,1974-04-10,100,2.63,36.3,89.0,179.7
Japan/Gifu,35.4002777777778,136.7625,12.7,1975,1975-04-08,98,2.88,35.5,87.0,203.4
Japan/Gifu,35.4002777777778,136.7625,12.7,1976,1976-04-02,93,4.16,104.9,77.0,281.5
Japan/Gifu,35.4002777777778,136.7625,12.7,1977,1977-04-02,92,2.69,77.4,88.0,247.0
Japan/Gifu,35.4002777777778,136.7625,12.7,1978,1978-04-11,101,2.49,32.0,80.0,143.9
Japan/Gifu,35.4002777777778,136.7625,12.7,1979,1979-04-05,95,4.92,104.3,79.0,262.5
Japan/Gifu,35.4002777777778,136.7625,12.7,1980,1980-04-07,98,2.14,38.8,78.0,216.5
Japan/Gifu,35.4002777777778,136.7625,12.7,1981,1981-04-07,97,2.06,52.2,87.0,210.4
Japan/Gifu,35.4002777777778,136.7625,12.7,1982,1982-03-30,89,3.4,78.6,87.0,199.4
Japan/Gifu,35.4002777777778,136.7625,12.7,1983,1983-04-07,97,3.42,62.3,80.0,189.0
Japan/Gifu,35.4002777777778,136.7625,12.7,1984,1984-04-16,107,0.65,10.6,88.0,146.7
Japan/Gifu,35.4002777777778,136.7625,12.7,1985,1985-04-05,95,3.5,71.6,80.0,279.2
Japan/Gifu,35.4002777777778,136.7625,12.7,1986,1986-04-07,97,2.36,41.4,85.0,168.0
Japan/Gifu,35.4002777777778,136.7625,12.7,1987,1987-04-06,96,3.59,75.0,79.0,236.9
Japan/Gifu,35.4002777777778,136.7625,12.7,1988,1988-04-10,101,3.72,60.2,82.0,197.1
Japan/Gifu,35.4002777777778,136.7625,12.7,1989,1989-03-29,88,5.35,115.0,77.0,358.8
Japan/Gifu,35.4002777777778,136.7625,12.7,1990,1990-03-27,86,4.92,120.5,78.0,303.3
Japan/Gifu,35.4002777777778,136.7625,12.7,1991,1991-04-06,96,3.75,92.8,79.0,223.2
Japan/Gifu,35.4002777777778,136.7625,12.7,1992,1992-03-31,91,4.96,118.3,75.0,180.6
Japan/Gifu,35.4002777777778,136.7625,12.7,1993,1993-04-05,95,4.19,58.2,77.0,212.4
Japan/Gifu,35.4002777777778,136.7625,12.7,1994,1994-04-05,95,3.03,26.7,86.0,192.0
Japan/Gifu,35.4002777777778,136.7625,12.7,1995,1995-04-05,95,3.61,59.2,82.0,184.0
Japan/Gifu,35.4002777777778,136.7625,12.7,1996,1996-04-08,99,3.25,70.3,86.0,221.2
Japan/Gifu,35.4002777777778,136.7625,12.7,1997,1997-03-30,89,3.92,82.7,83.0,136.3
Japan/Gifu,35.4002777777778,136.7625,12.7,1998,1998-03-31,90,4.61,101.3,74.0,290.9
Japan/Gifu,35.4002777777778,136.7625,12.7,1999,1999-04-01,91,4.18,95.1,77.0,188.5
Japan/Gifu,35.4002777777778,136.7625,12.7,2000,2000-04-10,101,3.53,51.1,81.0,187.5
Japan/Gifu,35.4002777777778,136.7625,12.7,2001,2001-04-06,96,3.43,78.1,82.0,263.7
Japan/Gifu,35.4002777777778,136.7625,12.7,2002,2002-03-27,86,4.88,114.5,78.0,295.7
Japan/Gifu,35.4002777777778,136.7625,12.7,2003,2003-03-31,90,3.51,53.9,83.0,263.7
Japan/Gifu,35.4002777777778,136.7625,12.7,2004,2004-04-01,92,4.15,91.2,83.0,144.1
Japan/Gifu,35.4002777777778,136.7625,12.7,2005,2005-04-08,98,3.83,56.6,73.0,188.4
Japan/Gifu,35.4002777777778,136.7625,12.7,2006,2006-04-05,95,4.2,78.8,84.0,270.8
Japan/Gifu,35.4002777777778,136.7625,12.7,2007,2007-04-02,92,5.48,109.2,76.0,167.2
Japan/Gifu,35.4002777777778,136.7625,12.7,2008,2008-03-29,89,4.26,103.0,81.0,206.4
Japan/Gifu,35.4002777777778,136.7625,12.7,2009,2009-04-01,91,5.23,111.6,71.0,287.6
Japan/Gifu,35.4002777777778,136.7625,12.7,2010,2010-03-31,90,5.1,131.7,70.0,347.1
Japan/Gifu,35.4002777777778,136.7625,12.7,2011,2011-04-04,94,3.36,56.0,73.0,163.8
Japan/Gifu,35.4002777777778,136.7625,12.7,2012,2012-04-06,97,3.64,69.4,81.0,263.2
Japan/Gifu,35.4002777777778,136.7625,12.7,2013,2013-03-29,88,4.31,109.7,84.0,182.2
Japan/Gifu,35.4002777777778,136.7625,12.7,2014,2014-03-31,90,4.22,103.7,82.0,375.8
