location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1953,1953-05-02,122,-2.17,5.4,90.0,225.7
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1954,1954-04-26,116,-1.03,12.4,88.0,135.6
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1955,1955-04-26,116,-1.87,5.1,88.0,174.7
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1956,1956-04-27,118,-1.85,7.6,87.0,230.1
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1957,1957-05-01,121,-2.33,0.2,90.0,215.9
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1958,1958-04-27,117,-0.28,8.8,89.0,217.3
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1959,1959-04-23,113,-0.29,5.5,90.0,195.8
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1960,1960-05-01,122,-1.54,4.9,89.0,278.2
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1961,1961-04-26,116,-1.94,3.1,90.0,134.8
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1962,1962-04-26,116,-1.65,3.4,89.0,169.9
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1963,1963-04-25,115,-1.67,4.3,90.0,217.8
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1964,1964-05-02,123,-1.8,5.4,87.0,208.2
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1965,1965-05-09,129,-2.02,0.0,89.0,167.2
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1966,1966-04-30,120,-0.74,12.1,90.0,280.0
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1967,1967-04-28,118,-1.91,17.9,90.0,117.6
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1968,1968-04-29,120,-0.84,20.3,90.0,107.6
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1969,1969-04-30,120,-2.39,8.8,87.0,156.4
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1970,1970-05-07,127,-2.7,1.2,90.0,149.0
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1971,1971-04-26,116,-1.67,11.8,88.0,246.8
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1972,1972-04-28,119,-0.06,12.9,88.0,374.9
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1973,1973-04-22,112,-0.24,5.9,86.0,211.0
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1974,1974-05-01,121,-1.61,1.4,90.0,177.4
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1975,1975-04-28,118,-1.52,2.6,90.0,243.6
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1976,1976-04-28,119,-0.36,5.0,89.0,145.2
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1977,1977-05-02,122,-2.28,6.2,90.0,134.8
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1978,1978-05-01,121,-2.35,3.4,88.0,221.0
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1979,1979-05-05,125,-0.31,5.6,88.0,204.2
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1980,1980-05-05,126,-2.0,3.7,88.0,99.9
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1981,1981-04-28,118,-1.97,2.2,89.0,142.0
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1982,1982-05-01,121,-1.96,7.2,90.0,141.8
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1983,1983-04-23,113,-1.65,0.7,90.0,179.6
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1984,1984-05-23,144,-4.36,0.0,90.0,162.1
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1985,1985-05-01,121,-2.56,1.4,87.0,145.4
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1986,1986-05-02,122,-2.85,0.0,90.0,126.2
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1987,1987-04-28,118,-1.69,7.9,89.0,181.4
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1988,1988-04-30,121,-2.37,4.4,87.0,115.4
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1989,1989-04-19,109,0.21,9.1,88.0,187.3
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1990,1990-04-18,108,0.07,13.4,87.0,139.7
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1991,1991-04-25,115,-1.06,2.6,83.0,184.8
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1992,1992-04-24,115,-0.41,12.6,88.0,121.9
