location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Hakodate,41.8166666666667,140.754166666667,35.0,1953,1953-05-09,129,-2.4,0.1,90.0,299.4
Japan/Hakodate,41.8166666666667,140.754166666667,35.0,1954,1954-05-07,127,-1.82,0.6,89.0,215.3
Japan/Hakodate,41.8166666666667,140.754166666667,35.0,1955,1955-05-14,134,-2.53,0.6,90.0,251.5
Japan/Hakodate,41.8166666666667,140.754166666667,35.0,1956,1956-05-08,129,-2.35,0.1,89.0,241.7
Japan/Hakodate,41.8166666666667,140.754166666667,35.0,1957,1957-05-12,132,-2.54,0.5,90.0,263.3
Japan/Hakodate,41.8166666666667,140.754166666667,35.0,1958,1958-05-10,130,-1.2,0.0,89.0,311.6
Japan/Hakodate,41.8166666666667,140.754166666667,35.0,1959,1959-05-02,122,-1.22,0.0,90.0,210.8
Japan/Hakodate,41.8166666666667,140.754166666667,35.0,1960,1960-05-10,131,-2.03,1.5,90.0,197.1
Japan/Hakodate,41.8166666666667,140.754166666667,35.0,1961,1961-05-05,125,-2.41,0.0,90.0,161.0
Japan/Hakodate,41.8166666666667,140.754166666667,35.0,1962,1962-05-08,128,-2.08,0.0,90.0,167.7
Japan/Hakodate,41.8166666666667,140.754166666667,35.0,1963,1963-05-08,128,-1.52,2.2,90.0,160.5
Japan/Hakodate,41.8166666666667,140.754166666667,35.0,1964,1964-05-10,131,-2.26,0.6,90.0,188.2
Japan/Hakodate,41.8166666666667,140.754166666667,35.0,1965,1965-05-16,136,-2.17,0.0,90.0,206.8
Japan/Hakodate,41.8166666666667,140.754166666667,35.0,1966,1966-05-11,131,-2.02,0.2,90.0,304.7
Japan/Hakodate,41.8166666666667,140.754166666667,35.0,1967,1967-05-09,129,-2.3,0.8,90.0,143.7
Japan/Hakodate,41.8166666666667,140.754166666667,35.0,1968,1968-05-07,128,-1.42,1.8,90.0,153.2
