location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1953,1953-04-08,98,5.29,136.6,73.0,263.7
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1954,1954-04-03,93,6.33,194.6,48.0,247.6
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1955,1955-04-02,92,5.46,150.5,69.0,280.7
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1957,1957-04-10,100,4.91,96.6,69.0,191.5
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1958,1958-04-06,96,5.87,165.3,57.0,260.5
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1959,1959-04-03,93,6.6,228.4,49.0,466.9
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1960,1960-04-06,97,6.45,200.1,64.0,140.5
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1961,1961-04-08,98,4.62,110.5,77.0,252.3
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1962,1962-04-12,102,5.03,102.1,72.0,135.0
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1963,1963-04-07,97,3.54,71.3,81.0,152.0
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1964,1964-04-06,97,5.25,93.6,65.0,347.7
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1965,1965-04-13,103,4.41,53.9,74.0,166.2
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1966,1966-04-05,95,6.1,192.7,61.0,365.1
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1967,1967-04-03,93,5.03,128.1,80.0,341.5
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1968,1968-04-05,96,4.09,108.5,82.0,299.7
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1969,1969-04-07,97,5.82,163.7,51.0,367.9
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1970,1970-04-08,98,4.18,67.1,77.0,214.5
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1971,1971-04-03,93,5.19,132.4,72.0,268.9
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1972,1972-04-03,94,6.95,208.4,54.0,563.2
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1973,1973-04-06,96,6.04,147.7,58.0,247.0
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1974,1974-04-02,92,4.73,96.6,80.0,274.5
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1975,1975-04-06,96,4.68,90.0,74.0,297.8
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1976,1976-03-31,91,6.01,178.2,66.0,434.5
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1977,1977-03-30,89,4.62,150.0,73.0,353.7
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1978,1978-04-10,100,4.4,91.3,66.0,176.6
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1979,1979-04-05,95,6.67,191.2,50.0,405.5
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1980,1980-04-08,99,3.89,92.1,68.0,315.6
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1981,1981-04-05,95,4.19,106.9,82.0,278.3
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1982,1982-03-30,89,5.27,134.4,78.0,301.7
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1983,1983-04-06,96,5.22,117.3,70.0,291.4
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1984,1984-04-12,103,2.78,25.3,85.0,197.5
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1985,1985-04-03,93,5.33,143.1,69.0,322.5
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1986,1986-04-07,97,4.04,79.9,79.0,266.4
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1987,1987-04-05,95,5.64,150.7,64.0,377.7
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1988,1988-04-12,103,5.83,150.1,62.0,262.3
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1989,1989-04-01,91,7.18,222.7,59.0,499.8
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1990,1990-04-01,91,6.74,214.9,56.0,400.8
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1991,1991-04-06,96,5.64,158.9,68.0,292.1
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1992,1992-04-02,93,6.69,200.0,63.0,298.5
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1993,1993-04-06,96,6.07,144.2,54.0,303.6
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1994,1994-04-08,98,4.85,82.0,74.0,307.6
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1995,1995-04-08,98,5.34,111.4,69.0,277.6
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1996,1996-04-04,95,5.12,130.7,79.0,293.4
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1997,1997-04-01,91,5.76,153.6,73.0,171.0
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1998,1998-04-03,93,6.32,177.2,61.0,420.2
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,1999,1999-04-01,91,6.2,178.9,65.0,300.8
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,2000,2000-04-09,100,5.53,133.9,67.0,239.6
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,2001,2001-04-04,94,5.45,149.3,62.0,348.7
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,2002,2002-03-26,85,6.72,211.5,65.0,343.4
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,2003,2003-03-29,88,5.36,111.8,68.0,389.5
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,2004,2004-04-03,94,6.03,163.7,65.0,230.1
Japan/Hamamatsu,34.7538888888889,137.711666666667,45.93,2005,2005-04-08,98,5.59,121.7,62.0,243.3
