location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1953,1953-04-12,102,3.95,73.5,81.0,187.6
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1954,1954-04-07,97,4.65,98.8,71.0,182.2
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1955,1955-04-08,98,3.81,68.1,78.0,218.0
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1956,1956-04-12,103,3.46,68.6,74.0,315.0
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1957,1957-04-16,106,3.35,30.1,84.0,186.5
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1958,1958-04-10,100,4.74,109.7,65.0,209.5
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1959,1959-04-05,95,5.1,116.9,65.0,318.6
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1960,1960-04-10,101,4.95,113.1,71.0,137.8
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1961,1961-04-12,102,3.3,56.0,79.0,189.0
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1962,1962-04-13,103,3.96,58.0,77.0,125.3
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1963,1963-04-12,102,2.36,45.4,82.0,150.0
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1964,1964-04-13,104,3.81,35.4,77.0,241.8
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1965,1965-04-24,114,3.11,21.7,81.0,188.1
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1966,1966-04-13,103,4.56,101.6,76.0,302.8
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1967,1967-04-12,102,3.65,63.6,87.0,252.9
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1968,1968-04-13,104,2.83,44.6,87.0,214.9
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1969,1969-04-14,104,3.87,69.8,63.0,279.4
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1970,1970-04-18,108,2.7,25.0,82.0,224.1
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1971,1971-04-10,100,3.69,66.9,85.0,181.4
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1972,1972-04-08,99,5.29,109.1,75.0,389.7
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1973,1973-04-08,98,4.7,74.7,72.0,203.5
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1974,1974-04-12,102,2.87,31.6,90.0,203.6
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1975,1975-04-11,101,3.44,42.3,86.0,230.5
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1976,1976-04-10,101,4.69,102.1,76.0,280.5
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1977,1977-04-10,100,3.03,71.8,81.0,271.4
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1978,1978-04-14,104,2.98,37.1,72.0,167.7
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1979,1979-04-09,99,5.41,114.7,65.0,292.7
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1980,1980-04-12,103,2.59,25.7,74.0,237.6
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1981,1981-04-11,101,2.63,43.9,87.0,227.6
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1982,1982-04-05,95,3.9,73.8,85.0,200.8
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1983,1983-04-11,101,3.98,58.3,78.0,205.8
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1984,1984-04-19,110,1.12,11.4,85.0,186.1
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1985,1985-04-11,101,3.78,55.0,77.0,291.5
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1986,1986-04-14,104,2.76,42.0,83.0,203.3
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1987,1987-04-09,99,4.06,73.1,72.0,238.7
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1988,1988-04-14,105,3.92,54.4,75.0,233.6
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1989,1989-04-04,94,5.49,107.8,76.0,366.7
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1990,1990-04-02,92,5.0,107.8,76.0,328.5
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1991,1991-04-09,99,4.03,67.7,73.0,283.6
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1992,1992-04-06,97,5.26,107.6,70.0,204.4
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1993,1993-04-11,101,4.83,76.0,73.0,238.1
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1994,1994-04-11,101,3.79,33.1,80.0,203.6
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1995,1995-04-10,100,4.24,67.6,77.0,237.2
Japan/Hikone,35.2761111111111,136.243888888889,87.3,1996,1996-04-17,108,3.58,56.7,83.0,233.3
