location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1958,1958-05-15,135,-4.13,0.0,90.0,341.1
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1959,1959-05-03,123,-4.33,0.0,90.0,239.5
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1960,1960-05-13,134,-5.12,0.0,89.0,255.7
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1961,1961-05-07,127,-5.57,0.0,90.0,192.9
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1962,1962-05-08,128,-5.06,0.0,90.0,174.1
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1963,1963-05-09,129,-4.22,0.0,90.0,224.9
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1964,1964-05-15,136,-5.53,0.0,89.0,137.9
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1965,1965-05-20,140,-4.59,0.0,90.0,206.3
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1966,1966-05-19,139,-4.6,0.0,90.0,306.4
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1967,1967-05-07,127,-4.95,0.0,90.0,109.2
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1968,1968-05-10,131,-4.17,2.1,90.0,125.3
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1969,1969-05-10,130,-6.03,0.0,89.0,188.5
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1970,1970-05-15,135,-5.91,0.0,90.0,284.1
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1971,1971-05-16,136,-4.51,0.0,90.0,271.5
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1972,1972-05-09,130,-3.77,0.0,90.0,312.5
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1973,1973-05-08,128,-3.88,0.0,90.0,215.7
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1974,1974-05-15,135,-4.53,0.0,90.0,87.8
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1975,1975-05-16,136,-5.08,0.0,90.0,405.0
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1976,1976-05-10,131,-4.14,0.0,90.0,173.6
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1977,1977-05-13,133,-5.85,0.0,90.0,160.8
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1978,1978-05-13,133,-5.87,0.0,90.0,256.7
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1979,1979-05-22,142,-4.45,0.0,90.0,296.3
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1980,1980-05-20,141,-4.91,0.0,90.0,182.2
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1981,1981-05-11,131,-5.09,0.0,90.0,245.6
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1982,1982-05-12,132,-5.14,0.0,90.0,208.4
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1983,1983-05-03,123,-5.65,0.0,90.0,192.1
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1984,1984-05-31,152,-6.39,0.0,90.0,166.9
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1985,1985-05-12,132,-5.37,0.0,90.0,197.8
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1986,1986-05-11,131,-5.99,0.0,90.0,180.4
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1987,1987-05-09,129,-5.05,0.0,90.0,194.0
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1988,1988-05-10,131,-5.42,0.0,90.0,117.6
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1989,1989-05-11,131,-2.77,0.0,89.0,214.0
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1990,1990-05-06,126,-3.9,0.0,89.0,187.5
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1991,1991-05-07,127,-3.84,0.0,88.0,209.9
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1992,1992-05-15,136,-4.67,0.0,89.0,115.8
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1993,1993-05-16,136,-3.46,0.0,89.0,158.4
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1994,1994-05-10,130,-4.87,0.0,90.0,212.9
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1995,1995-05-08,128,-4.26,0.3,90.0,213.5
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1996,1996-05-20,141,-4.91,0.0,90.0,166.8
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1997,1997-05-04,124,-4.27,0.0,90.0,186.9
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1998,1998-04-30,120,-5.43,0.0,90.0,151.7
