location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Iida,35.5233333333333,137.8225,516.4,1953,1953-04-12,102,0.45,32.2,87.0,329.5
Japan/Iida,35.5233333333333,137.8225,516.4,1954,1954-04-07,97,1.49,42.6,79.0,282.4
Japan/Iida,35.5233333333333,137.8225,516.4,1955,1955-04-07,97,0.43,38.5,87.0,336.8
Japan/Iida,35.5233333333333,137.8225,516.4,1956,1956-04-12,103,-0.33,48.8,85.0,415.8
Japan/Iida,35.5233333333333,137.8225,516.4,1957,1957-04-16,106,-0.43,3.1,90.0,254.4
Japan/Iida,35.5233333333333,137.8225,516.4,1958,1958-04-07,97,1.14,56.3,88.0,262.3
Japan/Iida,35.5233333333333,137.8225,516.4,1959,1959-03-31,90,2.27,73.5,83.0,487.4
Japan/Iida,35.5233333333333,137.8225,516.4,1960,1960-04-05,96,2.14,73.8,83.0,175.0
Japan/Iida,35.5233333333333,137.8225,516.4,1961,1961-04-13,103,-0.71,27.1,90.0,291.5
Japan/Iida,35.5233333333333,137.8225,516.4,1962,1962-04-17,107,-0.44,12.9,87.0,170.3
Japan/Iida,35.5233333333333,137.8225,516.4,1963,1963-04-14,104,-1.84,17.3,90.0,196.8
Japan/Iida,35.5233333333333,137.8225,516.4,1964,1964-04-12,103,0.72,7.9,85.0,323.2
Japan/Iida,35.5233333333333,137.8225,516.4,1965,1965-04-20,110,-0.71,2.6,90.0,162.7
Japan/Iida,35.5233333333333,137.8225,516.4,1966,1966-04-12,102,1.06,43.7,87.0,478.7
Japan/Iida,35.5233333333333,137.8225,516.4,1967,1967-04-14,104,-0.32,23.1,89.0,466.9
Japan/Iida,35.5233333333333,137.8225,516.4,1968,1968-04-13,104,-0.96,22.9,90.0,330.2
Japan/Iida,35.5233333333333,137.8225,516.4,1969,1969-04-13,103,0.85,36.1,75.0,424.2
Japan/Iida,35.5233333333333,137.8225,516.4,1970,1970-04-22,112,-1.32,5.7,90.0,254.4
Japan/Iida,35.5233333333333,137.8225,516.4,1971,1971-04-12,102,0.08,33.6,90.0,249.6
Japan/Iida,35.5233333333333,137.8225,516.4,1972,1972-04-14,105,2.37,54.1,89.0,560.0
Japan/Iida,35.5233333333333,137.8225,516.4,1973,1973-04-10,100,1.53,27.2,88.0,266.2
