location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1953,1953-05-11,131,-6.88,0.0,90.0,166.0
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1954,1954-05-09,129,-5.86,0.0,90.0,206.5
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1955,1955-05-13,133,-6.45,0.0,90.0,254.4
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1956,1956-05-09,130,-6.27,0.0,90.0,185.6
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1958,1958-05-14,134,-5.08,0.0,90.0,214.3
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1960,1960-05-15,136,-6.0,0.2,89.0,166.4
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1961,1961-05-07,127,-6.45,0.0,90.0,172.6
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1962,1962-05-05,125,-6.11,0.0,90.0,143.0
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1963,1963-05-12,132,-5.17,0.0,90.0,109.6
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1964,1964-05-10,131,-6.5,0.0,90.0,122.3
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1965,1965-05-20,140,-5.68,0.0,90.0,200.5
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1966,1966-05-17,137,-5.54,0.0,90.0,273.7
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1967,1967-05-10,130,-6.54,0.0,90.0,152.2
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1968,1968-05-06,127,-5.27,0.0,90.0,177.1
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1969,1969-05-13,133,-7.58,0.0,89.0,185.9
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1970,1970-05-13,133,-6.81,0.0,90.0,286.6
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1971,1971-05-17,137,-5.59,0.0,90.0,182.4
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1972,1972-05-06,127,-4.8,0.0,90.0,246.7
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1973,1973-05-10,130,-4.86,0.0,90.0,202.2
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1974,1974-05-14,134,-4.82,0.0,90.0,129.5
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1975,1975-05-11,131,-5.63,0.0,90.0,251.2
Japan/Iwamizawa,43.2116666666667,141.785833333333,42.3,1976,1976-05-13,134,-4.74,0.0,90.0,199.1
