location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1953,1953-04-08,98,7.48,290.8,44.0,204.5
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1953,1953-04-08,98,7.48,290.8,44.0,204.5
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1954,1954-04-02,92,8.58,348.5,30.0,321.4
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1954,1954-04-02,92,8.58,348.5,30.0,321.4
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1955,1955-04-04,94,7.76,308.8,43.0,230.4
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1955,1955-04-04,94,7.76,308.8,43.0,230.4
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1956,1956-04-12,103,6.58,219.8,44.0,305.8
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1956,1956-04-12,103,6.58,219.8,44.0,305.8
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1957,1957-04-10,100,6.75,218.1,53.0,225.3
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1957,1957-04-10,100,6.75,218.1,53.0,225.3
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1958,1958-04-06,96,8.08,334.4,35.0,261.2
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1958,1958-04-06,96,8.08,334.4,35.0,261.2
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1959,1959-03-30,89,8.76,392.1,22.0,339.4
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1959,1959-03-30,89,8.76,392.1,22.0,339.4
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1960,1960-04-03,94,8.68,368.5,38.0,186.2
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1960,1960-04-03,94,8.68,368.5,38.0,186.2
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1961,1961-04-02,92,7.26,259.8,49.0,285.0
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1961,1961-04-02,92,7.26,259.8,49.0,285.0
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1962,1962-04-12,102,7.37,252.2,49.0,133.4
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1962,1962-04-12,102,7.37,252.2,49.0,133.4
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1963,1963-04-06,96,5.48,162.2,61.0,195.9
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1963,1963-04-06,96,5.48,162.2,61.0,195.9
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1964,1964-04-04,95,7.85,294.5,33.0,294.4
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1964,1964-04-04,95,7.85,294.5,33.0,294.4
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1965,1965-04-11,101,6.78,211.3,43.0,171.3
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1965,1965-04-11,101,6.78,211.3,43.0,171.3
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1966,1966-04-04,94,8.64,378.1,38.0,368.9
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1966,1966-04-04,94,8.64,378.1,38.0,368.9
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1967,1967-04-03,93,7.29,279.4,50.0,286.9
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1967,1967-04-03,93,7.29,279.4,50.0,286.9
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1968,1968-04-04,95,6.22,208.8,65.0,202.1
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1968,1968-04-04,95,6.22,208.8,65.0,202.1
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1969,1969-04-08,98,7.65,292.9,33.0,247.8
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1969,1969-04-08,98,7.65,292.9,33.0,247.8
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1970,1970-04-08,98,6.43,192.2,45.0,128.9
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1970,1970-04-08,98,6.43,192.2,45.0,128.9
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1971,1971-04-02,92,7.07,248.2,42.0,314.7
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1971,1971-04-02,92,7.07,248.2,42.0,314.7
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1972,1972-04-06,97,9.31,405.6,22.0,479.8
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1972,1972-04-06,97,9.31,405.6,22.0,479.8
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1973,1973-03-31,90,8.83,357.4,28.0,210.8
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1973,1973-03-31,90,8.83,357.4,28.0,210.8
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1974,1974-04-06,96,7.22,256.4,48.0,278.5
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1974,1974-04-06,96,7.22,256.4,48.0,278.5
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1975,1975-04-05,95,7.68,277.6,45.0,251.5
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1975,1975-04-05,95,7.68,277.6,45.0,251.5
Japan/Izuhara,34.1977777777778,129.291944444444,3.65,1976,1976-04-07,98,8.24,336.9,36.0,323.7
Japan/Izuhara,34.1533333333333,129.222777777778,130.0,1976,1976-04-07,98,8.24,336.9,36.0,323.7
