location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1953,1953-04-10,100,2.48,59.1,82.0,439.9
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1954,1954-04-05,95,2.83,77.3,79.0,400.4
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1955,1955-04-08,98,2.35,39.4,82.0,424.8
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1956,1956-04-15,106,1.28,37.6,81.0,585.3
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1957,1957-04-16,106,1.49,22.3,85.0,461.5
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1958,1958-04-08,98,2.96,85.6,79.0,436.5
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1959,1959-04-01,91,3.58,85.5,73.0,506.4
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1960,1960-04-05,96,3.33,82.1,77.0,427.5
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1961,1961-04-10,100,1.06,22.7,84.0,394.8
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1962,1962-04-11,101,2.28,39.0,79.0,423.9
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1963,1963-04-14,104,0.58,15.7,84.0,472.6
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1964,1964-04-13,104,2.2,28.4,79.0,415.2
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1965,1965-04-18,108,1.55,15.7,83.0,443.9
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1966,1966-04-10,100,3.14,75.8,78.0,578.7
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1967,1967-04-09,99,1.67,46.0,88.0,461.5
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1968,1968-04-13,104,1.1,24.6,90.0,479.8
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1969,1969-04-13,103,1.88,46.3,71.0,512.9
Japan/Kanazawa,36.5897222222222,136.634722222222,5.7,1970,1970-04-19,109,0.57,13.1,83.0,456.7
