location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1953,1953-04-08,98,2.82,74.9,86.0,209.2
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1954,1954-04-04,94,2.75,73.6,78.0,264.6
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1955,1955-04-03,93,2.15,60.3,84.0,294.8
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1956,1956-04-07,98,1.02,60.3,80.0,366.2
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1957,1957-04-09,99,1.72,20.0,89.0,239.8
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1958,1958-04-05,95,2.56,85.7,82.0,275.1
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1959,1959-03-30,89,3.2,85.3,79.0,410.4
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1960,1960-03-31,91,4.37,118.4,76.0,174.2
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1961,1961-04-06,96,1.55,35.7,88.0,255.3
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1962,1962-04-08,98,1.63,37.8,80.0,152.3
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1963,1963-04-06,96,0.07,30.6,89.0,185.7
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1964,1964-04-05,96,1.98,18.5,79.0,358.9
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1965,1965-04-12,102,1.51,15.0,87.0,150.2
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1966,1966-04-02,92,2.8,82.4,82.0,322.6
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1967,1967-04-04,94,1.37,45.3,88.0,327.6
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1968,1968-04-06,97,1.06,48.2,83.0,268.4
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1969,1969-04-09,99,1.96,45.1,71.0,417.5
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1970,1970-04-12,102,0.84,21.8,85.0,250.4
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1971,1971-04-02,92,1.59,58.3,89.0,258.0
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1972,1972-03-31,91,3.19,68.8,83.0,498.9
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1973,1973-04-05,95,2.71,42.5,82.0,279.3
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1974,1974-04-06,96,1.03,21.4,90.0,282.7
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1975,1975-04-06,96,1.05,22.6,89.0,307.5
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1976,1976-03-31,91,3.32,82.7,82.0,406.6
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1977,1977-04-01,91,1.37,82.1,83.0,349.7
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1978,1978-04-10,100,0.99,37.4,74.0,243.3
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1979,1979-04-01,91,3.49,77.3,78.0,317.0
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1980,1980-04-05,96,0.98,31.0,75.0,314.0
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1981,1981-04-06,96,0.55,52.4,84.0,243.9
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1982,1982-04-01,91,2.3,74.2,84.0,282.7
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1983,1983-04-08,98,1.72,19.6,82.0,282.5
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1984,1984-04-16,107,-1.03,9.7,89.0,228.3
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1985,1985-04-06,96,1.35,39.6,83.0,381.7
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1986,1986-04-12,102,0.01,10.2,86.0,291.3
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1987,1987-04-05,95,2.0,50.2,83.0,316.0
