location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Kumagaya,36.15,139.38,30.0,1953,1953-04-09,99,3.55,81.2,87.0,178.9
Japan/Kumagaya,36.15,139.38,30.0,1954,1954-04-05,95,3.16,93.6,75.0,146.3
Japan/Kumagaya,36.15,139.38,30.0,1955,1955-04-08,98,3.73,69.4,80.0,217.4
Japan/Kumagaya,36.15,139.38,30.0,1956,1956-04-13,104,2.71,81.0,85.0,252.5
Japan/Kumagaya,36.15,139.38,30.0,1957,1957-04-12,102,2.97,35.3,88.0,175.8
Japan/Kumagaya,36.15,139.38,30.0,1958,1958-04-09,99,3.91,92.5,80.0,180.2
Japan/Kumagaya,36.15,139.38,30.0,1959,1959-04-04,94,4.13,92.2,77.0,257.6
Japan/Kumagaya,36.15,139.38,30.0,1960,1960-04-07,98,4.42,96.7,79.0,107.6
Japan/Kumagaya,36.15,139.38,30.0,1961,1961-04-08,98,2.97,41.5,87.0,148.3
Japan/Kumagaya,36.15,139.38,30.0,1962,1962-04-10,100,3.47,46.2,85.0,130.2
Japan/Kumagaya,36.15,139.38,30.0,1963,1963-04-11,101,2.45,47.2,90.0,120.0
Japan/Kumagaya,36.15,139.38,30.0,1964,1964-04-08,99,3.18,27.6,84.0,241.6
Japan/Kumagaya,36.15,139.38,30.0,1965,1965-04-13,103,2.99,22.6,82.0,90.9
Japan/Kumagaya,36.15,139.38,30.0,1966,1966-04-07,97,4.22,100.3,81.0,255.3
Japan/Kumagaya,36.15,139.38,30.0,1967,1967-04-05,95,2.83,60.3,89.0,197.6
Japan/Kumagaya,36.15,139.38,30.0,1968,1968-04-06,97,2.68,70.7,83.0,163.2
Japan/Kumagaya,36.15,139.38,30.0,1969,1969-04-13,103,3.04,67.2,67.0,297.7
Japan/Kumagaya,36.15,139.38,30.0,1970,1970-04-16,106,1.98,26.1,83.0,166.6
Japan/Kumagaya,36.15,139.38,30.0,1971,1971-04-08,98,3.02,63.5,88.0,176.0
Japan/Kumagaya,36.15,139.38,30.0,1972,1972-04-03,94,4.53,102.3,79.0,307.0
Japan/Kumagaya,36.15,139.38,30.0,1973,1973-04-09,99,4.26,69.2,73.0,172.9
Japan/Kumagaya,36.15,139.38,30.0,1974,1974-04-12,102,2.34,33.2,89.0,193.0
Japan/Kumagaya,36.15,139.38,30.0,1975,1975-04-11,101,2.69,35.2,90.0,237.9
Japan/Kumagaya,36.15,139.38,30.0,1976,1976-04-10,101,4.39,91.6,79.0,207.3
Japan/Kumagaya,36.15,139.38,30.0,1977,1977-04-03,93,2.16,64.8,89.0,223.3
Japan/Kumagaya,36.15,139.38,30.0,1978,1978-04-11,101,2.29,23.6,86.0,147.0
Japan/Kumagaya,36.15,139.38,30.0,1979,1979-04-03,93,4.66,101.5,78.0,234.0
Japan/Kumagaya,36.15,139.38,30.0,1980,1980-04-12,103,2.15,30.2,78.0,226.3
Japan/Kumagaya,36.15,139.38,30.0,1981,1981-04-07,97,2.32,54.0,84.0,143.9
Japan/Kumagaya,36.15,139.38,30.0,1982,1982-04-03,93,3.4,72.1,88.0,144.6
Japan/Kumagaya,36.15,139.38,30.0,1983,1983-04-10,100,3.21,44.8,80.0,192.8
Japan/Kumagaya,36.15,139.38,30.0,1984,1984-04-20,111,-0.37,7.8,90.0,180.7
Japan/Kumagaya,36.15,139.38,30.0,1985,1985-04-09,99,2.94,42.4,82.0,319.0
Japan/Kumagaya,36.15,139.38,30.0,1986,1986-04-12,102,1.7,24.3,86.0,205.5
Japan/Kumagaya,36.15,139.38,30.0,1987,1987-04-04,94,3.26,71.4,84.0,193.7
Japan/Kumagaya,36.15,139.38,30.0,1988,1988-04-13,104,3.76,53.5,82.0,196.5
Japan/Kumagaya,36.15,139.38,30.0,1989,1989-04-04,94,4.88,91.6,80.0,333.6
Japan/Kumagaya,36.15,139.38,30.0,1990,1990-04-01,91,4.07,113.9,78.0,207.5
Japan/Kumagaya,36.15,139.38,30.0,1991,1991-04-08,98,4.12,87.3,76.0,217.1
Japan/Kumagaya,36.15,139.38,30.0,1992,1992-04-01,92,4.28,92.2,77.0,234.7
Japan/Kumagaya,36.15,139.38,30.0,1993,1993-04-04,94,4.25,61.1,78.0,211.6
Japan/Kumagaya,36.15,139.38,30.0,1994,1994-04-06,96,2.26,25.5,85.0,242.3
Japan/Kumagaya,36.15,139.38,30.0,1995,1995-04-09,99,3.6,51.8,81.0,199.6
Japan/Kumagaya,36.15,139.38,30.0,1996,1996-04-09,100,3.8,80.2,85.0,167.0
Japan/Kumagaya,36.15,139.38,30.0,1997,1997-04-04,94,4.19,86.9,82.0,153.6
Japan/Kumagaya,36.15,139.38,30.0,1998,1998-04-07,97,3.2,77.4,77.0,308.0
Japan/Kumagaya,36.15,139.38,30.0,1999,1999-04-05,95,4.15,83.6,84.0,199.5
Japan/Kumagaya,36.15,139.38,30.0,2000,2000-04-08,99,4.1,64.3,82.0,154.9
Japan/Kumagaya,36.15,139.38,30.0,2001,2001-04-03,93,2.78,72.3,85.0,258.5
Japan/Kumagaya,36.15,139.38,30.0,2002,2002-03-22,81,5.34,144.3,79.0,259.7
Japan/Kumagaya,36.15,139.38,30.0,2003,2003-04-04,94,3.31,51.3,82.0,251.6
Japan/Kumagaya,36.15,139.38,30.0,2004,2004-03-31,91,4.71,108.6,79.0,125.1
Japan/Kumagaya,36.15,139.38,30.0,2005,2005-04-08,98,3.44,47.9,77.0,233.2
Japan/Kumagaya,36.15,139.38,30.0,2006,2006-04-03,93,4.3,84.5,86.0,199.3
Japan/Kumagaya,36.15,139.38,30.0,2007,2007-04-01,91,5.31,100.0,79.0,141.0
Japan/Kumagaya,36.15,139.38,30.0,2008,2008-03-29,89,4.3,96.6,82.0,162.1
Japan/Kumagaya,36.15,139.38,30.0,2009,2009-04-05,95,4.91,94.3,74.0,270.9
Japan/Kumagaya,36.15,139.38,30.0,2010,2010-04-06,96,4.47,95.1,73.0,251.2
Japan/Kumagaya,36.15,139.38,30.0,2011,2011-04-08,98,3.36,43.4,75.0,168.7
Japan/Kumagaya,36.15,139.38,30.0,2012,2012-04-10,101,3.41,49.5,86.0,264.7
Japan/Kumagaya,36.15,139.38,30.0,2013,2013-03-26,85,4.34,131.1,86.0,131.6
Japan/Kumagaya,36.15,139.38,30.0,2014,2014-04-01,91,3.59,88.7,85.0,295.8
Japan/Kumagaya,36.15,139.38,30.0,2015,2015-03-30,89,4.6,97.9,86.0,216.8
Japan/Kumagaya,36.15,139.38,30.0,2016,2016-04-01,92,4.73,117.3,71.0,263.2
Japan/Kumagaya,36.15,139.38,30.0,2017,2017-04-07,97,5.21,95.1,75.0,125.0
Japan/Kumagaya,36.15,139.38,30.0,2018,2018-03-26,85,5.1,153.0,82.0,230.2
Japan/Kumagaya,36.15,139.38,30.0,2019,2019-04-04,94,5.9,150.0,69.0,131.8
Japan/Kumagaya,36.15,139.38,30.0,2020,2020-03-25,85,6.95,211.2,63.0,253.9
Japan/Kumagaya,36.15,139.38,30.0,2021,2021-03-29,88,6.62,221.5,65.0,226.5
