location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1953,1953-04-04,94,6.44,204.3,60.0,265.0
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1954,1954-04-04,94,7.39,256.2,43.0,245.4
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1955,1955-03-30,89,7.02,249.2,59.0,244.1
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1956,1956-04-01,92,5.76,177.3,61.0,366.3
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1957,1957-04-07,97,5.95,160.2,64.0,243.7
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1958,1958-04-04,94,7.09,252.5,51.0,237.9
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1959,1959-03-29,88,7.67,312.3,35.0,443.6
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1960,1960-03-30,90,7.28,258.1,54.0,221.2
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1961,1961-03-30,89,5.99,176.4,72.0,268.0
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1962,1962-04-09,99,6.0,166.8,61.0,164.1
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1963,1963-04-05,95,4.21,117.9,71.0,212.6
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1964,1964-04-02,93,6.66,200.9,56.0,296.9
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1965,1965-04-10,100,5.8,134.4,60.0,139.0
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1966,1966-03-28,87,7.97,319.4,52.0,335.4
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1967,1967-04-03,93,6.47,224.2,59.0,318.7
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1968,1968-04-03,94,5.23,154.9,79.0,245.1
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1969,1969-04-08,98,7.14,250.1,41.0,306.9
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1970,1970-04-09,99,5.49,130.1,64.0,164.9
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1971,1971-04-04,94,5.95,169.1,57.0,243.3
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1972,1972-04-01,92,7.95,291.4,45.0,409.8
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1973,1973-04-01,91,7.76,268.9,39.0,244.9
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1974,1974-04-05,95,5.87,161.0,73.0,210.6
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1975,1975-04-04,94,6.51,191.4,60.0,239.7
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1976,1976-04-01,92,7.23,256.8,55.0,357.1
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1977,1977-03-26,85,5.17,201.0,66.0,305.8
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1978,1978-04-07,97,6.38,189.6,51.0,213.2
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1979,1979-04-03,93,7.87,282.8,44.0,303.4
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1980,1980-04-01,92,5.52,161.8,58.0,295.3
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1981,1981-03-31,90,5.41,160.2,74.0,286.7
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1982,1982-03-24,83,6.61,212.8,69.0,313.3
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1983,1983-04-03,93,6.82,222.0,62.0,321.8
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1984,1984-04-05,96,4.08,88.6,73.0,197.7
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1985,1985-04-04,94,6.61,211.9,59.0,348.4
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1986,1986-04-02,92,5.19,133.0,76.0,215.1
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1987,1987-04-03,93,7.2,251.1,43.0,351.3
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1988,1988-04-07,98,6.61,198.7,54.0,243.6
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1989,1989-03-29,88,8.3,314.9,38.0,442.9
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1990,1990-03-29,88,8.06,321.0,35.0,417.1
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1991,1991-04-03,93,6.99,237.4,63.0,341.1
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1992,1992-03-30,90,7.77,274.9,49.0,409.0
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1993,1993-04-05,95,7.2,236.6,43.0,243.3
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1994,1994-04-04,94,6.4,162.0,58.0,201.4
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1995,1995-04-08,98,6.84,207.2,51.0,187.5
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1996,1996-03-31,91,6.31,185.0,72.0,240.4
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1997,1997-03-27,86,7.27,244.1,58.0,184.1
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1998,1998-04-01,91,7.73,281.5,46.0,360.7
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1999,1999-04-03,93,7.66,275.5,43.0,249.2
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,2000,2000-04-03,94,6.74,206.2,55.0,243.3
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,2001,2001-04-03,93,7.31,253.3,48.0,253.8
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,2002,2002-03-29,88,8.33,321.8,49.0,255.5
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,2003,2003-03-31,90,6.98,222.5,51.0,262.8
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,2004,2004-04-02,93,7.47,273.2,50.0,227.3
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,2005,2005-04-08,98,6.35,178.7,51.0,283.0
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,2006,2006-03-31,90,7.41,252.8,61.0,267.3
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,2007,2007-04-02,92,8.54,329.7,31.0,238.5
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,2008,2008-04-01,92,7.58,263.4,42.0,288.1
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,2009,2009-03-24,83,8.69,354.0,32.0,325.7
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,2010,2010-03-26,85,8.34,329.0,47.0,347.9
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,2011,2011-04-07,97,6.3,190.1,52.0,123.3
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,2012,2012-04-02,93,7.03,238.9,60.0,352.1
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,2013,2013-03-22,81,7.89,295.8,61.0,307.4
