location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1954,1954-05-19,139,-5.08,0.0,90.0,294.6
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1955,1955-05-23,143,-5.65,0.0,90.0,351.5
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1957,1957-05-19,139,-5.53,0.0,90.0,289.6
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1958,1958-05-20,140,-4.22,0.0,90.0,336.9
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1959,1959-05-06,126,-4.12,0.0,90.0,216.2
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1960,1960-05-20,141,-5.14,0.0,90.0,260.5
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1961,1961-05-12,132,-5.42,0.0,90.0,257.5
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1962,1962-05-12,132,-5.08,0.0,90.0,276.3
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1963,1963-05-12,132,-4.3,0.0,90.0,182.2
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1964,1964-05-13,134,-5.31,0.0,90.0,208.8
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1965,1965-05-23,143,-5.07,0.0,90.0,307.5
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1966,1966-05-19,139,-5.14,0.0,90.0,392.2
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1967,1967-05-11,131,-5.49,0.0,90.0,262.8
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1968,1968-05-13,134,-4.07,0.0,90.0,254.5
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1969,1969-05-13,133,-6.76,0.0,90.0,253.6
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1970,1970-05-19,139,-5.86,0.0,90.0,399.6
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1972,1972-05-10,131,-3.58,0.0,90.0,377.4
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1973,1973-05-15,135,-3.44,0.0,90.0,362.9
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1974,1974-05-18,138,-3.78,0.0,90.0,325.2
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1975,1975-05-13,133,-4.39,0.0,90.0,343.0
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1976,1976-05-19,140,-4.08,0.0,90.0,335.5
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1977,1977-05-22,142,-5.63,0.0,90.0,346.3
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1978,1978-05-17,137,-5.7,0.0,90.0,368.0
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1979,1979-05-21,141,-4.96,0.0,90.0,287.0
