location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1953,1953-04-11,101,4.55,105.5,79.0,170.4
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1954,1954-04-05,95,5.15,124.0,68.0,193.3
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1955,1955-04-07,97,4.42,102.0,81.0,213.7
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1956,1956-04-10,101,4.0,101.2,77.0,274.6
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1957,1957-04-12,102,3.83,52.8,80.0,178.4
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1958,1958-04-08,98,5.06,130.9,67.0,209.9
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1959,1959-04-02,92,5.71,166.9,61.0,301.1
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1960,1960-04-05,96,5.3,135.7,70.0,147.1
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1961,1961-04-06,96,3.79,79.6,81.0,202.0
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1962,1962-04-07,97,4.3,78.7,76.0,122.9
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1963,1963-04-09,99,2.85,64.5,87.0,149.7
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1964,1964-04-06,97,4.26,55.8,80.0,221.0
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1965,1965-04-17,107,3.52,36.5,82.0,215.2
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1966,1966-04-06,96,5.24,147.7,70.0,249.6
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1967,1967-04-06,96,4.21,88.5,86.0,252.6
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1968,1968-04-05,96,3.19,74.7,88.0,217.7
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1969,1969-04-13,103,4.37,99.3,62.0,277.0
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1970,1970-04-15,105,3.23,44.7,80.0,199.1
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1971,1971-04-07,97,4.11,88.9,80.0,177.2
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1972,1972-04-07,98,5.69,137.1,73.0,333.1
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1973,1973-04-08,98,4.95,97.7,67.0,218.1
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1974,1974-04-09,99,3.49,58.1,88.0,187.5
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1975,1975-04-10,100,4.01,72.8,81.0,194.8
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1976,1976-04-09,100,5.12,130.5,76.0,281.6
Japan/Kyoto,35.0147222222222,135.732777777778,40.81,1977,1977-04-03,93,3.76,120.6,76.0,264.5
