location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1953,1953-04-17,107,2.4,49.5,88.0,182.9
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1954,1954-04-04,94,1.95,60.4,80.0,143.6
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1955,1955-04-10,100,2.53,42.8,84.0,206.6
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1956,1956-04-13,104,1.27,54.4,87.0,244.6
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1957,1957-04-14,104,2.03,18.0,89.0,163.9
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1958,1958-04-09,99,2.95,66.9,83.0,177.2
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1959,1959-04-04,94,3.19,62.7,85.0,254.2
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1960,1960-04-08,99,3.29,63.3,83.0,103.1
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1961,1961-04-08,98,1.75,25.5,90.0,168.3
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1962,1962-04-10,100,2.24,22.6,85.0,131.8
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1963,1963-04-09,99,1.24,25.6,90.0,116.5
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1964,1964-04-10,101,2.03,14.3,86.0,238.6
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1965,1965-04-16,106,1.7,10.2,88.0,91.5
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1966,1966-04-07,97,3.28,71.6,82.0,231.8
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1967,1967-04-05,95,1.67,38.5,90.0,220.4
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1968,1968-04-09,100,1.47,44.5,87.0,148.7
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1969,1969-04-13,103,1.96,42.6,73.0,296.2
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1970,1970-04-17,107,0.33,9.9,87.0,178.3
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1971,1971-04-10,100,1.61,42.8,89.0,171.3
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1972,1972-04-06,97,3.35,72.8,87.0,301.8
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1973,1973-04-09,99,2.86,40.3,83.0,161.6
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1974,1974-04-11,101,1.11,19.2,90.0,190.1
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1975,1975-04-10,100,1.71,25.0,90.0,217.9
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1976,1976-04-07,98,3.24,59.0,88.0,190.0
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1977,1977-04-04,94,0.73,37.8,90.0,217.4
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1978,1978-04-15,105,1.48,16.9,87.0,137.8
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1979,1979-04-06,96,3.99,77.8,79.0,201.3
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1980,1980-04-12,103,0.93,18.3,81.0,214.3
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1981,1981-04-08,98,1.26,34.6,88.0,130.6
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1982,1982-04-03,93,1.83,48.3,89.0,137.2
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1983,1983-04-10,100,2.01,26.6,83.0,196.2
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1984,1984-04-21,112,-1.65,2.9,90.0,176.5
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1985,1985-04-11,101,1.94,22.7,86.0,294.3
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1986,1986-04-14,104,0.57,9.5,87.0,207.5
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1987,1987-04-04,94,1.92,43.1,87.0,174.2
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1988,1988-04-13,104,2.91,31.5,87.0,201.7
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1989,1989-04-02,92,3.94,59.1,86.0,320.8
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1990,1990-03-30,89,2.89,66.8,80.0,221.2
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1991,1991-04-08,98,2.86,60.9,84.0,208.0
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1992,1992-04-02,93,3.09,59.9,80.0,227.2
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1993,1993-04-04,94,3.14,35.7,83.0,196.8
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1994,1994-04-07,97,1.09,10.8,86.0,235.8
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1995,1995-04-11,101,2.24,24.8,84.0,210.1
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1996,1996-04-10,101,2.12,45.7,86.0,158.2
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1997,1997-04-03,93,2.94,51.9,87.0,132.6
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1998,1998-04-01,91,2.28,48.7,84.0,328.3
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,1999,1999-04-04,94,2.93,53.3,86.0,183.8
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2000,2000-04-10,101,3.17,38.6,84.0,131.2
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2001,2001-04-04,94,1.67,49.7,88.0,250.7
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2002,2002-03-28,87,4.46,106.9,81.0,247.7
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2003,2003-04-08,98,2.4,33.8,85.0,239.0
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2004,2004-03-31,91,4.01,88.8,83.0,125.5
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2005,2005-04-08,98,3.04,33.4,80.0,237.3
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2006,2006-04-04,94,3.79,61.7,86.0,183.7
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2007,2007-04-07,97,4.97,82.2,82.0,152.7
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2008,2008-03-31,91,3.71,79.4,84.0,154.0
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2009,2009-04-08,98,4.39,67.0,79.0,252.7
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2010,2010-04-06,96,4.16,84.4,76.0,275.6
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2011,2011-04-11,101,2.38,29.6,78.0,185.3
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2012,2012-04-12,103,2.78,40.3,85.0,265.1
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2013,2013-04-01,91,3.68,107.6,88.0,137.0
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2014,2014-04-03,93,2.84,69.3,86.0,286.8
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2015,2015-04-01,91,3.94,80.3,87.0,197.3
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2016,2016-04-01,92,4.17,104.2,75.0,260.2
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2017,2017-04-07,97,4.24,61.1,77.0,112.9
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2018,2018-03-28,87,4.47,121.3,84.0,192.9
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2019,2019-04-07,97,4.99,109.1,77.0,113.8
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2020,2020-03-26,86,6.13,162.3,68.0,215.6
Japan/Maebashi,36.4052777777778,139.060555555556,112.1,2021,2021-03-28,87,5.88,176.9,72.0,201.7
