location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1953,1953-04-20,110,-1.77,6.7,88.0,267.6
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1954,1954-04-11,101,-0.78,11.1,88.0,235.7
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1955,1955-04-13,103,-1.28,4.4,89.0,298.9
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1956,1956-04-16,107,-1.98,17.6,90.0,365.2
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1957,1957-04-20,110,-2.7,0.0,90.0,232.1
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1958,1958-04-19,109,-0.88,16.4,90.0,225.8
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1959,1959-04-10,100,0.1,18.7,87.0,370.4
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1960,1960-04-14,105,-0.65,14.6,89.0,229.8
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1961,1961-04-16,106,-2.27,5.1,90.0,242.8
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1962,1962-04-23,113,-2.08,0.0,90.0,182.2
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1963,1963-04-17,107,-3.23,3.9,90.0,220.3
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1964,1964-04-16,107,-1.41,0.4,89.0,281.7
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1965,1965-05-01,121,-2.53,0.0,90.0,200.1
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1966,1966-04-19,109,-0.82,12.2,89.0,366.0
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1967,1967-04-20,110,-1.96,4.2,90.0,321.7
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1968,1968-04-20,111,-2.37,6.1,90.0,285.8
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1969,1969-04-21,111,-1.03,13.9,84.0,368.3
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1970,1970-04-27,117,-3.06,0.0,90.0,269.4
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1971,1971-04-19,109,-1.88,11.8,90.0,223.0
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1972,1972-04-17,108,0.14,16.1,90.0,386.4
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1973,1973-04-18,108,-1.06,9.9,90.0,304.0
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1974,1974-04-23,113,-2.6,1.9,90.0,271.3
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1975,1975-04-19,109,-2.36,0.0,90.0,283.4
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1976,1976-04-17,108,-0.78,5.9,89.0,339.5
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1977,1977-04-15,105,-2.34,6.4,90.0,293.6
Japan/Matsumoto,36.2466666666667,137.970555555556,610.0,1978,1978-04-23,113,-2.24,0.4,89.0,288.6
