location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1953,1953-04-09,99,6.68,206.0,56.0,222.4
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1954,1954-04-07,97,7.17,233.6,38.0,229.8
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1955,1955-04-06,96,6.79,215.0,63.0,283.1
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1956,1956-04-08,99,5.89,169.3,60.0,320.0
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1957,1957-04-09,99,5.91,141.5,67.0,224.9
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1958,1958-04-07,97,7.02,231.5,48.0,264.2
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1959,1959-04-03,93,7.63,292.7,34.0,342.3
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1960,1960-04-09,100,7.44,251.0,52.0,166.7
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1961,1961-04-05,95,6.02,164.1,68.0,252.7
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1962,1962-04-11,101,6.17,169.5,60.0,177.2
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1963,1963-04-15,105,3.97,102.1,64.0,220.9
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1964,1964-04-04,95,6.35,167.1,51.0,272.0
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1965,1965-04-10,100,5.65,114.1,57.0,168.0
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1966,1966-04-05,95,7.68,285.8,49.0,295.7
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1967,1967-04-03,93,6.27,188.4,68.0,272.2
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1968,1968-04-04,95,5.01,138.2,77.0,231.2
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1969,1969-04-11,101,6.8,214.8,45.0,297.5
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1970,1970-04-12,102,5.47,109.4,70.0,164.9
Japan/Matsuyama,33.8436111111111,132.7775,32.16,1971,1971-04-03,93,6.0,158.3,60.0,215.9
