location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1971,1971-02-03,34,17.73,1145.6,0.0,162.2
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1972,1972-01-27,27,19.0,1274.4,0.0,249.8
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1975,1975-02-01,32,18.78,1240.1,0.0,337.6
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1977,1977-01-31,31,18.56,1220.5,0.0,349.6
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1979,1979-02-03,34,19.36,1292.1,0.0,304.3
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1980,1980-02-09,40,18.75,1251.6,0.0,260.7
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1981,1981-01-28,28,18.49,1213.8,0.0,215.2
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1982,1982-01-29,29,18.61,1224.8,0.0,269.7
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1983,1983-01-29,29,19.02,1261.9,0.0,713.3
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1984,1984-01-24,24,17.68,1154.2,0.0,228.2
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1985,1985-01-28,28,18.68,1231.0,0.0,355.3
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1986,1986-01-24,24,17.3,1107.2,0.0,289.0
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1987,1987-01-30,30,18.89,1249.9,0.0,166.1
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1989,1989-01-30,30,18.83,1244.3,0.0,102.5
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1990,1990-01-24,24,19.32,1288.8,0.0,135.1
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1991,1991-02-03,34,19.15,1273.9,0.0,186.3
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1992,1992-02-01,32,19.7,1337.3,0.0,282.6
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1993,1993-01-23,23,18.9,1250.9,0.0,187.5
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1994,1994-01-30,30,18.57,1221.2,0.0,304.3
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1995,1995-02-10,41,18.28,1195.2,0.0,152.7
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1996,1996-02-03,34,18.82,1257.9,0.0,112.6
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1997,1997-02-20,51,18.86,1247.1,0.0,227.4
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1999,1999-02-12,43,19.82,1333.5,0.0,226.9
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2000,2000-01-27,27,18.53,1231.3,0.0,272.6
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2001,2001-01-29,29,19.41,1296.5,0.0,322.7
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2002,2002-01-29,29,18.71,1234.0,0.0,204.7
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2003,2003-02-05,36,18.12,1180.6,0.0,127.8
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2004,2004-02-07,38,18.8,1255.9,0.0,281.8
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2005,2005-02-18,49,18.69,1232.4,0.0,259.2
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2006,2006-01-27,27,18.94,1254.6,0.0,232.9
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2007,2007-02-14,45,19.25,1282.5,0.0,217.9
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2008,2008-02-04,35,19.05,1278.6,0.0,249.2
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2009,2009-02-09,40,19.43,1298.9,0.0,120.9
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2010,2010-02-15,46,19.37,1293.7,0.0,255.2
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2011,2011-02-04,35,17.92,1163.2,0.0,89.7
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2012,2012-02-01,32,19.39,1309.8,0.0,167.3
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2013,2013-01-21,21,19.31,1287.6,0.0,213.0
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2014,2014-01-22,22,18.41,1206.5,0.0,226.4
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2015,2015-02-13,44,18.2,1188.0,0.0,102.8
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2016,2016-03-01,61,19.17,1289.6,0.0,268.0
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2017,2017-02-14,45,18.97,1257.3,0.0,176.0
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2018,2018-01-29,29,19.05,1264.8,0.0,211.1
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2019,2019-02-12,43,20.23,1371.1,0.0,238.6
