location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Mito,36.3811111111111,140.468055555556,29.0,1953,1953-04-09,99,5.21,132.2,78.0,177.0
Japan/Mito,36.3811111111111,140.468055555556,29.0,1954,1954-04-06,96,5.45,150.7,61.0,192.6
Japan/Mito,36.3811111111111,140.468055555556,29.0,1955,1955-04-08,98,5.0,107.4,69.0,287.9
Japan/Mito,36.3811111111111,140.468055555556,29.0,1956,1956-04-15,106,4.86,121.4,68.0,280.6
Japan/Mito,36.3811111111111,140.468055555556,29.0,1957,1957-04-14,104,4.85,88.0,77.0,205.0
Japan/Mito,36.3811111111111,140.468055555556,29.0,1958,1958-04-11,101,5.64,137.5,59.0,175.7
Japan/Mito,36.3811111111111,140.468055555556,29.0,1959,1959-04-06,96,5.58,138.3,60.0,313.4
Japan/Mito,36.3811111111111,140.468055555556,29.0,1960,1960-04-10,101,5.88,151.6,62.0,121.0
Japan/Mito,36.3811111111111,140.468055555556,29.0,1961,1961-04-10,100,4.39,71.4,73.0,147.4
Japan/Mito,36.3811111111111,140.468055555556,29.0,1962,1962-04-15,105,5.14,87.9,75.0,169.9
Japan/Mito,36.3811111111111,140.468055555556,29.0,1963,1963-04-13,103,4.12,59.3,81.0,147.6
Japan/Mito,36.3811111111111,140.468055555556,29.0,1964,1964-04-11,102,4.77,67.5,69.0,298.7
Japan/Mito,36.3811111111111,140.468055555556,29.0,1965,1965-04-16,106,4.59,62.9,69.0,124.3
Japan/Mito,36.3811111111111,140.468055555556,29.0,1966,1966-04-08,98,5.98,172.2,63.0,297.6
Japan/Mito,36.3811111111111,140.468055555556,29.0,1967,1967-04-07,97,4.53,106.5,80.0,221.9
Japan/Mito,36.3811111111111,140.468055555556,29.0,1968,1968-04-10,101,4.53,110.5,76.0,227.5
Japan/Mito,36.3811111111111,140.468055555556,29.0,1969,1969-04-13,103,5.12,122.2,55.0,348.1
Japan/Mito,36.3811111111111,140.468055555556,29.0,1970,1970-04-21,111,3.85,54.0,75.0,151.1
Japan/Mito,36.3811111111111,140.468055555556,29.0,1971,1971-04-12,102,4.79,95.2,78.0,192.7
Japan/Mito,36.3811111111111,140.468055555556,29.0,1972,1972-04-05,96,6.29,165.7,62.0,367.7
Japan/Mito,36.3811111111111,140.468055555556,29.0,1973,1973-04-08,98,5.79,124.9,51.0,176.9
Japan/Mito,36.3811111111111,140.468055555556,29.0,1974,1974-04-14,104,4.32,66.4,82.0,218.2
Japan/Mito,36.3811111111111,140.468055555556,29.0,1975,1975-04-12,102,4.54,59.5,81.0,274.2
Japan/Mito,36.3811111111111,140.468055555556,29.0,1976,1976-04-13,104,5.62,139.4,74.0,259.3
Japan/Mito,36.3811111111111,140.468055555556,29.0,1977,1977-04-11,101,3.95,94.6,79.0,255.0
Japan/Mito,36.3811111111111,140.468055555556,29.0,1978,1978-04-16,106,4.44,76.7,68.0,167.1
Japan/Mito,36.3811111111111,140.468055555556,29.0,1979,1979-04-06,96,6.51,187.3,57.0,295.0
Japan/Mito,36.3811111111111,140.468055555556,29.0,1980,1980-04-14,105,4.25,69.4,63.0,247.3
Japan/Mito,36.3811111111111,140.468055555556,29.0,1981,1981-04-15,105,3.99,73.2,77.0,173.9
Japan/Mito,36.3811111111111,140.468055555556,29.0,1982,1982-04-08,98,5.1,111.8,76.0,182.0
Japan/Mito,36.3811111111111,140.468055555556,29.0,1983,1983-04-14,104,4.57,67.7,76.0,243.0
Japan/Mito,36.3811111111111,140.468055555556,29.0,1984,1984-04-27,118,2.34,16.7,86.0,205.0
Japan/Mito,36.3811111111111,140.468055555556,29.0,1985,1985-04-14,104,4.43,72.6,75.0,321.3
Japan/Mito,36.3811111111111,140.468055555556,29.0,1986,1986-04-16,106,3.76,47.2,78.0,224.7
Japan/Mito,36.3811111111111,140.468055555556,29.0,1987,1987-04-05,95,5.26,128.4,66.0,216.6
Japan/Mito,36.3811111111111,140.468055555556,29.0,1988,1988-04-14,105,5.17,111.7,65.0,237.4
Japan/Mito,36.3811111111111,140.468055555556,29.0,1989,1989-04-03,93,6.65,179.7,56.0,341.4
Japan/Mito,36.3811111111111,140.468055555556,29.0,1990,1990-03-30,89,5.9,166.8,61.0,233.5
Japan/Mito,36.3811111111111,140.468055555556,29.0,1991,1991-04-10,100,5.51,121.6,65.0,227.2
Japan/Mito,36.3811111111111,140.468055555556,29.0,1992,1992-04-06,97,5.91,133.3,66.0,222.4
Japan/Mito,36.3811111111111,140.468055555556,29.0,1993,1993-04-14,104,5.71,106.0,64.0,297.3
Japan/Mito,36.3811111111111,140.468055555556,29.0,1994,1994-04-07,97,4.4,64.5,67.0,267.1
Japan/Mito,36.3811111111111,140.468055555556,29.0,1995,1995-04-11,101,5.29,99.9,69.0,205.2
Japan/Mito,36.3811111111111,140.468055555556,29.0,1996,1996-04-14,105,5.02,106.2,73.0,183.4
Japan/Mito,36.3811111111111,140.468055555556,29.0,1997,1997-04-02,92,5.84,133.4,68.0,196.9
Japan/Mito,36.3811111111111,140.468055555556,29.0,1998,1998-04-08,98,5.1,105.9,69.0,287.5
Japan/Mito,36.3811111111111,140.468055555556,29.0,1999,1999-04-05,95,5.57,131.3,69.0,219.2
Japan/Mito,36.3811111111111,140.468055555556,29.0,2000,2000-04-08,99,5.51,120.6,69.0,209.5
Japan/Mito,36.3811111111111,140.468055555556,29.0,2001,2001-04-05,95,4.67,103.0,70.0,296.6
Japan/Mito,36.3811111111111,140.468055555556,29.0,2002,2002-03-28,87,6.93,214.4,65.0,261.8
Japan/Mito,36.3811111111111,140.468055555556,29.0,2003,2003-04-09,99,4.85,76.2,77.0,306.5
Japan/Mito,36.3811111111111,140.468055555556,29.0,2004,2004-03-31,91,5.63,124.2,71.0,157.7
Japan/Mito,36.3811111111111,140.468055555556,29.0,2005,2005-04-09,99,4.89,74.8,69.0,256.3
Japan/Mito,36.3811111111111,140.468055555556,29.0,2006,2006-04-04,94,5.27,113.0,81.0,229.6
Japan/Mito,36.3811111111111,140.468055555556,29.0,2007,2007-04-02,92,6.87,180.6,49.0,180.1
Japan/Mito,36.3811111111111,140.468055555556,29.0,2008,2008-04-03,94,5.7,133.3,67.0,207.7
Japan/Mito,36.3811111111111,140.468055555556,29.0,2009,2009-04-08,98,6.24,147.2,59.0,275.1
Japan/Mito,36.3811111111111,140.468055555556,29.0,2010,2010-04-07,97,5.74,133.8,63.0,260.0
Japan/Mito,36.3811111111111,140.468055555556,29.0,2011,2011-04-12,102,4.72,77.6,66.0,199.4
Japan/Mito,36.3811111111111,140.468055555556,29.0,2012,2012-04-12,103,4.81,84.0,77.0,326.0
Japan/Mito,36.3811111111111,140.468055555556,29.0,2013,2013-04-01,91,5.75,163.6,75.0,161.4
Japan/Mito,36.3811111111111,140.468055555556,29.0,2014,2014-04-02,92,5.38,137.2,71.0,341.2
Japan/Mito,36.3811111111111,140.468055555556,29.0,2015,2015-04-04,94,5.7,125.8,78.0,284.3
Japan/Mito,36.3811111111111,140.468055555556,29.0,2016,2016-04-06,97,6.07,146.7,60.0,262.4
Japan/Mito,36.3811111111111,140.468055555556,29.0,2017,2017-04-10,100,4.31,58.7,69.0,198.0
Japan/Mito,36.3811111111111,140.468055555556,29.0,2018,2018-03-28,87,4.68,138.7,87.0,262.5
Japan/Mito,36.3811111111111,140.468055555556,29.0,2019,2019-04-05,95,5.27,127.9,71.0,183.5
Japan/Mito,36.3811111111111,140.468055555556,29.0,2020,2020-03-31,91,6.51,185.2,65.0,267.0
Japan/Mito,36.3811111111111,140.468055555556,29.0,2021,2021-03-30,89,5.97,196.2,72.0,269.0
