location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1953,1953-04-29,119,0.77,16.3,89.0,202.2
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1954,1954-04-20,110,1.75,36.9,79.0,144.3
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1955,1955-04-16,106,0.59,10.4,86.0,192.8
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1956,1956-04-23,114,0.8,18.1,83.0,277.7
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1957,1957-04-23,113,0.21,7.8,88.0,253.2
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1958,1958-04-24,114,1.8,19.2,85.0,247.9
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1959,1959-04-19,109,2.0,22.5,85.0,200.3
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1960,1960-04-26,117,1.23,28.9,81.0,303.7
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1961,1961-04-22,112,0.38,8.8,87.0,150.6
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1962,1962-04-21,111,0.87,9.9,85.0,224.6
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1963,1963-04-18,108,0.63,12.2,89.0,269.5
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1964,1964-04-24,115,0.66,10.7,82.0,243.6
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1965,1965-05-04,124,0.59,3.1,87.0,176.8
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1966,1966-04-25,115,1.68,31.4,85.0,297.9
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1967,1967-04-26,116,0.68,23.9,88.0,136.4
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1968,1968-04-22,113,1.48,31.0,89.0,113.6
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1969,1969-04-26,116,0.52,28.7,74.0,209.1
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1970,1970-05-03,123,-0.06,8.7,87.0,172.6
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1971,1971-04-22,112,0.99,25.0,88.0,336.2
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1972,1972-04-25,116,2.39,35.7,84.0,415.1
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1973,1973-04-21,111,2.2,29.2,79.0,226.0
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1974,1974-04-28,118,0.46,2.8,87.0,229.5
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1975,1975-04-26,116,0.48,7.9,90.0,314.3
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1976,1976-04-26,117,2.0,34.6,85.0,163.9
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1977,1977-04-28,118,0.0,12.4,86.0,176.6
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1978,1978-05-01,121,0.14,11.2,85.0,257.2
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1979,1979-04-25,115,2.47,38.6,74.0,248.9
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1980,1980-04-30,121,0.66,17.2,79.0,116.6
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1981,1981-04-25,115,0.32,7.6,86.0,152.0
