location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1954,1954-02-14,45,19.43,1298.4,0.0,240.9
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1956,1956-02-10,41,18.13,1194.8,0.0,420.7
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1957,1957-01-25,25,18.23,1190.5,0.0,373.7
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1958,1958-01-28,28,18.42,1207.8,0.0,355.1
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1959,1959-02-04,35,19.07,1266.6,0.0,297.2
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1973,1973-02-12,43,19.8,1332.2,0.0,440.6
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1975,1975-02-10,41,18.76,1238.7,0.0,424.1
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1981,1981-02-08,39,18.56,1220.6,0.0,304.1
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1982,1982-02-13,44,19.01,1261.0,0.0,352.7
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1983,1983-02-15,46,18.91,1252.3,0.0,836.9
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1984,1984-01-31,31,18.1,1191.8,0.0,325.2
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1985,1985-02-06,37,19.19,1276.8,0.0,614.2
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1986,1986-02-01,32,17.07,1086.2,0.0,316.0
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1987,1987-02-01,32,19.08,1267.2,0.0,229.9
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1988,1988-02-08,39,20.36,1397.9,0.0,570.3
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1989,1989-02-17,48,18.89,1250.0,0.0,213.5
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1990,1990-02-09,40,19.64,1317.5,0.0,397.6
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1991,1991-03-02,61,19.32,1288.9,0.0,308.2
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1992,1992-02-08,39,19.24,1295.5,0.0,593.5
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1993,1993-02-18,49,18.73,1235.7,0.0,272.2
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1994,1994-02-14,45,18.81,1242.8,0.0,412.1
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1995,1995-02-18,49,18.28,1195.5,0.0,377.6
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1996,1996-01-25,25,18.91,1266.2,0.0,257.3
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1997,1997-01-27,27,19.05,1264.5,0.0,410.8
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1998,1998-02-01,32,20.31,1377.8,0.0,397.8
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,1999,1999-02-19,50,19.98,1348.6,0.0,229.1
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2000,2000-01-23,23,19.22,1293.9,0.0,487.8
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2001,2001-02-09,40,19.49,1304.2,0.0,446.6
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2002,2002-02-04,35,19.24,1281.4,0.0,216.9
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2003,2003-02-03,34,18.45,1210.7,0.0,179.4
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2004,2004-03-01,61,19.02,1275.7,0.0,290.6
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2005,2005-02-16,47,18.57,1221.4,0.0,404.8
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2006,2006-01-31,31,19.64,1317.8,0.0,558.7
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2007,2007-02-19,50,20.09,1358.1,0.0,473.4
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2008,2008-02-21,52,19.03,1276.3,0.0,414.6
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2009,2009-02-07,38,19.79,1331.1,0.0,261.4
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2010,2010-01-31,31,19.94,1344.8,0.0,278.3
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2011,2011-01-28,28,17.92,1163.0,0.0,221.7
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2012,2012-01-30,30,19.57,1325.8,0.0,363.8
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2013,2013-02-01,32,19.93,1343.9,0.0,292.0
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2014,2014-02-03,34,18.73,1236.0,0.0,272.7
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2015,2015-02-04,35,18.69,1232.2,0.0,230.5
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2016,2016-02-25,56,19.09,1282.3,0.0,630.1
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2017,2017-02-27,58,19.23,1280.8,0.0,237.5
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2018,2018-02-08,39,18.98,1258.4,0.0,435.2
Japan/Miyakojima,24.7944444444444,125.278333333333,39.9,2021,2021-02-10,41,19.46,1301.0,0.0,346.2
