location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1953,1953-04-03,93,9.1,380.1,32.0,148.4
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1954,1954-04-06,96,9.94,451.4,20.0,193.6
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1955,1955-04-04,94,9.48,421.0,27.0,249.6
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1956,1956-04-04,95,8.57,343.0,33.0,378.2
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1957,1957-04-03,93,8.71,345.3,43.0,237.6
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1958,1958-03-30,89,9.46,418.7,22.0,303.9
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1959,1959-03-30,89,10.23,494.1,22.0,432.2
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1960,1960-03-29,89,9.83,451.7,25.0,216.7
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1961,1961-04-02,92,8.51,337.6,46.0,271.1
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1962,1962-04-07,97,8.47,322.7,38.0,127.9
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1963,1963-04-04,94,6.97,228.6,53.0,102.8
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1964,1964-04-03,94,9.45,410.7,23.0,324.1
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1965,1965-04-06,96,8.52,328.7,27.0,112.9
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1966,1966-04-01,91,10.44,502.5,27.0,324.3
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1967,1967-04-01,91,8.98,383.4,38.0,195.3
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1968,1968-03-31,91,7.9,292.4,60.0,261.5
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1969,1969-04-03,93,9.7,436.4,24.0,305.1
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1970,1970-04-07,97,8.11,296.4,38.0,162.7
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1971,1971-04-03,93,8.68,346.5,31.0,214.9
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1972,1972-03-30,90,10.66,516.0,12.0,444.0
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1973,1973-03-31,90,10.35,482.1,20.0,342.9
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1974,1974-04-02,92,8.6,336.3,46.0,170.1
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1975,1975-04-06,96,8.95,364.9,29.0,293.4
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1976,1976-04-02,93,9.73,442.5,34.0,361.7
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1977,1977-03-27,86,7.95,327.5,50.0,253.5
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1978,1978-04-09,99,8.82,360.3,25.0,213.2
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1979,1979-04-06,96,10.31,481.1,14.0,400.0
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1980,1980-04-04,95,8.38,338.7,35.0,298.3
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1981,1981-03-30,89,8.42,333.1,54.0,252.4
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1982,1982-03-24,83,9.36,405.2,31.0,314.0
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1983,1983-04-05,95,9.28,398.2,28.0,348.6
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1984,1984-04-06,97,6.8,213.7,54.0,213.2
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1985,1985-03-31,90,9.28,400.1,35.0,447.0
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1986,1986-04-02,92,7.79,273.4,54.0,241.4
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1987,1987-04-02,92,9.71,432.2,24.0,260.8
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1988,1988-04-06,97,9.41,408.8,20.0,256.3
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1989,1989-04-03,93,11.0,541.7,12.0,314.4
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1990,1990-03-29,88,10.56,509.9,20.0,413.5
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1991,1991-03-28,87,9.74,436.8,30.0,302.4
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1992,1992-04-03,94,10.16,469.7,19.0,440.2
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1993,1993-04-13,103,9.65,423.8,24.0,239.9
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1994,1994-04-05,95,9.02,366.4,19.0,258.1
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1995,1995-04-10,100,9.24,384.5,24.0,253.1
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1996,1996-04-03,94,9.05,381.9,32.0,210.4
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1997,1997-03-31,90,9.74,427.9,31.0,192.6
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1998,1998-04-01,91,10.46,501.4,16.0,543.3
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,1999,1999-04-05,95,10.24,477.3,21.0,336.7
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2000,2000-04-05,96,9.63,429.0,22.0,282.2
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2001,2001-04-02,92,9.85,448.3,21.0,290.3
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2002,2002-03-29,88,10.73,516.6,18.0,223.7
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2003,2003-03-30,89,9.48,411.9,27.0,300.3
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2004,2004-04-02,93,9.83,448.8,23.0,200.9
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2005,2005-04-05,95,8.87,353.9,25.0,259.3
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2006,2006-03-30,89,10.01,455.7,29.0,320.9
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2007,2007-04-03,93,10.86,527.7,8.0,218.2
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2008,2008-04-06,97,9.7,429.1,21.0,264.9
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2009,2009-03-23,82,11.01,543.8,15.0,360.6
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2010,2010-04-02,92,10.66,514.1,20.0,295.6
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2011,2011-04-04,94,8.5,328.7,42.0,109.9
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2012,2012-04-03,94,9.35,410.9,31.0,334.1
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2013,2013-03-22,81,10.39,488.0,25.0,241.8
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2014,2014-03-28,87,10.16,464.6,25.0,319.1
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2015,2015-04-01,91,9.71,428.9,24.0,258.7
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2016,2016-04-05,96,9.93,459.2,16.0,340.8
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2017,2017-04-09,99,8.57,337.0,24.0,233.5
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2018,2018-03-26,85,8.43,356.7,49.0,313.0
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2019,2019-04-05,95,10.06,455.4,18.0,372.6
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2020,2020-04-08,99,10.54,504.3,14.0,407.8
Japan/Miyazaki,31.9383333333333,131.414166666667,9.2,2021,2021-03-29,88,10.54,520.2,33.0,378.6
