location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Mombetsu,44.345,143.355277777778,15.8,1956,1956-05-11,132,-5.14,0.0,90.0,266.6
Japan/Mombetsu,44.345,143.355277777778,15.8,1957,1957-05-18,138,-5.36,0.0,90.0,193.6
Japan/Mombetsu,44.345,143.355277777778,15.8,1958,1958-05-20,140,-4.42,0.0,90.0,360.1
Japan/Mombetsu,44.345,143.355277777778,15.8,1959,1959-05-04,124,-4.49,0.0,90.0,157.9
Japan/Mombetsu,44.345,143.355277777778,15.8,1960,1960-05-17,138,-5.2,0.0,90.0,189.4
Japan/Mombetsu,44.345,143.355277777778,15.8,1961,1961-05-09,129,-5.38,0.0,90.0,171.6
Japan/Mombetsu,44.345,143.355277777778,15.8,1962,1962-05-12,132,-5.08,0.0,90.0,235.1
Japan/Mombetsu,44.345,143.355277777778,15.8,1963,1963-05-11,131,-4.12,0.0,90.0,269.4
Japan/Mombetsu,44.345,143.355277777778,15.8,1964,1964-05-14,135,-5.65,0.0,90.0,136.0
Japan/Mombetsu,44.345,143.355277777778,15.8,1965,1965-05-20,140,-4.87,0.0,90.0,277.9
Japan/Mombetsu,44.345,143.355277777778,15.8,1966,1966-05-20,140,-4.9,0.0,90.0,302.2
Japan/Mombetsu,44.345,143.355277777778,15.8,1967,1967-05-08,128,-5.54,0.0,90.0,138.0
Japan/Mombetsu,44.345,143.355277777778,15.8,1968,1968-05-09,130,-4.13,0.0,90.0,178.2
Japan/Mombetsu,44.345,143.355277777778,15.8,1969,1969-05-10,130,-6.39,0.3,90.0,159.4
Japan/Mombetsu,44.345,143.355277777778,15.8,1970,1970-05-11,131,-5.7,0.0,90.0,290.7
Japan/Mombetsu,44.345,143.355277777778,15.8,1971,1971-05-18,138,-4.58,0.0,90.0,226.2
Japan/Mombetsu,44.345,143.355277777778,15.8,1972,1972-05-07,128,-4.14,0.0,90.0,254.9
Japan/Mombetsu,44.345,143.355277777778,15.8,1973,1973-05-14,134,-4.53,0.0,90.0,229.1
Japan/Mombetsu,44.345,143.355277777778,15.8,1974,1974-05-17,137,-4.3,0.0,90.0,223.6
Japan/Mombetsu,44.345,143.355277777778,15.8,1975,1975-05-24,144,-4.4,0.0,90.0,301.5
Japan/Mombetsu,44.345,143.355277777778,15.8,1976,1976-05-13,134,-4.06,0.0,90.0,161.7
Japan/Mombetsu,44.345,143.355277777778,15.8,1977,1977-05-14,134,-5.95,0.0,90.0,202.0
Japan/Mombetsu,44.345,143.355277777778,15.8,1978,1978-05-11,131,-6.11,0.0,90.0,209.4
Japan/Mombetsu,44.345,143.355277777778,15.8,1979,1979-05-24,144,-5.71,0.0,90.0,274.4
Japan/Mombetsu,44.345,143.355277777778,15.8,1980,1980-05-22,143,-6.53,0.0,90.0,160.4
Japan/Mombetsu,44.345,143.355277777778,15.8,1981,1981-05-13,133,-7.06,0.0,90.0,167.5
Japan/Mombetsu,44.345,143.355277777778,15.8,1982,1982-05-16,136,-6.07,0.0,90.0,109.7
Japan/Mombetsu,44.345,143.355277777778,15.8,1983,1983-05-03,123,-6.95,0.0,90.0,84.1
Japan/Mombetsu,44.345,143.355277777778,15.8,1984,1984-05-28,149,-7.4,0.0,90.0,153.4
Japan/Mombetsu,44.345,143.355277777778,15.8,1985,1985-05-12,132,-6.54,0.0,90.0,216.5
Japan/Mombetsu,44.345,143.355277777778,15.8,1986,1986-05-08,128,-8.03,0.0,90.0,147.9
Japan/Mombetsu,44.345,143.355277777778,15.8,1987,1987-05-09,129,-6.49,0.0,90.0,154.6
Japan/Mombetsu,44.345,143.355277777778,15.8,1988,1988-05-15,136,-6.31,0.0,90.0,95.8
Japan/Mombetsu,44.345,143.355277777778,15.8,1989,1989-05-18,138,-3.04,0.0,90.0,165.5
Japan/Mombetsu,44.345,143.355277777778,15.8,1990,1990-05-07,127,-4.76,0.0,90.0,164.3
Japan/Mombetsu,44.345,143.355277777778,15.8,1991,1991-05-09,129,-4.29,0.0,90.0,137.2
Japan/Mombetsu,44.345,143.355277777778,15.8,1992,1992-05-13,134,-4.77,0.0,90.0,82.9
Japan/Mombetsu,44.345,143.355277777778,15.8,1993,1993-05-20,140,-4.3,0.0,90.0,183.8
Japan/Mombetsu,44.345,143.355277777778,15.8,1994,1994-05-12,132,-5.67,0.0,90.0,229.0
Japan/Mombetsu,44.345,143.355277777778,15.8,1995,1995-05-09,129,-5.38,0.0,90.0,194.3
Japan/Mombetsu,44.345,143.355277777778,15.8,1996,1996-05-29,150,-5.36,0.0,90.0,174.4
Japan/Mombetsu,44.345,143.355277777778,15.8,1997,1997-05-13,133,-4.7,0.6,90.0,177.9
Japan/Mombetsu,44.345,143.355277777778,15.8,1998,1998-05-01,121,-6.32,0.0,90.0,97.0
Japan/Mombetsu,44.345,143.355277777778,15.8,1999,1999-05-18,138,-5.96,0.0,90.0,119.8
Japan/Mombetsu,44.345,143.355277777778,15.8,2000,2000-05-26,147,-6.4,0.0,90.0,168.3
Japan/Mombetsu,44.345,143.355277777778,15.8,2001,2001-05-14,134,-7.33,0.0,90.0,132.3
Japan/Mombetsu,44.345,143.355277777778,15.8,2002,2002-04-30,120,-3.86,0.0,90.0,167.5
Japan/Mombetsu,44.345,143.355277777778,15.8,2003,2003-05-11,131,-6.63,0.0,90.0,137.7
Japan/Mombetsu,44.345,143.355277777778,15.8,2004,2004-05-13,134,-4.23,0.0,90.0,276.6
Japan/Mombetsu,44.345,143.355277777778,15.8,2005,2005-05-26,146,-5.58,0.0,90.0,171.7
Japan/Mombetsu,44.345,143.355277777778,15.8,2006,2006-05-18,138,-4.74,0.0,90.0,170.2
Japan/Mombetsu,44.345,143.355277777778,15.8,2007,2007-05-21,141,-4.19,0.0,90.0,174.4
