location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1953,1953-05-03,123,-3.42,0.0,90.0,244.9
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1954,1954-04-26,116,-3.22,0.0,90.0,225.3
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1955,1955-04-27,117,-3.4,0.0,90.0,358.1
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1956,1956-04-28,119,-3.16,0.1,90.0,339.4
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1957,1957-05-02,122,-3.43,0.0,90.0,286.0
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1958,1958-04-29,119,-2.42,0.0,90.0,347.9
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1959,1959-04-21,111,-1.98,0.0,90.0,337.0
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1960,1960-04-29,120,-2.8,1.7,88.0,370.3
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1961,1961-04-25,115,-3.3,0.0,90.0,272.4
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1962,1962-04-25,115,-2.75,0.0,90.0,317.1
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1963,1963-04-21,111,-2.92,0.0,90.0,253.8
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1964,1964-04-23,114,-3.0,1.3,90.0,268.0
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1965,1965-05-08,128,-3.52,0.0,90.0,287.6
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1966,1966-04-25,115,-2.93,5.8,90.0,449.2
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1967,1967-04-28,118,-3.47,0.0,90.0,226.0
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1968,1968-04-23,114,-2.54,0.5,90.0,252.3
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1969,1969-04-29,119,-3.87,1.0,86.0,287.2
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1970,1970-05-01,121,-4.15,0.0,90.0,327.2
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1971,1971-04-28,118,-2.84,0.4,90.0,278.2
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1972,1972-04-25,116,-1.87,0.5,90.0,405.8
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1973,1973-04-23,113,-2.19,0.0,90.0,279.3
Japan/Morioka,39.6983333333333,141.166111111111,155.2,1974,1974-05-02,122,-2.87,0.0,90.0,293.9
