location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1953,1953-05-17,137,-4.11,0.0,90.0,291.3
Japan/Muroran,42.3236111111111,140.97,3.0,1953,1953-05-17,137,-4.11,0.0,90.0,291.3
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1954,1954-05-13,133,-3.74,0.0,90.0,214.1
Japan/Muroran,42.3236111111111,140.97,3.0,1954,1954-05-13,133,-3.74,0.0,90.0,214.1
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1955,1955-05-23,143,-4.23,0.0,90.0,252.9
Japan/Muroran,42.3236111111111,140.97,3.0,1955,1955-05-23,143,-4.23,0.0,90.0,252.9
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1956,1956-05-13,134,-4.04,0.0,90.0,234.9
Japan/Muroran,42.3236111111111,140.97,3.0,1956,1956-05-13,134,-4.04,0.0,90.0,234.9
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1957,1957-05-14,134,-4.36,0.0,90.0,235.4
Japan/Muroran,42.3236111111111,140.97,3.0,1957,1957-05-14,134,-4.36,0.0,90.0,235.4
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1958,1958-05-17,137,-2.86,0.0,90.0,335.4
Japan/Muroran,42.3236111111111,140.97,3.0,1958,1958-05-17,137,-2.86,0.0,90.0,335.4
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1959,1959-04-30,120,-2.9,0.0,90.0,211.5
Japan/Muroran,42.3236111111111,140.97,3.0,1959,1959-04-30,120,-2.9,0.0,90.0,211.5
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1960,1960-05-14,135,-3.95,0.0,90.0,178.2
Japan/Muroran,42.3236111111111,140.97,3.0,1960,1960-05-14,135,-3.95,0.0,90.0,178.2
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1961,1961-05-11,131,-4.17,0.0,90.0,170.5
Japan/Muroran,42.3236111111111,140.97,3.0,1961,1961-05-11,131,-4.17,0.0,90.0,170.5
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1962,1962-05-12,132,-3.99,0.0,90.0,165.3
Japan/Muroran,42.3236111111111,140.97,3.0,1962,1962-05-12,132,-3.99,0.0,90.0,165.3
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1963,1963-05-10,130,-2.94,0.3,90.0,169.9
Japan/Muroran,42.3236111111111,140.97,3.0,1963,1963-05-10,130,-2.94,0.3,90.0,169.9
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1964,1964-05-12,133,-3.97,0.0,90.0,188.5
Japan/Muroran,42.3236111111111,140.97,3.0,1964,1964-05-12,133,-3.97,0.0,90.0,188.5
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1965,1965-05-20,140,-3.76,0.0,90.0,221.0
Japan/Muroran,42.3236111111111,140.97,3.0,1965,1965-05-20,140,-3.76,0.0,90.0,221.0
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1966,1966-05-20,140,-3.72,0.0,90.0,303.7
Japan/Muroran,42.3236111111111,140.97,3.0,1966,1966-05-20,140,-3.72,0.0,90.0,303.7
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1967,1967-05-08,128,-4.34,0.0,90.0,121.4
Japan/Muroran,42.3236111111111,140.97,3.0,1967,1967-05-08,128,-4.34,0.0,90.0,121.4
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1968,1968-05-10,131,-3.16,0.0,90.0,144.1
Japan/Muroran,42.3236111111111,140.97,3.0,1968,1968-05-10,131,-3.16,0.0,90.0,144.1
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1969,1969-05-12,132,-5.26,0.0,90.0,134.7
Japan/Muroran,42.3236111111111,140.97,3.0,1969,1969-05-12,132,-5.26,0.0,90.0,134.7
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1970,1970-05-16,136,-4.54,0.0,90.0,260.7
Japan/Muroran,42.3236111111111,140.97,3.0,1970,1970-05-16,136,-4.54,0.0,90.0,260.7
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1971,1971-05-15,135,-3.33,0.0,90.0,265.9
Japan/Muroran,42.3236111111111,140.97,3.0,1971,1971-05-15,135,-3.33,0.0,90.0,265.9
