location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Nagano,36.6627777777778,138.1925,418.2,1953,1953-04-24,114,-0.59,1.4,90.0,666.5
Japan/Nagano,36.6627777777778,138.1925,418.2,1954,1954-04-13,103,-0.44,15.5,89.0,470.5
Japan/Nagano,36.6627777777778,138.1925,418.2,1955,1955-04-13,103,-0.87,1.2,90.0,584.9
Japan/Nagano,36.6627777777778,138.1925,418.2,1956,1956-04-17,108,-1.53,8.8,90.0,690.0
Japan/Nagano,36.6627777777778,138.1925,418.2,1957,1957-04-23,113,-0.86,0.0,90.0,550.6
Japan/Nagano,36.6627777777778,138.1925,418.2,1958,1958-04-19,109,-0.31,17.8,90.0,479.2
Japan/Nagano,36.6627777777778,138.1925,418.2,1959,1959-04-12,102,0.43,16.7,90.0,516.7
Japan/Nagano,36.6627777777778,138.1925,418.2,1960,1960-04-23,114,-0.05,15.0,89.0,562.1
Japan/Nagano,36.6627777777778,138.1925,418.2,1961,1961-04-20,110,-1.6,2.6,90.0,487.3
Japan/Nagano,36.6627777777778,138.1925,418.2,1962,1962-04-22,112,-0.94,0.3,90.0,473.8
Japan/Nagano,36.6627777777778,138.1925,418.2,1963,1963-04-18,108,-2.33,1.1,90.0,451.9
Japan/Nagano,36.6627777777778,138.1925,418.2,1964,1964-04-17,108,-0.89,2.0,90.0,573.1
Japan/Nagano,36.6627777777778,138.1925,418.2,1965,1965-05-03,123,-1.38,0.0,90.0,555.5
Japan/Nagano,36.6627777777778,138.1925,418.2,1966,1966-04-23,113,-0.18,11.2,90.0,626.3
Japan/Nagano,36.6627777777778,138.1925,418.2,1967,1967-04-21,111,-1.06,5.5,90.0,560.9
Japan/Nagano,36.6627777777778,138.1925,418.2,1968,1968-04-21,112,-1.39,1.9,90.0,592.4
Japan/Nagano,36.6627777777778,138.1925,418.2,1969,1969-04-22,112,-1.12,3.4,83.0,528.6
Japan/Nagano,36.6627777777778,138.1925,418.2,1970,1970-04-28,118,-2.18,1.3,90.0,562.9
Japan/Nagano,36.6627777777778,138.1925,418.2,1971,1971-04-20,110,-1.35,4.3,90.0,531.6
Japan/Nagano,36.6627777777778,138.1925,418.2,1972,1972-04-17,108,0.23,16.8,90.0,609.4
Japan/Nagano,36.6627777777778,138.1925,418.2,1973,1973-04-20,110,-0.36,9.8,90.0,607.5
Japan/Nagano,36.6627777777778,138.1925,418.2,1974,1974-04-22,112,-1.75,2.3,90.0,646.1
Japan/Nagano,36.6627777777778,138.1925,418.2,1975,1975-04-19,109,-1.05,0.2,90.0,615.3
Japan/Nagano,36.6627777777778,138.1925,418.2,1976,1976-04-20,111,-0.29,2.3,89.0,589.6
Japan/Nagano,36.6627777777778,138.1925,418.2,1977,1977-04-18,108,-1.29,1.7,90.0,581.0
Japan/Nagano,36.6627777777778,138.1925,418.2,1978,1978-04-25,115,-1.07,0.9,90.0,641.9
Japan/Nagano,36.6627777777778,138.1925,418.2,1979,1979-04-11,101,0.98,17.7,90.0,482.6
Japan/Nagano,36.6627777777778,138.1925,418.2,1980,1980-04-22,113,-1.41,0.1,88.0,594.9
Japan/Nagano,36.6627777777778,138.1925,418.2,1981,1981-04-23,113,-1.31,1.9,90.0,604.7
Japan/Nagano,36.6627777777778,138.1925,418.2,1982,1982-04-19,109,-0.67,6.9,90.0,511.2
Japan/Nagano,36.6627777777778,138.1925,418.2,1983,1983-04-16,106,-0.83,0.4,90.0,599.6
Japan/Nagano,36.6627777777778,138.1925,418.2,1984,1984-04-29,120,-3.1,1.3,90.0,641.6
Japan/Nagano,36.6627777777778,138.1925,418.2,1985,1985-04-18,108,-1.2,0.0,90.0,509.7
Japan/Nagano,36.6627777777778,138.1925,418.2,1986,1986-04-23,113,-2.1,0.0,90.0,513.0
Japan/Nagano,36.6627777777778,138.1925,418.2,1987,1987-04-16,106,-0.39,11.3,90.0,554.3
Japan/Nagano,36.6627777777778,138.1925,418.2,1988,1988-04-25,116,-0.35,1.6,90.0,538.7
Japan/Nagano,36.6627777777778,138.1925,418.2,1989,1989-04-11,101,1.06,8.5,89.0,589.3
Japan/Nagano,36.6627777777778,138.1925,418.2,1990,1990-04-11,101,0.44,12.4,89.0,485.9
Japan/Nagano,36.6627777777778,138.1925,418.2,1991,1991-04-15,105,-0.8,0.1,84.0,658.7
Japan/Nagano,36.6627777777778,138.1925,418.2,1992,1992-04-16,107,-0.02,3.6,86.0,533.7
Japan/Nagano,36.6627777777778,138.1925,418.2,1993,1993-04-21,111,-0.04,0.4,87.0,587.8
Japan/Nagano,36.6627777777778,138.1925,418.2,1994,1994-04-18,108,-1.24,0.0,89.0,539.3
Japan/Nagano,36.6627777777778,138.1925,418.2,1995,1995-04-21,111,-0.84,0.9,89.0,578.0
Japan/Nagano,36.6627777777778,138.1925,418.2,1996,1996-04-26,117,-0.97,5.2,89.0,631.5
Japan/Nagano,36.6627777777778,138.1925,418.2,1997,1997-04-16,106,-0.26,5.0,90.0,547.3
Japan/Nagano,36.6627777777778,138.1925,418.2,1998,1998-04-13,103,0.01,9.8,88.0,577.3
Japan/Nagano,36.6627777777778,138.1925,418.2,1999,1999-04-13,103,-0.16,10.5,90.0,597.4
Japan/Nagano,36.6627777777778,138.1925,418.2,2000,2000-04-22,113,0.03,2.7,90.0,658.9
Japan/Nagano,36.6627777777778,138.1925,418.2,2001,2001-04-13,103,-0.45,6.5,90.0,716.4
Japan/Nagano,36.6627777777778,138.1925,418.2,2002,2002-04-05,95,1.06,11.9,90.0,536.1
Japan/Nagano,36.6627777777778,138.1925,418.2,2003,2003-04-18,108,-0.62,6.0,89.0,562.4
Japan/Nagano,36.6627777777778,138.1925,418.2,2004,2004-04-11,102,0.76,20.1,88.0,452.9
Japan/Nagano,36.6627777777778,138.1925,418.2,2005,2005-04-19,109,0.53,4.8,87.0,699.6
Japan/Nagano,36.6627777777778,138.1925,418.2,2006,2006-04-20,110,0.3,5.4,90.0,636.4
Japan/Nagano,36.6627777777778,138.1925,418.2,2007,2007-04-14,104,2.29,37.7,88.0,437.8
Japan/Nagano,36.6627777777778,138.1925,418.2,2008,2008-04-16,107,0.86,16.8,90.0,553.2
Japan/Nagano,36.6627777777778,138.1925,418.2,2009,2009-04-12,102,1.64,21.8,84.0,577.2
