location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Nagoya,35.1677777777778,136.965555555556,51.1,1953,1953-04-12,102,4.14,92.4,83.0,185.5
Japan/Nagoya,35.1683333333333,136.964722222222,51.1,1953,1953-04-12,102,4.14,92.4,83.0,185.5
Japan/Nagoya,35.1677777777778,136.965555555556,51.1,1954,1954-04-04,94,4.91,125.0,70.0,183.6
Japan/Nagoya,35.1683333333333,136.964722222222,51.1,1954,1954-04-04,94,4.91,125.0,70.0,183.6
Japan/Nagoya,35.1677777777778,136.965555555556,51.1,1955,1955-04-03,93,4.45,113.4,80.0,203.7
Japan/Nagoya,35.1683333333333,136.964722222222,51.1,1955,1955-04-03,93,4.45,113.4,80.0,203.7
Japan/Nagoya,35.1677777777778,136.965555555556,51.1,1956,1956-04-09,100,3.96,111.9,81.0,261.2
Japan/Nagoya,35.1683333333333,136.964722222222,51.1,1956,1956-04-09,100,3.96,111.9,81.0,261.2
Japan/Nagoya,35.1677777777778,136.965555555556,51.1,1957,1957-04-13,103,3.73,55.0,82.0,166.0
Japan/Nagoya,35.1683333333333,136.964722222222,51.1,1957,1957-04-13,103,3.73,55.0,82.0,166.0
Japan/Nagoya,35.1677777777778,136.965555555556,51.1,1958,1958-04-07,97,4.84,126.3,73.0,186.0
Japan/Nagoya,35.1683333333333,136.964722222222,51.1,1958,1958-04-07,97,4.84,126.3,73.0,186.0
Japan/Nagoya,35.1677777777778,136.965555555556,51.1,1959,1959-03-30,89,5.52,160.5,68.0,291.3
Japan/Nagoya,35.1683333333333,136.964722222222,51.1,1959,1959-03-30,89,5.52,160.5,68.0,291.3
Japan/Nagoya,35.1677777777778,136.965555555556,51.1,1960,1960-04-04,95,5.14,132.7,74.0,104.3
Japan/Nagoya,35.1683333333333,136.964722222222,51.1,1960,1960-04-04,95,5.14,132.7,74.0,104.3
Japan/Nagoya,35.1677777777778,136.965555555556,51.1,1961,1961-04-06,96,3.61,73.6,85.0,171.1
Japan/Nagoya,35.1683333333333,136.964722222222,51.1,1961,1961-04-06,96,3.61,73.6,85.0,171.1
Japan/Nagoya,35.1677777777778,136.965555555556,51.1,1962,1962-04-12,102,3.97,64.9,81.0,105.6
Japan/Nagoya,35.1683333333333,136.964722222222,51.1,1962,1962-04-12,102,3.97,64.9,81.0,105.6
Japan/Nagoya,35.1677777777778,136.965555555556,51.1,1963,1963-04-06,96,2.29,56.8,88.0,132.7
Japan/Nagoya,35.1683333333333,136.964722222222,51.1,1963,1963-04-06,96,2.29,56.8,88.0,132.7
Japan/Nagoya,35.1677777777778,136.965555555556,51.1,1964,1964-04-07,98,4.13,52.5,80.0,209.0
Japan/Nagoya,35.1683333333333,136.964722222222,51.1,1964,1964-04-07,98,4.13,52.5,80.0,209.0
Japan/Nagoya,35.1677777777778,136.965555555556,51.1,1965,1965-04-16,106,3.16,26.5,83.0,118.4
Japan/Nagoya,35.1683333333333,136.964722222222,51.1,1965,1965-04-16,106,3.16,26.5,83.0,118.4
Japan/Nagoya,35.1677777777778,136.965555555556,51.1,1966,1966-04-03,93,4.76,123.2,74.0,296.5
Japan/Nagoya,35.1683333333333,136.964722222222,51.1,1966,1966-04-03,93,4.76,123.2,74.0,296.5
Japan/Nagoya,35.1677777777778,136.965555555556,51.1,1967,1967-04-05,95,3.89,83.3,86.0,267.1
Japan/Nagoya,35.1683333333333,136.964722222222,51.1,1967,1967-04-05,95,3.89,83.3,86.0,267.1
Japan/Nagoya,35.1677777777778,136.965555555556,51.1,1968,1968-04-05,96,2.93,80.4,88.0,200.8
Japan/Nagoya,35.1683333333333,136.964722222222,51.1,1968,1968-04-05,96,2.93,80.4,88.0,200.8
