location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Naha,26.2072222222222,127.687222222222,28.06,1976,1976-01-28,28,17.61,1147.3,0.0,266.1
Japan/Naha,26.2072222222222,127.687222222222,28.06,1978,1978-01-28,28,16.75,1057.7,0.0,370.0
Japan/Naha,26.2072222222222,127.687222222222,28.06,1979,1979-01-25,25,18.23,1190.5,0.0,448.4
Japan/Naha,26.2072222222222,127.687222222222,28.06,1980,1980-02-19,50,17.69,1154.6,0.0,405.8
Japan/Naha,26.2072222222222,127.687222222222,28.06,1981,1981-02-03,34,17.42,1117.9,0.0,270.0
Japan/Naha,26.2072222222222,127.687222222222,28.06,1982,1982-01-24,24,17.8,1151.7,0.0,317.3
Japan/Naha,26.2072222222222,127.687222222222,28.06,1983,1983-02-04,35,17.77,1149.4,0.0,703.5
Japan/Naha,26.2072222222222,127.687222222222,28.06,1984,1984-02-04,35,16.64,1059.6,0.0,425.7
Japan/Naha,26.2072222222222,127.687222222222,28.06,1985,1985-02-04,35,17.91,1161.7,0.0,475.5
Japan/Naha,26.2072222222222,127.687222222222,28.06,1986,1986-01-26,26,16.01,990.7,0.0,438.1
Japan/Naha,26.2072222222222,127.687222222222,28.06,1987,1987-02-10,41,17.82,1153.4,0.0,272.9
Japan/Naha,26.2072222222222,127.687222222222,28.06,1988,1988-02-11,42,18.97,1271.5,0.0,617.7
Japan/Naha,26.2072222222222,127.687222222222,28.06,1989,1989-01-28,28,18.03,1173.0,0.0,151.2
Japan/Naha,26.2072222222222,127.687222222222,28.06,1990,1990-01-31,31,18.55,1219.6,0.0,353.8
Japan/Naha,26.2072222222222,127.687222222222,28.06,1991,1991-02-10,41,18.17,1185.6,0.0,257.4
Japan/Naha,26.2072222222222,127.687222222222,28.06,1992,1992-02-10,41,18.24,1205.1,0.0,603.5
Japan/Naha,26.2072222222222,127.687222222222,28.06,1993,1993-02-07,38,17.73,1145.6,0.0,283.5
Japan/Naha,26.2072222222222,127.687222222222,28.06,1994,1994-02-04,35,17.5,1124.9,0.0,369.3
Japan/Naha,26.2072222222222,127.687222222222,28.06,1995,1995-02-18,49,16.98,1078.6,0.0,371.5
Japan/Naha,26.2072222222222,127.687222222222,28.06,1996,1996-02-02,33,17.76,1161.4,0.0,319.3
Japan/Naha,26.2072222222222,127.687222222222,28.06,1997,1997-02-01,32,17.97,1167.7,0.0,271.2
Japan/Naha,26.2072222222222,127.687222222222,28.06,1998,1998-01-28,28,19.2,1277.9,0.0,577.7
Japan/Naha,26.2072222222222,127.687222222222,28.06,1999,1999-02-15,46,18.74,1236.5,0.0,265.5
Japan/Naha,26.2072222222222,127.687222222222,28.06,2000,2000-02-03,34,17.83,1167.7,0.0,433.0
Japan/Naha,26.2072222222222,127.687222222222,28.06,2001,2001-02-05,36,18.27,1193.9,0.0,399.3
Japan/Naha,26.2072222222222,127.687222222222,28.06,2002,2002-02-05,36,18.02,1171.8,0.0,238.6
Japan/Naha,26.2072222222222,127.687222222222,28.06,2003,2003-02-07,38,17.12,1090.4,0.0,187.1
Japan/Naha,26.2072222222222,127.687222222222,28.06,2004,2004-02-10,41,17.83,1167.9,0.0,211.3
Japan/Naha,26.2072222222222,127.687222222222,28.06,2005,2005-02-14,45,17.49,1124.2,0.0,428.9
Japan/Naha,26.2072222222222,127.687222222222,28.06,2006,2006-01-24,24,18.2,1187.8,0.0,395.2
Japan/Naha,26.2072222222222,127.687222222222,28.06,2007,2007-02-16,47,18.7,1232.8,0.0,421.1
Japan/Naha,26.2072222222222,127.687222222222,28.06,2008,2008-01-25,25,17.87,1171.2,0.0,291.2
Japan/Naha,26.2072222222222,127.687222222222,28.06,2009,2009-01-23,23,18.7,1233.4,0.0,190.7
Japan/Naha,26.2072222222222,127.687222222222,28.06,2010,2010-02-01,32,18.53,1217.8,0.0,269.7
Japan/Naha,26.2072222222222,127.687222222222,28.06,2011,2011-02-02,33,16.8,1062.2,0.0,194.6
Japan/Naha,26.2072222222222,127.687222222222,28.06,2012,2012-02-06,37,18.21,1202.4,0.0,260.2
Japan/Naha,26.2072222222222,127.687222222222,28.06,2013,2013-01-23,23,18.77,1239.2,0.0,347.2
Japan/Naha,26.2072222222222,127.687222222222,28.06,2014,2014-01-27,27,17.8,1152.3,0.0,325.8
Japan/Naha,26.2072222222222,127.687222222222,28.06,2015,2015-01-29,29,17.43,1118.8,0.0,202.0
Japan/Naha,26.2072222222222,127.687222222222,28.06,2016,2016-02-12,43,17.9,1174.1,0.0,530.6
Japan/Naha,26.2072222222222,127.687222222222,28.06,2017,2017-02-08,39,17.74,1146.5,0.0,233.1
Japan/Naha,26.2072222222222,127.687222222222,28.06,2018,2018-01-30,30,17.77,1149.1,0.0,205.0
Japan/Naha,26.2072222222222,127.687222222222,28.06,2019,2019-02-12,43,19.1,1269.1,0.0,358.6
Japan/Naha,26.2072222222222,127.687222222222,28.06,2020,2020-02-03,34,18.73,1249.1,0.0,326.2
Japan/Naha,26.2072222222222,127.687222222222,28.06,2021,2021-02-01,32,18.38,1203.8,0.0,395.8
