location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1953,1953-02-02,33,13.93,803.7,0.0,242.2
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1956,1956-01-24,24,13.1,737.0,0.0,289.5
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1957,1957-01-31,31,12.94,715.0,0.0,354.3
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1959,1959-02-12,43,14.54,858.4,1.0,424.4
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1960,1960-02-05,36,14.37,852.4,0.0,316.8
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1974,1974-01-23,23,13.1,729.3,0.0,344.1
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1975,1975-02-03,34,13.63,776.5,0.0,480.9
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1976,1976-01-30,30,13.72,793.2,0.0,344.1
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1977,1977-01-21,21,13.08,727.4,3.0,457.7
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1978,1978-02-08,39,13.05,724.2,1.0,425.5
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1979,1979-01-31,31,14.36,842.8,0.0,392.2
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1980,1980-02-01,32,13.59,782.0,0.0,379.3
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1981,1981-01-31,31,13.47,762.6,0.0,428.4
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1982,1982-01-30,30,13.66,779.8,0.0,418.7
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1983,1983-01-31,31,13.83,794.8,0.0,547.4
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1984,1984-02-02,33,12.27,661.3,0.0,415.3
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1985,1985-02-03,34,13.95,805.7,0.0,452.2
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1986,1986-01-29,29,12.11,640.2,0.0,332.3
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1987,1987-02-05,36,13.95,805.9,0.0,422.1
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1988,1988-01-18,18,14.57,870.7,0.0,557.3
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1989,1989-01-13,13,14.62,865.4,0.0,297.8
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1990,1990-01-28,28,14.54,858.6,0.0,417.1
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1991,1991-02-04,35,14.15,823.8,0.0,380.6
Japan/Naze/Funchatoge,28.3941666666667,129.552777777778,294.1,1992,1992-01-28,28,14.47,862.1,0.0,687.6
