location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1960,1960-06-08,160,-3.45,0.0,89.0,262.9
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1961,1961-05-26,146,-3.75,0.0,90.0,150.8
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1962,1962-05-20,140,-2.87,0.0,89.0,177.8
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1963,1963-05-22,142,-2.14,0.0,90.0,222.6
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1964,1964-05-28,149,-3.25,0.0,89.0,113.9
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1965,1965-05-28,148,-2.79,0.0,90.0,204.2
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1966,1966-05-27,147,-2.79,0.0,89.0,274.8
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1967,1967-05-22,142,-3.4,0.0,90.0,95.6
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1968,1968-05-28,149,-2.22,0.0,90.0,139.2
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1969,1969-05-20,140,-4.14,0.0,88.0,139.5
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1970,1970-05-24,144,-4.08,0.0,90.0,209.9
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1971,1971-05-29,149,-2.62,0.0,90.0,200.4
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1972,1972-05-18,139,-2.12,0.0,90.0,217.7
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1973,1973-05-17,137,-2.54,0.0,90.0,137.8
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1974,1974-05-21,141,-2.68,0.0,88.0,151.9
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1975,1975-05-31,151,-2.61,0.0,90.0,222.4
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1976,1976-05-22,143,-2.43,0.0,90.0,181.1
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1977,1977-05-31,151,-4.4,0.0,90.0,138.2
Japan/Nemuro,43.3305555555556,145.585555555556,25.2,1978,1978-05-28,148,-4.37,0.0,90.0,186.5
