location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1953,1953-04-20,110,2.29,20.4,87.0,434.8
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1954,1954-04-15,105,2.98,47.9,78.0,336.0
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1955,1955-04-13,103,2.3,21.3,85.0,408.1
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1956,1956-04-19,110,1.47,16.3,77.0,476.5
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1957,1957-04-24,114,1.68,6.0,89.0,404.9
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1958,1958-04-21,111,2.9,46.5,79.0,408.4
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1959,1959-04-12,102,3.37,50.3,82.0,405.6
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1960,1960-04-18,109,2.97,41.8,79.0,430.2
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1961,1961-04-19,109,1.51,9.8,82.0,385.9
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1962,1962-04-18,108,2.34,13.9,80.0,479.3
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1963,1963-04-16,106,1.27,13.4,85.0,408.1
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1964,1964-04-14,105,2.53,15.3,78.0,398.6
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1965,1965-04-24,114,2.08,10.9,84.0,450.2
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1966,1966-04-18,108,2.96,36.1,85.0,476.0
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1967,1967-04-16,106,2.01,25.6,89.0,425.0
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1968,1968-04-15,106,1.69,15.5,88.0,522.2
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1969,1969-04-21,111,1.69,17.8,75.0,418.3
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1970,1970-04-24,114,0.92,2.9,85.0,442.2
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1971,1971-04-17,107,2.04,32.8,87.0,386.4
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1972,1972-04-14,105,4.15,67.4,80.0,397.3
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1973,1973-04-14,104,3.52,34.0,77.0,437.6
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1974,1974-04-23,113,1.61,3.2,89.0,442.8
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1975,1975-04-17,107,2.1,14.5,90.0,477.9
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1976,1976-04-20,111,2.63,36.0,83.0,478.8
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1977,1977-04-16,106,0.92,4.8,89.0,457.4
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1978,1978-04-21,111,1.87,17.2,84.0,478.0
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1979,1979-04-11,101,4.03,57.0,74.0,420.6
Japan/Niigata,37.8936111111111,139.018888888889,4.1,1980,1980-04-21,112,1.43,10.7,78.0,448.4
