location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1953,1953-05-19,139,-8.64,0.0,90.0,233.8
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1954,1954-05-12,132,-7.66,0.0,90.0,176.9
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1955,1955-05-14,134,-8.29,0.0,90.0,216.2
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1956,1956-05-09,130,-7.91,0.0,90.0,263.9
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1957,1957-05-14,134,-8.45,0.0,90.0,129.1
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1958,1958-05-16,136,-6.98,0.0,90.0,328.7
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1959,1959-05-05,125,-7.03,0.0,90.0,220.1
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1960,1960-05-15,136,-7.85,0.0,90.0,222.0
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1961,1961-05-09,129,-8.34,0.0,90.0,169.6
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1962,1962-05-07,127,-7.76,0.0,90.0,164.0
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1963,1963-05-10,130,-6.22,0.0,90.0,199.6
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1964,1964-05-10,131,-8.14,0.8,90.0,105.5
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1965,1965-05-17,137,-7.52,0.0,90.0,175.8
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1966,1966-05-17,137,-7.58,0.0,90.0,271.7
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1967,1967-05-05,125,-8.22,0.0,90.0,97.5
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1968,1968-05-05,126,-6.68,1.1,90.0,112.4
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1969,1969-05-10,130,-9.09,0.0,89.0,172.1
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1970,1970-05-13,133,-8.85,0.0,90.0,274.2
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1971,1971-05-16,136,-7.06,0.0,90.0,224.6
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1972,1972-05-06,127,-6.21,0.0,90.0,281.1
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1973,1973-05-09,129,-6.45,0.0,90.0,187.2
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1974,1974-05-12,132,-6.94,0.0,90.0,75.3
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1975,1975-05-14,134,-7.73,0.0,90.0,367.0
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1976,1976-05-11,132,-6.92,0.0,90.0,146.2
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1977,1977-05-13,133,-7.82,0.0,90.0,142.6
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1978,1978-05-13,133,-8.79,0.0,90.0,237.6
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1979,1979-05-17,137,-6.98,0.0,90.0,255.3
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1980,1980-05-16,137,-7.48,0.0,90.0,160.5
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1981,1981-05-07,127,-7.07,0.0,90.0,202.9
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1982,1982-05-09,129,-7.66,0.0,90.0,173.9
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1983,1983-05-03,123,-8.13,0.0,90.0,146.1
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1984,1984-05-21,142,-9.29,0.0,90.0,141.3
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1985,1985-05-06,126,-8.01,0.0,90.0,183.7
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1986,1986-05-08,128,-8.32,0.0,90.0,151.2
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1987,1987-05-08,128,-7.44,0.0,90.0,168.2
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1988,1988-05-07,128,-8.14,0.0,90.0,98.0
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1989,1989-05-07,127,-4.93,0.0,90.0,180.6
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1990,1990-05-04,124,-6.11,0.0,90.0,158.0
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1991,1991-05-06,126,-6.59,0.0,89.0,175.3
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1992,1992-05-09,130,-7.3,0.0,90.0,99.1
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1993,1993-05-11,131,-6.09,0.0,90.0,140.0
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1994,1994-05-08,128,-7.33,0.0,90.0,205.1
