location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Onahama,36.9475,140.903333333333,3.3,1953,1953-04-13,103,4.72,104.7,77.0,176.9
Japan/Onahama,36.9475,140.903333333333,3.3,1954,1954-04-06,96,5.02,128.1,60.0,200.2
Japan/Onahama,36.9475,140.903333333333,3.3,1955,1955-04-10,100,4.44,78.1,74.0,276.2
Japan/Onahama,36.9475,140.903333333333,3.3,1956,1956-04-16,107,4.16,88.2,70.0,289.2
Japan/Onahama,36.9475,140.903333333333,3.3,1957,1957-04-17,107,4.34,64.8,79.0,219.2
Japan/Onahama,36.9475,140.903333333333,3.3,1958,1958-04-13,103,5.2,113.5,62.0,188.7
Japan/Onahama,36.9475,140.903333333333,3.3,1959,1959-04-06,96,4.99,109.2,66.0,314.8
Japan/Onahama,36.9475,140.903333333333,3.3,1960,1960-04-14,105,5.31,127.2,63.0,128.6
Japan/Onahama,36.9475,140.903333333333,3.3,1961,1961-04-14,104,3.92,51.1,76.0,157.7
Japan/Onahama,36.9475,140.903333333333,3.3,1962,1962-04-16,106,4.79,67.2,74.0,178.1
Japan/Onahama,36.9475,140.903333333333,3.3,1963,1963-04-16,106,3.77,44.5,79.0,150.7
Japan/Onahama,36.9475,140.903333333333,3.3,1964,1964-04-13,104,4.15,48.9,73.0,310.5
Japan/Onahama,36.9475,140.903333333333,3.3,1965,1965-04-22,112,4.26,47.3,70.0,138.7
Japan/Onahama,36.9475,140.903333333333,3.3,1966,1966-04-11,101,5.45,143.2,60.0,304.2
Japan/Onahama,36.9475,140.903333333333,3.3,1967,1967-04-09,99,4.29,96.1,78.0,231.4
Japan/Onahama,36.9475,140.903333333333,3.3,1968,1968-04-12,103,4.32,89.9,75.0,235.1
Japan/Onahama,36.9475,140.903333333333,3.3,1969,1969-04-16,106,4.53,107.8,56.0,363.6
Japan/Onahama,36.9475,140.903333333333,3.3,1970,1970-04-21,111,3.39,47.8,75.0,150.8
Japan/Onahama,36.9475,140.903333333333,3.3,1971,1971-04-15,105,4.41,80.4,79.0,210.6
Japan/Onahama,36.9475,140.903333333333,3.3,1972,1972-04-11,102,5.75,135.2,64.0,390.0
Japan/Onahama,36.9475,140.903333333333,3.3,1973,1973-04-12,102,5.58,111.1,54.0,174.5
Japan/Onahama,36.9475,140.903333333333,3.3,1974,1974-04-19,109,3.82,48.6,84.0,227.1
Japan/Onahama,36.9475,140.903333333333,3.3,1975,1975-04-15,105,3.89,43.2,86.0,293.6
Japan/Onahama,36.9475,140.903333333333,3.3,1976,1976-04-13,104,5.25,118.3,77.0,258.8
Japan/Onahama,36.9475,140.903333333333,3.3,1977,1977-04-14,104,3.45,71.2,80.0,256.9
Japan/Onahama,36.9475,140.903333333333,3.3,1978,1978-04-21,111,4.16,65.0,67.0,172.2
Japan/Onahama,36.9475,140.903333333333,3.3,1979,1979-04-09,99,6.47,179.7,53.0,304.4
Japan/Onahama,36.9475,140.903333333333,3.3,1980,1980-04-20,111,3.7,55.4,64.0,251.2
Japan/Onahama,36.9475,140.903333333333,3.3,1981,1981-04-16,106,3.45,51.7,80.0,180.3
Japan/Onahama,36.9475,140.903333333333,3.3,1982,1982-04-11,101,4.74,94.7,80.0,181.8
Japan/Onahama,36.9475,140.903333333333,3.3,1983,1983-04-16,106,4.12,54.6,74.0,242.9
Japan/Onahama,36.9475,140.903333333333,3.3,1984,1984-04-29,120,1.6,8.9,84.0,211.2
Japan/Onahama,36.9475,140.903333333333,3.3,1985,1985-04-17,107,3.59,44.1,75.0,326.0
Japan/Onahama,36.9475,140.903333333333,3.3,1986,1986-04-21,111,3.0,26.8,79.0,238.4
Japan/Onahama,36.9475,140.903333333333,3.3,1987,1987-04-10,100,4.68,101.2,68.0,233.3
Japan/Onahama,36.9475,140.903333333333,3.3,1988,1988-04-16,107,4.76,93.0,63.0,237.2
Japan/Onahama,36.9475,140.903333333333,3.3,1989,1989-04-05,95,6.24,152.5,60.0,325.4
Japan/Onahama,36.9475,140.903333333333,3.3,1990,1990-04-03,93,5.37,139.8,63.0,238.9
Japan/Onahama,36.9475,140.903333333333,3.3,1991,1991-04-15,105,5.05,96.4,65.0,237.8
Japan/Onahama,36.9475,140.903333333333,3.3,1992,1992-04-08,99,5.32,101.7,70.0,210.4
Japan/Onahama,36.9475,140.903333333333,3.3,1993,1993-04-16,106,5.38,95.4,68.0,297.0
Japan/Onahama,36.9475,140.903333333333,3.3,1994,1994-04-12,102,4.17,51.4,71.0,269.4
Japan/Onahama,36.9475,140.903333333333,3.3,1995,1995-04-12,102,4.82,74.0,74.0,218.4
Japan/Onahama,36.9475,140.903333333333,3.3,1996,1996-04-15,106,4.54,80.6,73.0,187.8
Japan/Onahama,36.9475,140.903333333333,3.3,1997,1997-04-08,98,5.31,104.6,67.0,209.8
Japan/Onahama,36.9475,140.903333333333,3.3,1998,1998-04-11,101,4.39,83.1,72.0,269.5
Japan/Onahama,36.9475,140.903333333333,3.3,1999,1999-04-09,99,5.3,118.8,68.0,214.0
Japan/Onahama,36.9475,140.903333333333,3.3,2000,2000-04-12,103,5.09,101.3,72.0,220.1
Japan/Onahama,36.9475,140.903333333333,3.3,2001,2001-04-09,99,4.04,86.4,73.0,293.2
Japan/Onahama,36.9475,140.903333333333,3.3,2002,2002-04-01,91,6.62,189.4,68.0,273.9
Japan/Onahama,36.9475,140.903333333333,3.3,2003,2003-04-13,103,4.48,63.3,78.0,311.7
Japan/Onahama,36.9475,140.903333333333,3.3,2004,2004-04-08,99,5.23,96.2,70.0,156.8
Japan/Onahama,36.9475,140.903333333333,3.3,2005,2005-04-16,106,4.38,53.3,71.0,256.4
Japan/Onahama,36.9475,140.903333333333,3.3,2006,2006-04-11,101,4.69,83.9,82.0,246.5
Japan/Onahama,36.9475,140.903333333333,3.3,2007,2007-04-05,95,6.49,155.1,60.0,188.0
Japan/Onahama,36.9475,140.903333333333,3.3,2008,2008-04-05,96,5.37,115.0,66.0,218.2
