location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1954,1954-04-02,92,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1964,1964-04-07,98,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1965,1965-04-12,102,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1966,1966-03-31,90,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1967,1967-04-03,93,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1968,1968-03-31,91,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1969,1969-04-09,99,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1970,1970-04-08,98,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1971,1971-04-03,93,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1972,1972-04-05,96,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1973,1973-04-08,98,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1974,1974-04-09,99,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1975,1975-04-07,97,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1976,1976-04-04,95,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1977,1977-04-02,92,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1978,1978-04-11,101,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1979,1979-04-04,94,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1980,1980-04-09,100,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1981,1981-04-06,96,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1982,1982-04-01,91,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1983,1983-04-09,99,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1984,1984-04-13,104,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1985,1985-04-07,97,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1986,1986-04-07,97,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1987,1987-04-03,93,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1988,1988-04-12,103,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1989,1989-03-31,90,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1990,1990-04-02,92,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1991,1991-04-06,96,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1992,1992-04-03,94,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1993,1993-04-06,96,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1994,1994-04-07,97,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1995,1995-04-06,96,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1996,1996-04-06,97,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1997,1997-04-01,91,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1998,1998-03-31,90,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,1999,1999-04-02,92,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,2000,2000-04-09,100,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,2001,2001-03-29,88,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,2002,2002-03-23,82,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,2003,2003-03-31,90,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,2004,2004-04-01,92,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,2005,2005-04-07,97,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,2006,2006-03-28,87,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,2007,2007-03-31,90,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,2008,2008-03-31,91,,,,
Japan/Oshima,34.7494444444444,139.363055555556,74.0,2009,2009-04-04,94,,,,
