location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1953,1953-05-13,133,-5.84,0.0,90.0,209.1
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1954,1954-05-17,137,-4.98,0.0,90.0,240.0
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1955,1955-05-16,136,-5.3,0.0,90.0,284.8
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1956,1956-05-14,135,-5.13,0.0,90.0,254.3
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1957,1957-05-14,134,-5.37,0.0,90.0,226.4
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1958,1958-05-16,136,-4.21,0.0,90.0,285.3
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1961,1961-05-13,133,-5.16,0.0,90.0,228.2
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1962,1962-05-16,136,-5.05,0.0,90.0,231.6
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1963,1963-05-17,137,-4.09,0.0,90.0,133.2
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1964,1964-05-11,132,-5.56,0.0,90.0,117.9
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1965,1965-05-23,143,-4.67,0.0,90.0,249.2
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1966,1966-05-20,140,-4.73,0.0,90.0,310.5
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1967,1967-05-19,139,-5.41,0.0,90.0,213.8
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1968,1968-05-11,132,-4.13,0.0,90.0,198.0
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1969,1969-05-18,138,-6.43,0.0,90.0,243.3
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1970,1970-05-11,131,-5.71,0.0,90.0,287.2
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1971,1971-05-21,141,-4.61,0.0,90.0,198.2
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1973,1973-05-18,138,-4.01,0.0,90.0,231.6
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1974,1974-05-18,138,-3.89,0.0,90.0,191.5
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1975,1975-05-12,132,-4.42,0.0,90.0,274.1
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1976,1976-05-16,137,-3.78,0.0,90.0,224.5
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1977,1977-05-16,136,-5.96,0.0,90.0,196.1
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1978,1978-05-14,134,-6.12,0.0,90.0,208.5
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1979,1979-05-20,140,-5.2,0.0,90.0,248.5
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1980,1980-05-22,143,-5.64,0.0,90.0,180.1
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1981,1981-05-13,133,-5.27,0.0,90.0,132.1
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1982,1982-05-12,132,-5.0,0.0,90.0,170.7
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1983,1983-05-03,123,-5.46,0.0,90.0,104.9
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1984,1984-05-23,144,-6.25,0.0,90.0,86.0
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1985,1985-05-13,133,-5.47,0.0,90.0,173.8
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1986,1986-05-11,131,-5.96,0.0,90.0,129.8
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1987,1987-05-15,135,-5.22,0.0,90.0,244.0
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1988,1988-05-12,133,-5.02,0.0,90.0,173.2
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1989,1989-05-07,127,-2.78,0.4,90.0,145.5
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1990,1990-05-01,121,-3.84,0.0,90.0,134.6
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1991,1991-05-11,131,-3.84,0.0,90.0,182.8
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1992,1992-05-16,137,-4.03,0.0,90.0,111.7
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1993,1993-05-14,134,-3.63,0.0,90.0,145.7
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1994,1994-05-18,138,-4.76,0.0,90.0,211.1
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1995,1995-05-09,129,-4.32,0.0,90.0,137.7
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1996,1996-05-22,143,-4.53,0.0,90.0,206.3
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1997,1997-05-14,134,-3.93,0.4,90.0,163.8
