location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1953,1953-04-22,112,0.71,1.1,90.0,388.2
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1954,1954-04-18,108,1.38,15.7,86.0,366.3
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1955,1955-04-15,105,0.6,1.2,87.0,453.9
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1956,1956-04-21,112,0.45,3.1,80.0,489.0
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1957,1957-04-23,113,0.38,0.0,90.0,409.8
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1958,1958-04-22,112,1.43,8.9,85.0,438.9
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1959,1959-04-12,102,2.03,18.5,84.0,468.8
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1960,1960-04-21,112,1.2,6.0,84.0,480.4
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1961,1961-04-20,110,0.54,0.2,89.0,400.0
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1962,1962-04-22,112,0.92,1.3,86.0,429.3
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1963,1963-04-18,108,0.37,0.0,90.0,376.2
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1964,1964-04-18,109,0.84,5.5,80.0,378.6
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1965,1965-05-02,122,0.67,0.4,88.0,465.4
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1966,1966-04-21,111,1.17,4.1,86.0,537.6
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1967,1967-04-20,110,0.68,2.3,89.0,366.9
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1968,1968-04-19,110,0.82,1.1,90.0,395.1
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1969,1969-04-25,115,0.27,2.2,79.0,429.2
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1970,1970-04-27,117,-0.01,0.3,87.0,416.3
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1971,1971-04-24,114,0.79,7.9,89.0,357.6
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1972,1972-04-19,110,2.47,32.5,86.0,438.4
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1973,1973-04-21,111,1.95,10.7,85.0,438.7
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1974,1974-04-26,116,0.61,0.0,90.0,478.7
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1975,1975-04-20,110,0.59,0.7,90.0,451.2
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1976,1976-04-22,113,1.1,2.9,88.0,472.8
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1977,1977-04-20,110,0.23,2.4,89.0,441.2
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1978,1978-04-25,115,0.24,0.3,85.0,467.4
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1979,1979-04-21,111,2.03,18.1,81.0,455.6
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1980,1980-04-24,115,0.4,0.9,82.0,411.3
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1981,1981-04-22,112,0.54,2.8,87.0,354.6
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1982,1982-04-19,109,0.65,0.3,86.0,362.4
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1983,1983-04-18,108,0.95,1.5,85.0,408.8
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1984,1984-05-01,122,-1.05,0.0,88.0,385.8
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1985,1985-04-19,109,0.05,0.0,84.0,340.4
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1986,1986-04-23,113,-0.14,0.0,89.0,364.8
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1987,1987-04-18,108,0.81,7.1,86.0,426.0
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1988,1988-04-26,117,0.49,4.9,84.0,402.4
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1989,1989-04-11,101,2.61,20.2,87.0,380.9
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1990,1990-04-11,101,2.03,25.9,85.0,315.9
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1991,1991-04-17,107,1.26,3.1,79.0,387.6
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1992,1992-04-16,107,1.67,5.4,84.0,356.4
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1993,1993-04-20,110,2.33,18.5,83.0,438.7
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1994,1994-04-19,109,0.74,0.7,88.0,364.5
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1995,1995-04-20,110,0.96,4.5,87.0,347.2
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1996,1996-04-25,116,0.69,3.5,90.0,446.8
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1997,1997-04-18,108,1.65,8.1,87.0,341.0
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1998,1998-04-13,103,1.38,16.1,84.0,365.2
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1999,1999-04-18,108,1.05,7.1,85.0,416.3
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2000,2000-04-22,113,1.28,2.6,89.0,449.1
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2001,2001-04-15,105,0.17,4.8,88.0,393.4
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2002,2002-04-08,98,2.31,16.3,90.0,518.9
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2003,2003-04-16,106,1.01,3.4,88.0,383.1
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2004,2004-04-12,103,1.88,15.2,83.0,341.4
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2005,2005-04-25,115,0.77,1.9,81.0,459.0
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2006,2006-04-21,111,0.88,1.2,90.0,346.0
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2007,2007-04-19,109,2.57,14.9,86.0,385.0
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2008,2008-04-13,104,1.49,12.8,89.0,315.0
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2009,2009-04-14,104,2.07,20.5,82.0,420.0
