location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Sapporo,43.06,141.328611111111,17.45,1953,1953-05-14,134,-6.42,0.0,90.0,210.8
Japan/Sapporo,43.06,141.328611111111,17.45,1954,1954-05-08,128,-5.59,0.0,90.0,246.7
Japan/Sapporo,43.06,141.328611111111,17.45,1955,1955-05-16,136,-6.23,0.0,90.0,299.4
Japan/Sapporo,43.06,141.328611111111,17.45,1956,1956-05-09,130,-5.93,0.0,90.0,230.2
Japan/Sapporo,43.06,141.328611111111,17.45,1957,1957-05-13,133,-6.23,0.0,90.0,206.1
Japan/Sapporo,43.06,141.328611111111,17.45,1959,1959-05-10,130,-4.69,0.0,90.0,190.0
Japan/Sapporo,43.06,141.328611111111,17.45,1960,1960-05-09,130,-5.8,0.0,90.0,213.0
Japan/Sapporo,43.06,141.328611111111,17.45,1961,1961-05-09,129,-6.23,0.0,90.0,217.3
Japan/Sapporo,43.06,141.328611111111,17.45,1962,1962-05-05,125,-5.56,0.0,90.0,193.3
Japan/Sapporo,43.06,141.328611111111,17.45,1963,1963-05-05,125,-4.67,0.0,90.0,156.2
Japan/Sapporo,43.06,141.328611111111,17.45,1964,1964-05-07,128,-5.97,0.0,90.0,167.5
Japan/Sapporo,43.06,141.328611111111,17.45,1965,1965-05-16,136,-5.53,0.0,90.0,241.1
Japan/Sapporo,43.06,141.328611111111,17.45,1966,1966-05-11,131,-5.66,0.0,90.0,313.5
Japan/Sapporo,43.06,141.328611111111,17.45,1967,1967-05-04,124,-6.29,0.0,90.0,205.2
Japan/Sapporo,43.06,141.328611111111,17.45,1968,1968-05-04,125,-4.73,0.0,90.0,207.4
Japan/Sapporo,43.06,141.328611111111,17.45,1969,1969-05-10,130,-7.16,0.0,90.0,232.4
Japan/Sapporo,43.06,141.328611111111,17.45,1970,1970-05-09,129,-6.45,0.0,90.0,320.0
Japan/Sapporo,43.06,141.328611111111,17.45,1971,1971-05-13,133,-5.23,0.0,90.0,206.0
Japan/Sapporo,43.06,141.328611111111,17.45,1972,1972-05-01,122,-4.07,0.0,90.0,341.4
Japan/Sapporo,43.06,141.328611111111,17.45,1973,1973-05-07,127,-4.19,0.0,90.0,313.7
Japan/Sapporo,43.06,141.328611111111,17.45,1974,1974-05-13,133,-4.38,0.0,90.0,248.2
Japan/Sapporo,43.06,141.328611111111,17.45,1975,1975-05-08,128,-5.18,0.0,90.0,296.6
Japan/Sapporo,43.06,141.328611111111,17.45,1976,1976-05-10,131,-4.56,0.0,90.0,273.4
Japan/Sapporo,43.06,141.328611111111,17.45,1977,1977-05-12,132,-6.52,0.0,90.0,296.4
Japan/Sapporo,43.06,141.328611111111,17.45,1978,1978-05-13,133,-6.25,0.0,90.0,334.4
Japan/Sapporo,43.06,141.328611111111,17.45,1979,1979-05-14,134,-5.12,0.0,90.0,240.2
Japan/Sapporo,43.06,141.328611111111,17.45,1980,1980-05-18,139,-5.94,0.0,90.0,177.7
Japan/Sapporo,43.06,141.328611111111,17.45,1981,1981-05-08,128,-4.85,0.0,90.0,160.8
Japan/Sapporo,43.06,141.328611111111,17.45,1982,1982-05-08,128,-5.84,0.0,90.0,164.0
Japan/Sapporo,43.06,141.328611111111,17.45,1983,1983-05-01,121,-5.87,0.0,90.0,106.4
Japan/Sapporo,43.06,141.328611111111,17.45,1984,1984-05-21,142,-7.22,0.0,90.0,142.9
Japan/Sapporo,43.06,141.328611111111,17.45,1985,1985-05-08,128,-5.95,0.0,90.0,196.9
Japan/Sapporo,43.06,141.328611111111,17.45,1986,1986-05-09,129,-6.49,0.0,90.0,169.5
Japan/Sapporo,43.06,141.328611111111,17.45,1987,1987-05-09,129,-5.61,0.0,90.0,212.6
Japan/Sapporo,43.06,141.328611111111,17.45,1988,1988-05-07,128,-5.88,0.0,90.0,164.0
Japan/Sapporo,43.06,141.328611111111,17.45,1989,1989-05-04,124,-3.33,0.0,90.0,146.7
Japan/Sapporo,43.06,141.328611111111,17.45,1990,1990-04-29,119,-4.11,0.0,90.0,143.5
Japan/Sapporo,43.06,141.328611111111,17.45,1991,1991-05-07,127,-4.55,0.0,89.0,159.9
Japan/Sapporo,43.06,141.328611111111,17.45,1992,1992-05-10,131,-4.89,0.0,90.0,113.2
Japan/Sapporo,43.06,141.328611111111,17.45,1993,1993-05-10,130,-4.29,0.0,90.0,158.6
Japan/Sapporo,43.06,141.328611111111,17.45,1994,1994-05-09,129,-5.6,0.0,90.0,211.8
Japan/Sapporo,43.06,141.328611111111,17.45,1995,1995-05-03,123,-4.73,0.0,90.0,147.2
Japan/Sapporo,43.06,141.328611111111,17.45,1996,1996-05-12,133,-5.35,0.0,90.0,230.4
Japan/Sapporo,43.06,141.328611111111,17.45,1997,1997-05-05,125,-4.71,0.0,90.0,158.8
Japan/Sapporo,43.06,141.328611111111,17.45,1998,1998-04-26,116,-5.9,0.0,90.0,158.1
Japan/Sapporo,43.06,141.328611111111,17.45,1999,1999-05-08,128,-5.77,0.0,90.0,185.0
Japan/Sapporo,43.06,141.328611111111,17.45,2000,2000-05-11,132,-5.44,0.0,90.0,204.7
Japan/Sapporo,43.06,141.328611111111,17.45,2001,2001-05-05,125,-6.6,0.0,90.0,177.2
Japan/Sapporo,43.06,141.328611111111,17.45,2002,2002-04-25,115,-3.46,0.0,90.0,147.9
Japan/Sapporo,43.06,141.328611111111,17.45,2003,2003-05-04,124,-5.19,0.0,90.0,132.6
Japan/Sapporo,43.06,141.328611111111,17.45,2004,2004-05-09,130,-4.02,0.0,90.0,243.8
Japan/Sapporo,43.06,141.328611111111,17.45,2005,2005-05-16,136,-5.41,0.0,90.0,204.5
