location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1953,1953-04-17,107,1.19,14.6,90.0,173.4
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1953,1953-04-17,107,1.19,14.6,90.0,173.4
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1954,1954-04-12,102,1.57,30.0,83.0,143.2
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1954,1954-04-12,102,1.57,30.0,83.0,143.2
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1955,1955-04-16,106,0.89,16.4,85.0,212.4
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1955,1955-04-16,106,0.89,16.4,85.0,212.4
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1956,1956-04-19,110,0.68,21.5,87.0,307.5
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1956,1956-04-19,110,0.68,21.5,87.0,307.5
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1957,1957-04-21,111,0.89,7.3,89.0,210.1
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1957,1957-04-21,111,0.89,7.3,89.0,210.1
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1958,1958-04-15,105,1.99,24.8,85.0,244.2
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1958,1958-04-15,105,1.99,24.8,85.0,244.2
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1959,1959-04-10,100,2.24,29.8,85.0,236.2
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1959,1959-04-10,100,2.24,29.8,85.0,236.2
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1960,1960-04-17,108,1.66,23.8,85.0,177.5
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1960,1960-04-17,108,1.66,23.8,85.0,177.5
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1961,1961-04-16,106,0.28,6.0,89.0,182.7
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1961,1961-04-16,106,0.28,6.0,89.0,182.7
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1962,1962-04-21,111,1.3,9.3,88.0,154.8
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1962,1962-04-21,111,1.3,9.3,88.0,154.8
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1963,1963-04-18,108,0.34,10.3,89.0,186.5
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1963,1963-04-18,108,0.34,10.3,89.0,186.5
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1964,1964-04-19,110,0.86,9.6,86.0,289.0
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1964,1964-04-19,110,0.86,9.6,86.0,289.0
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1965,1965-04-25,115,1.23,6.7,89.0,143.0
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1965,1965-04-25,115,1.23,6.7,89.0,143.0
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1966,1966-04-18,108,1.83,32.0,88.0,276.3
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1966,1966-04-18,108,1.83,32.0,88.0,276.3
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1967,1967-04-18,108,0.49,22.4,90.0,208.0
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1967,1967-04-18,108,0.49,22.4,90.0,208.0
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1968,1968-04-14,105,1.22,28.0,90.0,152.6
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1968,1968-04-14,105,1.22,28.0,90.0,152.6
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1969,1969-04-20,110,0.05,16.4,76.0,293.7
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1969,1969-04-20,110,0.05,16.4,76.0,293.7
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1970,1970-04-25,115,0.12,5.7,86.0,156.8
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1970,1970-04-25,115,0.12,5.7,86.0,156.8
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1971,1971-04-17,107,1.39,32.9,89.0,185.3
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1971,1971-04-17,107,1.39,32.9,89.0,185.3
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1972,1972-04-16,107,2.73,50.2,87.0,386.6
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1972,1972-04-16,107,2.73,50.2,87.0,386.6
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1973,1973-04-18,108,2.53,22.3,83.0,157.7
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1973,1973-04-18,108,2.53,22.3,83.0,157.7
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1974,1974-04-24,114,0.46,3.4,90.0,231.5
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1974,1974-04-24,114,0.46,3.4,90.0,231.5
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1975,1975-04-18,108,0.82,8.3,90.0,315.0
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1975,1975-04-18,108,0.82,8.3,90.0,315.0
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1976,1976-04-19,110,1.62,23.4,87.0,202.5
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1976,1976-04-19,110,1.62,23.4,87.0,202.5
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1977,1977-04-19,109,-0.05,17.7,89.0,169.8
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1977,1977-04-19,109,-0.05,17.7,89.0,169.8
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1978,1978-04-25,115,0.49,7.6,86.0,244.6
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1978,1978-04-25,115,0.49,7.6,86.0,244.6
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1979,1979-04-12,102,3.04,36.4,84.0,284.4
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1979,1979-04-12,102,3.04,36.4,84.0,284.4
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1980,1980-04-20,111,0.19,10.3,84.0,153.9
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1980,1980-04-20,111,0.19,10.3,84.0,153.9
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1981,1981-04-18,108,0.41,9.4,88.0,120.5
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1981,1981-04-18,108,0.41,9.4,88.0,120.5
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1982,1982-04-16,106,1.25,20.2,89.0,161.9
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1982,1982-04-16,106,1.25,20.2,89.0,161.9
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1983,1983-04-18,108,0.65,7.2,84.0,256.0
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1983,1983-04-18,108,0.65,7.2,84.0,256.0
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1984,1984-05-03,124,-2.23,0.0,89.0,194.3
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1984,1984-05-03,124,-2.23,0.0,89.0,194.3
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1985,1985-04-23,113,-0.09,5.7,87.0,217.7
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1985,1985-04-23,113,-0.09,5.7,87.0,217.7
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1986,1986-04-24,114,-0.56,2.5,90.0,177.0
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1986,1986-04-24,114,-0.56,2.5,90.0,177.0
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1987,1987-04-17,107,0.96,18.1,89.0,207.0
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1987,1987-04-17,107,0.96,18.1,89.0,207.0
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1988,1988-04-21,112,0.92,15.8,84.0,157.2
