location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1953,1953-04-10,100,6.95,227.9,54.0,286.8
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1954,1954-04-06,96,7.69,269.1,33.0,355.7
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1955,1955-04-05,95,6.93,226.6,56.0,265.2
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1956,1956-04-09,100,5.86,163.9,55.0,405.2
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1957,1957-04-11,101,6.11,154.8,64.0,306.4
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1958,1958-04-08,98,7.26,248.6,47.0,325.7
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1959,1959-04-05,95,7.85,312.4,28.0,387.1
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1960,1960-04-06,97,7.72,277.7,42.0,250.3
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1961,1961-04-06,96,6.32,179.1,63.0,269.8
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1962,1962-04-10,100,6.59,187.0,56.0,328.7
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1963,1963-04-11,101,4.56,119.2,61.0,395.3
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1964,1964-04-07,98,6.96,210.3,43.0,385.1
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1965,1965-04-11,101,6.13,143.8,50.0,254.3
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1966,1966-04-06,96,7.94,305.6,44.0,459.2
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1967,1967-04-06,96,6.48,203.8,55.0,426.4
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1968,1968-04-07,98,5.3,140.6,73.0,325.8
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1969,1969-04-12,102,7.08,227.6,37.0,369.7
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1970,1970-04-13,103,5.73,123.6,61.0,220.0
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1971,1971-04-08,98,6.27,175.4,53.0,383.8
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1972,1972-04-11,102,8.24,305.8,34.0,492.8
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1973,1973-04-02,92,7.96,276.5,40.0,318.1
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1974,1974-04-05,95,6.37,171.7,64.0,297.6
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1975,1975-04-05,95,6.62,187.0,60.0,356.0
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1976,1976-04-08,99,7.42,255.9,51.0,425.9
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1977,1977-04-01,91,5.68,189.7,60.0,342.7
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1978,1978-04-07,97,6.54,190.3,47.0,374.4
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1979,1979-04-09,99,7.97,285.6,36.0,321.5
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1980,1980-04-08,99,6.17,183.6,50.0,355.1
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1981,1981-04-06,96,5.73,152.6,72.0,266.5
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1982,1982-04-02,92,6.84,215.9,58.0,326.4
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1983,1983-04-09,99,6.83,208.4,52.0,400.1
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1984,1984-04-12,103,4.44,82.7,70.0,250.9
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1985,1985-04-09,99,6.61,196.1,59.0,418.8
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1986,1986-04-09,99,5.31,123.6,77.0,236.7
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1987,1987-04-08,98,7.35,247.2,36.0,409.0
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1988,1988-04-13,104,6.7,196.1,50.0,273.8
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1989,1989-04-02,92,8.31,308.2,36.0,464.6
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1990,1990-03-31,90,8.08,310.0,32.0,388.7
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1991,1991-04-12,102,7.06,222.5,54.0,470.5
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1992,1992-04-04,95,7.84,267.1,42.0,453.8
