location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1958,1958-04-28,118,-0.39,2.0,90.0,438.9
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1959,1959-04-21,111,0.02,8.8,90.0,468.8
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1960,1960-04-29,120,-0.45,1.0,87.0,480.4
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1961,1961-04-28,118,-0.99,0.1,90.0,400.0
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1962,1962-04-27,117,-0.59,0.0,89.0,429.3
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1963,1963-04-28,118,-1.18,0.0,90.0,376.2
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1964,1964-04-24,115,-0.75,2.4,87.0,378.6
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1965,1965-05-09,129,-1.12,0.0,90.0,465.4
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1966,1966-04-26,116,-0.57,2.7,90.0,537.6
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1967,1967-04-26,116,-1.0,0.6,90.0,366.9
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1968,1968-04-28,119,-0.56,1.7,90.0,395.1
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1969,1969-04-28,118,-1.35,3.6,81.0,429.2
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1970,1970-05-03,123,-1.78,0.0,90.0,416.3
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1971,1971-04-28,118,-0.88,2.6,90.0,357.6
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1972,1972-04-19,110,0.28,17.3,90.0,438.4
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1973,1973-04-25,115,-0.26,0.0,87.0,438.7
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1974,1974-05-04,124,-0.81,0.0,90.0,478.7
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1975,1975-04-27,117,-0.96,0.0,90.0,451.2
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1976,1976-04-30,121,-0.52,0.0,89.0,472.8
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1977,1977-04-30,120,-1.27,0.9,90.0,441.2
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1978,1978-05-02,122,-1.35,0.0,90.0,467.4
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1979,1979-04-25,115,0.1,2.4,90.0,455.6
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1980,1980-05-03,124,-1.31,0.6,86.0,411.3
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1981,1981-05-02,122,-0.96,1.6,90.0,354.6
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1982,1982-04-26,116,-0.93,0.0,90.0,362.4
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1983,1983-04-23,113,-0.74,0.0,90.0,408.8
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1984,1984-05-11,132,-2.55,0.0,90.0,385.8
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1985,1985-04-29,119,-1.47,0.0,87.0,340.4
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1986,1986-04-30,120,-1.68,0.0,90.0,364.8
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1987,1987-04-27,117,-0.86,1.6,90.0,426.0
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1988,1988-04-30,121,-1.11,0.8,87.0,402.4
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1989,1989-04-19,109,0.61,3.4,89.0,380.9
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1990,1990-04-17,107,0.19,10.3,88.0,315.9
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1991,1991-04-22,112,-0.46,0.0,84.0,387.6
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1992,1992-04-24,115,-0.09,0.1,88.0,356.4
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1993,1993-04-26,116,0.5,4.1,86.0,438.7
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1994,1994-04-25,115,-0.9,0.0,89.0,364.5
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1995,1995-04-25,115,-0.57,1.0,89.0,347.2
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1996,1996-04-30,121,-0.88,1.1,90.0,446.8
Japan/Shinjo,38.7569444444444,140.312222222222,105.1,1997,1997-04-28,118,-0.0,0.3,90.0,341.0
