location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1958,1958-04-07,97,9.47,412.5,21.0,479.1
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1958,1958-04-07,97,9.47,412.5,21.0,479.1
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1960,1960-03-30,90,9.64,430.4,23.0,184.2
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1960,1960-03-30,90,9.64,430.4,23.0,184.2
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1962,1962-04-10,100,8.75,341.4,32.0,207.8
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1962,1962-04-10,100,8.75,341.4,32.0,207.8
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1963,1963-04-04,94,7.15,223.0,51.0,221.1
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1963,1963-04-04,94,7.15,223.0,51.0,221.1
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1964,1964-04-09,100,8.66,342.7,23.0,392.5
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1964,1964-04-09,100,8.66,342.7,23.0,392.5
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1965,1965-04-13,103,8.15,292.8,24.0,275.1
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1965,1965-04-13,103,8.15,292.8,24.0,275.1
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1966,1966-03-31,90,10.05,468.7,23.0,390.3
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1966,1966-03-31,90,10.05,468.7,23.0,390.3
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1967,1967-03-31,90,8.76,360.4,35.0,313.5
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1967,1967-03-31,90,8.76,360.4,35.0,313.5
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1968,1968-04-02,93,7.91,290.3,50.0,296.6
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1968,1968-04-02,93,7.91,290.3,50.0,296.6
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1969,1969-04-11,101,9.37,401.7,22.0,506.5
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1969,1969-04-11,101,9.37,401.7,22.0,506.5
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1970,1970-04-09,99,7.89,275.2,28.0,249.5
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1970,1970-04-09,99,7.89,275.2,28.0,249.5
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1971,1971-04-04,94,8.41,315.8,28.0,284.4
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1971,1971-04-04,94,8.41,315.8,28.0,284.4
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1972,1972-04-05,96,10.13,466.8,10.0,609.7
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1972,1972-04-05,96,10.13,466.8,10.0,609.7
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1973,1973-04-07,97,9.54,411.3,20.0,400.6
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1973,1973-04-07,97,9.54,411.3,20.0,400.6
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1974,1974-04-05,95,8.03,294.1,43.0,283.4
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1974,1974-04-05,95,8.03,294.1,43.0,283.4
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1975,1975-04-05,95,8.22,304.0,35.0,430.0
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1975,1975-04-05,95,8.22,304.0,35.0,430.0
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1976,1976-04-02,93,9.5,418.9,25.0,419.5
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1976,1976-04-02,93,9.5,418.9,25.0,419.5
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1977,1977-03-26,85,8.07,322.9,50.0,401.6
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1977,1977-03-26,85,8.07,322.9,50.0,401.6
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1978,1978-04-12,102,8.15,301.7,33.0,246.3
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1978,1978-04-12,102,8.15,301.7,33.0,246.3
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1979,1979-04-08,98,9.77,430.6,13.0,439.7
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1979,1979-04-08,98,9.77,430.6,13.0,439.7
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1980,1980-04-07,98,7.99,290.0,36.0,384.4
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1980,1980-04-07,98,7.99,290.0,36.0,384.4
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1981,1981-04-01,91,8.14,309.1,46.0,402.0
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1981,1981-04-01,91,8.14,309.1,46.0,402.0
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1982,1982-04-02,92,8.52,330.8,32.0,327.3
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1982,1982-04-02,92,8.52,330.8,32.0,327.3
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1983,1983-04-07,97,8.69,342.1,22.0,329.0
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1983,1983-04-07,97,8.69,342.1,22.0,329.0
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1984,1984-04-09,100,6.27,167.8,56.0,281.5
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1984,1984-04-09,100,6.27,167.8,56.0,281.5
Japan/Shionomisaki,33.4502777777778,135.757222222222,67.53,1985,1985-04-05,95,8.91,366.2,33.0,427.2
