location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Shirakawa,37.1316666666667,140.215,354.95,1953,1953-04-26,116,0.23,16.6,90.0,169.2
Japan/Shirakawa,37.1316666666667,140.215,354.95,1954,1954-04-15,105,0.2,28.4,84.0,158.8
Japan/Shirakawa,37.1316666666667,140.215,354.95,1955,1955-04-15,105,0.07,11.7,86.0,231.4
Japan/Shirakawa,37.1316666666667,140.215,354.95,1956,1956-04-19,110,-0.79,29.3,90.0,263.0
Japan/Shirakawa,37.1316666666667,140.215,354.95,1957,1957-04-21,111,-0.32,4.6,89.0,181.9
Japan/Shirakawa,37.1316666666667,140.215,354.95,1958,1958-04-21,111,1.08,31.3,89.0,155.0
Japan/Shirakawa,37.1316666666667,140.215,354.95,1959,1959-04-15,105,0.71,21.0,89.0,244.2
Japan/Shirakawa,37.1316666666667,140.215,354.95,1960,1960-04-19,110,1.15,29.8,87.0,128.4
Japan/Shirakawa,37.1316666666667,140.215,354.95,1961,1961-04-20,110,-0.35,5.9,90.0,140.8
Japan/Shirakawa,37.1316666666667,140.215,354.95,1962,1962-04-22,112,0.4,4.6,89.0,147.3
Japan/Shirakawa,37.1316666666667,140.215,354.95,1963,1963-04-18,108,-0.57,16.3,90.0,131.3
Japan/Shirakawa,37.1316666666667,140.215,354.95,1964,1964-04-16,107,-0.37,9.1,88.0,247.2
Japan/Shirakawa,37.1316666666667,140.215,354.95,1965,1965-04-30,120,-0.06,0.6,90.0,107.7
Japan/Shirakawa,37.1316666666667,140.215,354.95,1966,1966-04-20,110,1.15,30.0,88.0,234.6
Japan/Shirakawa,37.1316666666667,140.215,354.95,1967,1967-04-20,110,-0.29,18.7,90.0,194.8
Japan/Shirakawa,37.1316666666667,140.215,354.95,1968,1968-04-21,112,-0.12,19.8,90.0,195.6
Japan/Shirakawa,37.1316666666667,140.215,354.95,1969,1969-04-23,113,-0.35,14.7,79.0,295.4
Japan/Shirakawa,37.1316666666667,140.215,354.95,1970,1970-04-28,118,-1.48,2.8,88.0,142.4
Japan/Shirakawa,37.1316666666667,140.215,354.95,1971,1971-04-20,110,0.05,25.5,90.0,164.5
Japan/Shirakawa,37.1316666666667,140.215,354.95,1972,1972-04-19,110,1.59,38.0,90.0,356.4
Japan/Shirakawa,37.1316666666667,140.215,354.95,1973,1973-04-18,108,1.41,14.2,88.0,138.0
Japan/Shirakawa,37.1316666666667,140.215,354.95,1974,1974-04-26,116,-0.82,4.2,90.0,191.8
Japan/Shirakawa,37.1316666666667,140.215,354.95,1975,1975-04-20,110,-0.86,3.3,90.0,264.2
Japan/Shirakawa,37.1316666666667,140.215,354.95,1976,1976-04-22,113,1.05,20.0,88.0,215.8
Japan/Shirakawa,37.1316666666667,140.215,354.95,1977,1977-04-19,109,-1.11,12.5,90.0,202.7
Japan/Shirakawa,37.1316666666667,140.215,354.95,1978,1978-04-28,118,-0.68,2.1,88.0,160.5
Japan/Shirakawa,37.1316666666667,140.215,354.95,1979,1979-04-18,108,2.07,27.3,89.0,240.4
Japan/Shirakawa,37.1316666666667,140.215,354.95,1980,1980-04-26,117,-0.9,10.0,85.0,176.0
Japan/Shirakawa,37.1316666666667,140.215,354.95,1981,1981-04-21,111,-1.1,4.5,89.0,138.0
Japan/Shirakawa,37.1316666666667,140.215,354.95,1982,1982-04-19,109,0.57,19.9,90.0,148.8
Japan/Shirakawa,37.1316666666667,140.215,354.95,1983,1983-04-18,108,-0.16,5.5,88.0,201.4
Japan/Shirakawa,37.1316666666667,140.215,354.95,1984,1984-05-02,123,-3.16,0.0,90.0,164.5
Japan/Shirakawa,37.1316666666667,140.215,354.95,1985,1985-04-21,111,-0.78,3.5,88.0,279.7
Japan/Shirakawa,37.1316666666667,140.215,354.95,1986,1986-04-25,115,-1.4,0.0,90.0,206.5
Japan/Shirakawa,37.1316666666667,140.215,354.95,1987,1987-04-16,106,0.36,26.1,88.0,183.1
Japan/Shirakawa,37.1316666666667,140.215,354.95,1988,1988-04-25,116,0.2,6.9,88.0,182.9
Japan/Shirakawa,37.1316666666667,140.215,354.95,1989,1989-04-14,104,2.06,19.8,89.0,288.6
Japan/Shirakawa,37.1316666666667,140.215,354.95,1990,1990-04-10,100,1.2,24.4,88.0,206.6
Japan/Shirakawa,37.1316666666667,140.215,354.95,1991,1991-04-16,106,0.67,24.5,85.0,193.1
Japan/Shirakawa,37.1316666666667,140.215,354.95,1992,1992-04-16,107,1.15,20.9,85.0,169.7
Japan/Shirakawa,37.1316666666667,140.215,354.95,1993,1993-04-22,112,1.01,13.9,85.0,227.7
Japan/Shirakawa,37.1316666666667,140.215,354.95,1994,1994-04-18,108,-0.23,1.8,88.0,208.8
Japan/Shirakawa,37.1316666666667,140.215,354.95,1995,1995-04-22,112,0.64,12.9,90.0,189.5
Japan/Shirakawa,37.1316666666667,140.215,354.95,1996,1996-04-26,117,0.47,14.2,90.0,174.7
Japan/Shirakawa,37.1316666666667,140.215,354.95,1997,1997-04-14,104,0.65,16.7,89.0,169.7
