location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Sumoto,34.3383333333333,134.905,109.3,1953,1953-04-15,105,7.56,257.5,43.0,177.5
Japan/Sumoto,34.3383333333333,134.905,109.3,1954,1954-04-02,92,7.93,279.6,32.0,188.3
Japan/Sumoto,34.3383333333333,134.905,109.3,1955,1955-04-07,97,7.64,268.0,43.0,239.2
Japan/Sumoto,34.3383333333333,134.905,109.3,1956,1956-04-10,101,7.0,228.0,42.0,313.5
Japan/Sumoto,34.3383333333333,134.905,109.3,1957,1957-04-12,102,7.13,217.4,49.0,195.2
Japan/Sumoto,34.3383333333333,134.905,109.3,1958,1958-04-05,95,8.0,295.5,31.0,227.1
Japan/Sumoto,34.3383333333333,134.905,109.3,1959,1959-04-03,93,8.46,342.9,29.0,313.4
Japan/Sumoto,34.3383333333333,134.905,109.3,1961,1961-04-07,97,6.93,208.6,50.0,208.0
Japan/Sumoto,34.3383333333333,134.905,109.3,1962,1962-04-08,98,7.54,243.8,46.0,144.5
Japan/Sumoto,34.3383333333333,134.905,109.3,1963,1963-04-10,100,5.85,147.0,56.0,192.5
Japan/Sumoto,34.3383333333333,134.905,109.3,1964,1964-04-06,97,7.16,222.9,39.0,214.1
Japan/Sumoto,34.3383333333333,134.905,109.3,1965,1965-04-14,104,6.84,192.0,39.0,208.4
Japan/Sumoto,34.3383333333333,134.905,109.3,1966,1966-03-31,90,8.51,343.7,32.0,268.3
Japan/Sumoto,34.3383333333333,134.905,109.3,1967,1967-04-03,93,7.39,254.9,49.0,268.3
Japan/Sumoto,34.3383333333333,134.905,109.3,1968,1968-04-06,97,6.69,211.0,62.0,231.0
Japan/Sumoto,34.3383333333333,134.905,109.3,1969,1969-04-11,101,7.56,259.4,37.0,294.9
Japan/Sumoto,34.3383333333333,134.905,109.3,1970,1970-04-12,102,6.65,182.8,48.0,202.8
Japan/Sumoto,34.3383333333333,134.905,109.3,1971,1971-04-04,94,7.11,221.6,44.0,188.9
Japan/Sumoto,34.3383333333333,134.905,109.3,1972,1972-04-05,96,8.66,337.7,27.0,367.3
Japan/Sumoto,34.3383333333333,134.905,109.3,1973,1973-04-04,94,8.0,281.8,30.0,224.8
Japan/Sumoto,34.3383333333333,134.905,109.3,1974,1974-04-06,96,6.76,202.5,55.0,192.4
Japan/Sumoto,34.3383333333333,134.905,109.3,1975,1975-04-07,97,7.34,234.9,42.0,215.1
Japan/Sumoto,34.3383333333333,134.905,109.3,1976,1976-04-05,96,8.01,297.6,38.0,317.8
Japan/Sumoto,34.3383333333333,134.905,109.3,1977,1977-04-01,91,6.77,241.8,52.0,236.0
Japan/Sumoto,34.3383333333333,134.905,109.3,1978,1978-04-10,100,6.96,214.8,43.0,163.1
Japan/Sumoto,34.3383333333333,134.905,109.3,1979,1979-04-05,95,8.68,337.9,20.0,253.7
Japan/Sumoto,34.3383333333333,134.905,109.3,1980,1980-04-08,99,6.53,183.5,49.0,226.4
Japan/Sumoto,34.3383333333333,134.905,109.3,1981,1981-04-07,97,6.87,218.6,58.0,223.4
Japan/Sumoto,34.3383333333333,134.905,109.3,1982,1982-04-01,91,7.38,243.2,44.0,216.2
Japan/Sumoto,34.3383333333333,134.905,109.3,1983,1983-04-09,99,7.41,242.6,45.0,206.5
Japan/Sumoto,34.3383333333333,134.905,109.3,1984,1984-04-15,106,5.17,103.4,65.0,178.8
Japan/Sumoto,34.3383333333333,134.905,109.3,1985,1985-04-09,99,7.29,237.9,51.0,287.3
Japan/Sumoto,34.3383333333333,134.905,109.3,1986,1986-04-10,100,6.16,165.4,65.0,195.8
Japan/Sumoto,34.3383333333333,134.905,109.3,1987,1987-04-05,95,7.83,282.0,34.0,226.9
Japan/Sumoto,34.3383333333333,134.905,109.3,1988,1988-04-13,104,7.23,230.9,42.0,176.2
Japan/Sumoto,34.3383333333333,134.905,109.3,1989,1989-04-01,91,8.93,358.2,27.0,366.2
Japan/Sumoto,34.3383333333333,134.905,109.3,1990,1990-03-27,86,8.17,305.2,35.0,331.9
Japan/Sumoto,34.3383333333333,134.905,109.3,1991,1991-04-09,99,7.39,243.8,48.0,261.4
Japan/Sumoto,34.3383333333333,134.905,109.3,1992,1992-04-03,94,8.14,292.1,32.0,229.1
Japan/Sumoto,34.3383333333333,134.905,109.3,1993,1993-04-09,99,8.32,305.5,25.0,259.9
Japan/Sumoto,34.3383333333333,134.905,109.3,1994,1994-04-06,96,7.28,222.2,38.0,207.1
Japan/Sumoto,34.3383333333333,134.905,109.3,1995,1995-04-11,101,7.74,259.3,44.0,186.4
Japan/Sumoto,34.3383333333333,134.905,109.3,1996,1996-04-10,101,7.31,244.2,47.0,213.5
Japan/Sumoto,34.3383333333333,134.905,109.3,1997,1997-04-06,96,7.83,267.6,45.0,179.8
Japan/Sumoto,34.3383333333333,134.905,109.3,1998,1998-03-30,89,8.78,348.5,27.0,348.2
Japan/Sumoto,34.3383333333333,134.905,109.3,1999,1999-04-06,96,8.29,312.4,29.0,183.4
Japan/Sumoto,34.3383333333333,134.905,109.3,2000,2000-04-09,100,7.74,273.3,37.0,222.3
Japan/Sumoto,34.3383333333333,134.905,109.3,2001,2001-04-03,93,7.72,264.3,41.0,243.7
Japan/Sumoto,34.3383333333333,134.905,109.3,2002,2002-03-28,87,8.96,365.2,31.0,308.7
