location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Takada,37.1066666666667,138.246666666667,12.9,1953,1953-04-17,107,1.41,5.7,89.0,571.0
Japan/Takada,37.1066666666667,138.246666666667,12.9,1954,1954-04-10,100,1.58,28.2,86.0,455.6
Japan/Takada,37.1066666666667,138.246666666667,12.9,1955,1955-04-10,100,1.3,7.3,85.0,503.3
Japan/Takada,37.1066666666667,138.246666666667,12.9,1956,1956-04-16,107,0.78,13.5,88.0,609.4
Japan/Takada,37.1066666666667,138.246666666667,12.9,1957,1957-04-21,111,0.87,0.9,90.0,536.5
Japan/Takada,37.1066666666667,138.246666666667,12.9,1958,1958-04-15,105,1.68,35.9,85.0,464.1
Japan/Takada,37.1066666666667,138.246666666667,12.9,1959,1959-04-08,98,2.62,42.5,86.0,443.2
Japan/Takada,37.1066666666667,138.246666666667,12.9,1960,1960-04-12,103,1.84,20.4,86.0,502.8
Japan/Takada,37.1066666666667,138.246666666667,12.9,1961,1961-04-15,105,0.51,3.0,89.0,465.4
Japan/Takada,37.1066666666667,138.246666666667,12.9,1962,1962-04-13,103,1.17,7.0,84.0,507.5
Japan/Takada,37.1066666666667,138.246666666667,12.9,1963,1963-04-14,104,0.0,3.8,90.0,477.0
Japan/Takada,37.1066666666667,138.246666666667,12.9,1964,1964-04-12,103,1.38,12.8,85.0,467.2
Japan/Takada,37.1066666666667,138.246666666667,12.9,1965,1965-04-22,112,0.7,3.6,88.0,526.3
Japan/Takada,37.1066666666667,138.246666666667,12.9,1966,1966-04-16,106,1.89,19.1,88.0,591.8
Japan/Takada,37.1066666666667,138.246666666667,12.9,1967,1967-04-12,102,1.1,13.1,90.0,505.8
Japan/Takada,37.1066666666667,138.246666666667,12.9,1968,1968-04-16,107,0.8,8.6,90.0,583.1
Japan/Takada,37.1066666666667,138.246666666667,12.9,1969,1969-04-17,107,0.86,9.4,77.0,494.6
Japan/Takada,37.1066666666667,138.246666666667,12.9,1970,1970-04-26,116,-0.11,0.4,86.0,508.1
Japan/Takada,37.1066666666667,138.246666666667,12.9,1971,1971-04-14,104,0.8,14.9,90.0,451.5
Japan/Takada,37.1066666666667,138.246666666667,12.9,1972,1972-04-11,102,2.61,47.0,88.0,517.9
Japan/Takada,37.1066666666667,138.246666666667,12.9,1973,1973-04-14,104,1.83,21.8,83.0,572.1
Japan/Takada,37.1066666666667,138.246666666667,12.9,1974,1974-04-19,109,0.75,3.8,90.0,573.2
Japan/Takada,37.1066666666667,138.246666666667,12.9,1975,1975-04-14,104,1.03,2.9,90.0,561.1
Japan/Takada,37.1066666666667,138.246666666667,12.9,1976,1976-04-16,107,1.66,15.7,87.0,544.4
Japan/Takada,37.1066666666667,138.246666666667,12.9,1977,1977-04-16,106,0.38,4.7,90.0,541.2
Japan/Takada,37.1066666666667,138.246666666667,12.9,1978,1978-04-19,109,0.91,2.0,87.0,577.8
Japan/Takada,37.1066666666667,138.246666666667,12.9,1979,1979-04-06,96,2.75,30.9,84.0,470.6
Japan/Takada,37.1066666666667,138.246666666667,12.9,1980,1980-04-19,110,0.76,5.8,84.0,527.9
Japan/Takada,37.1066666666667,138.246666666667,12.9,1981,1981-04-20,110,0.91,7.6,88.0,536.2
Japan/Takada,37.1066666666667,138.246666666667,12.9,1982,1982-04-11,101,1.35,18.7,90.0,458.6
Japan/Takada,37.1066666666667,138.246666666667,12.9,1983,1983-04-13,103,1.31,5.5,83.0,546.8
Japan/Takada,37.1066666666667,138.246666666667,12.9,1984,1984-04-30,121,-0.73,0.9,89.0,575.0
Japan/Takada,37.1066666666667,138.246666666667,12.9,1985,1985-04-18,108,0.81,2.0,86.0,450.5
Japan/Takada,37.1066666666667,138.246666666667,12.9,1986,1986-04-21,111,0.17,2.6,89.0,506.9
Japan/Takada,37.1066666666667,138.246666666667,12.9,1987,1987-04-10,100,1.51,18.4,89.0,511.8
Japan/Takada,37.1066666666667,138.246666666667,12.9,1988,1988-04-20,111,1.12,7.6,86.0,511.9
Japan/Takada,37.1066666666667,138.246666666667,12.9,1989,1989-04-06,96,3.19,40.7,87.0,528.1
Japan/Takada,37.1066666666667,138.246666666667,12.9,1990,1990-04-06,96,2.61,42.1,87.0,437.8
Japan/Takada,37.1066666666667,138.246666666667,12.9,1991,1991-04-13,103,1.46,8.6,82.0,576.4
Japan/Takada,37.1066666666667,138.246666666667,12.9,1992,1992-04-11,102,2.06,18.5,80.0,500.8
Japan/Takada,37.1066666666667,138.246666666667,12.9,1993,1993-04-17,107,2.25,19.1,85.0,523.2
Japan/Takada,37.1066666666667,138.246666666667,12.9,1994,1994-04-15,105,1.02,0.7,87.0,477.0
Japan/Takada,37.1066666666667,138.246666666667,12.9,1995,1995-04-13,103,1.37,8.2,87.0,520.3
Japan/Takada,37.1066666666667,138.246666666667,12.9,1996,1996-04-19,110,1.17,12.9,90.0,533.3
Japan/Takada,37.1066666666667,138.246666666667,12.9,1997,1997-04-10,100,1.95,19.8,86.0,476.7
Japan/Takada,37.1066666666667,138.246666666667,12.9,1998,1998-04-08,98,2.05,20.6,84.0,503.0
Japan/Takada,37.1066666666667,138.246666666667,12.9,1999,1999-04-11,101,1.75,19.3,84.0,537.9
Japan/Takada,37.1066666666667,138.246666666667,12.9,2000,2000-04-14,105,1.73,11.5,89.0,567.4
Japan/Takada,37.1066666666667,138.246666666667,12.9,2001,2001-04-10,100,1.19,7.5,88.0,618.3
Japan/Takada,37.1066666666667,138.246666666667,12.9,2002,2002-04-03,93,3.11,44.8,89.0,517.9
Japan/Takada,37.1066666666667,138.246666666667,12.9,2003,2003-04-13,103,1.55,10.8,87.0,452.7
Japan/Takada,37.1066666666667,138.246666666667,12.9,2004,2004-04-05,96,2.58,44.3,85.0,408.5
Japan/Takada,37.1066666666667,138.246666666667,12.9,2005,2005-04-14,104,1.57,6.6,79.0,620.3
