location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1953,1953-04-08,98,6.7,203.4,55.0,179.4
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1954,1954-04-06,96,7.17,230.4,38.0,218.0
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1955,1955-04-07,97,6.73,209.8,56.0,245.1
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1956,1956-04-10,101,6.09,184.2,52.0,299.2
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1957,1957-04-12,102,5.97,147.5,64.0,181.3
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1958,1958-04-07,97,7.11,234.7,41.0,245.2
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1959,1959-04-03,93,7.6,286.7,34.0,267.4
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1960,1960-04-06,97,7.45,252.7,46.0,144.1
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1961,1961-04-08,98,6.05,161.4,64.0,204.1
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1962,1962-04-11,101,6.57,185.8,54.0,173.2
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1963,1963-04-10,100,4.42,102.2,62.0,231.3
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1964,1964-04-06,97,6.32,164.4,48.0,224.3
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1965,1965-04-12,102,5.88,130.2,56.0,217.4
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1966,1966-04-04,94,7.59,280.2,46.0,281.4
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1967,1967-04-05,95,6.4,195.6,59.0,277.6
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1968,1968-04-08,99,5.3,144.1,72.0,212.7
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1969,1969-04-11,101,6.71,207.8,43.0,268.3
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1970,1970-04-14,104,5.67,120.6,60.0,182.3
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1971,1971-04-06,96,6.22,169.9,55.0,197.1
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1972,1972-04-07,98,7.9,275.8,40.0,316.9
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1973,1973-04-06,96,7.37,236.1,40.0,207.4
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1974,1974-04-09,99,5.82,146.5,69.0,204.7
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1975,1975-04-07,97,6.27,169.9,61.0,249.7
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1976,1976-04-07,98,7.17,239.5,49.0,278.9
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1977,1977-04-01,91,5.55,185.3,60.0,246.3
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1978,1978-04-10,100,5.81,149.7,53.0,216.5
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1979,1979-04-07,97,7.7,264.0,37.0,218.0
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1980,1980-04-07,98,5.57,144.3,57.0,267.3
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1981,1981-04-06,96,5.67,162.0,75.0,208.7
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1982,1982-04-02,92,6.48,190.5,61.0,224.5
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1983,1983-04-09,99,6.64,194.5,57.0,229.0
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1984,1984-04-15,106,3.97,67.3,71.0,215.4
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1985,1985-04-08,98,6.56,195.2,58.0,252.5
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1986,1986-04-10,100,5.13,115.7,74.0,197.3
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1987,1987-04-05,95,7.1,229.8,41.0,241.8
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1988,1988-04-13,104,6.4,174.5,53.0,202.6
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1989,1989-04-02,92,8.03,285.1,40.0,294.6
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1990,1990-03-29,88,7.47,257.2,43.0,306.0
