location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1953,1953-04-27,117,-1.26,4.3,88.0,638.2
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1954,1954-04-21,111,-0.86,16.1,89.0,509.0
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1955,1955-04-14,104,-0.84,1.9,88.0,604.1
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1956,1956-04-24,115,-1.54,17.0,90.0,756.0
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1957,1957-04-24,114,-1.74,0.0,90.0,600.6
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1958,1958-04-17,107,-0.72,7.7,89.0,554.8
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1959,1959-04-13,103,0.14,15.0,90.0,603.8
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1960,1960-04-15,106,-0.42,14.1,89.0,540.4
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1961,1961-04-19,109,-1.81,3.3,90.0,534.0
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1962,1962-04-20,110,-1.31,1.6,90.0,500.0
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1963,1963-04-20,110,-2.76,1.1,90.0,559.3
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1964,1964-04-14,105,-1.49,3.1,88.0,570.8
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1965,1965-05-01,121,-1.91,0.0,90.0,590.8
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1966,1966-04-21,111,-0.37,7.2,90.0,771.3
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1967,1967-04-18,108,-1.48,4.8,90.0,560.2
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1968,1968-04-22,113,-1.88,5.0,90.0,623.3
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1969,1969-04-21,111,-0.64,6.4,82.0,623.7
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1970,1970-04-30,120,-2.33,0.0,90.0,611.7
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1971,1971-04-18,108,-1.77,5.6,90.0,519.2
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1972,1972-04-17,108,-0.01,18.9,90.0,643.0
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1973,1973-04-17,107,-0.88,8.1,90.0,639.9
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1974,1974-04-24,114,-2.2,1.6,90.0,612.4
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1975,1975-04-21,111,-1.82,0.0,90.0,658.5
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1976,1976-04-21,112,-0.5,7.0,87.0,665.6
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1977,1977-04-19,109,-1.69,3.2,90.0,602.6
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1978,1978-04-28,118,-1.49,0.3,88.0,683.3
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1979,1979-04-13,103,0.3,16.3,88.0,542.4
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1980,1980-04-22,113,-1.76,1.2,88.0,627.5
Japan/Takayama,36.1561111111111,137.253333333333,560.0,1981,1981-04-27,117,-1.57,4.5,88.0,619.1
