location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1953,1953-04-05,95,7.96,283.1,42.0,183.1
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1954,1954-04-05,95,8.35,311.2,27.0,209.3
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1955,1955-04-04,94,7.88,282.4,37.0,278.1
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1956,1956-04-07,98,7.33,245.3,41.0,356.5
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1957,1957-04-10,100,7.4,232.6,47.0,214.0
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1958,1958-04-06,96,8.39,323.2,26.0,284.5
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1959,1959-04-03,93,8.82,370.3,27.0,314.6
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1960,1960-04-03,94,8.56,336.1,29.0,171.3
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1961,1961-04-06,96,7.29,229.5,51.0,230.2
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1962,1962-04-09,99,7.93,273.2,41.0,180.0
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1963,1963-04-09,99,6.06,156.3,54.0,255.1
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1964,1964-04-05,96,7.61,255.3,35.0,251.7
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1965,1965-04-12,102,7.27,223.0,35.0,203.9
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1966,1966-03-28,87,8.79,363.7,34.0,246.8
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1967,1967-04-01,91,7.76,280.1,44.0,248.6
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1968,1968-04-05,96,6.83,215.9,63.0,238.8
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1969,1969-04-11,101,7.82,275.3,31.0,305.8
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1970,1970-04-12,102,6.99,202.3,47.0,230.1
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1971,1971-04-04,94,7.49,242.7,39.0,209.5
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1972,1972-04-05,96,9.07,372.0,21.0,384.2
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1973,1973-04-04,94,8.49,320.2,24.0,240.9
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1974,1974-04-07,97,7.18,223.8,53.0,216.5
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1975,1975-04-07,97,7.67,259.5,43.0,292.1
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1976,1976-04-05,96,8.39,325.9,40.0,298.1
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1977,1977-04-01,91,7.0,251.6,52.0,242.0
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1978,1978-04-08,98,7.08,222.8,42.0,210.8
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1979,1979-04-09,99,8.85,351.5,20.0,246.7
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1980,1980-04-06,97,6.79,204.0,46.0,257.1
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1981,1981-04-06,96,7.12,235.0,57.0,252.9
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1982,1982-03-31,90,7.8,270.9,39.0,233.4
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1983,1983-04-09,99,7.82,271.5,33.0,223.3
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1984,1984-04-10,101,5.36,110.7,68.0,198.9
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1985,1985-04-08,98,7.69,265.1,44.0,266.2
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1986,1986-04-07,97,6.53,182.2,62.0,218.3
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1987,1987-04-07,97,8.22,305.1,28.0,232.7
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1988,1988-04-13,104,7.58,253.0,41.0,202.3
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1989,1989-04-03,93,9.25,384.4,18.0,329.8
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1990,1990-03-31,90,8.56,336.3,33.0,335.8
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1991,1991-04-07,97,7.92,280.1,40.0,276.4
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1992,1992-04-04,95,8.48,318.8,27.0,249.0
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1993,1993-04-09,99,8.66,333.7,24.0,236.7
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1994,1994-04-07,97,7.74,256.3,31.0,235.3
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1995,1995-04-07,97,8.12,287.1,38.0,194.8
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1996,1996-04-06,97,7.73,271.2,39.0,207.2
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1997,1997-04-02,92,8.15,291.8,41.0,187.8
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1998,1998-04-03,93,9.1,376.6,24.0,339.5
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1999,1999-04-02,92,8.68,344.0,22.0,210.0
