location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Tottori,35.4877777777778,134.238333333333,7.1,1953,1953-04-08,98,5.31,134.2,63.0,415.7
Japan/Tottori,35.5308333333333,134.199444444444,6.0,1953,1953-04-08,98,5.31,134.2,63.0,415.7
Japan/Tottori,35.4877777777778,134.238333333333,7.1,1954,1954-04-03,93,5.85,163.0,45.0,388.2
Japan/Tottori,35.5308333333333,134.199444444444,6.0,1954,1954-04-03,93,5.85,163.0,45.0,388.2
Japan/Tottori,35.4877777777778,134.238333333333,7.1,1955,1955-04-04,94,5.11,110.6,66.0,395.0
Japan/Tottori,35.5308333333333,134.199444444444,6.0,1955,1955-04-04,94,5.11,110.6,66.0,395.0
Japan/Tottori,35.4877777777778,134.238333333333,7.1,1956,1956-04-08,99,4.27,97.9,65.0,533.4
Japan/Tottori,35.5308333333333,134.199444444444,6.0,1956,1956-04-08,99,4.27,97.9,65.0,533.4
Japan/Tottori,35.4877777777778,134.238333333333,7.1,1957,1957-04-15,105,4.53,77.7,74.0,374.9
Japan/Tottori,35.5308333333333,134.199444444444,6.0,1957,1957-04-15,105,4.53,77.7,74.0,374.9
Japan/Tottori,35.4877777777778,134.238333333333,7.1,1958,1958-04-07,97,5.8,160.5,54.0,391.8
Japan/Tottori,35.5308333333333,134.199444444444,6.0,1958,1958-04-07,97,5.8,160.5,54.0,391.8
Japan/Tottori,35.4877777777778,134.238333333333,7.1,1959,1959-04-02,92,6.02,180.8,44.0,411.7
Japan/Tottori,35.5308333333333,134.199444444444,6.0,1959,1959-04-02,92,6.02,180.8,44.0,411.7
Japan/Tottori,35.4877777777778,134.238333333333,7.1,1960,1960-04-04,95,6.17,174.0,56.0,377.0
Japan/Tottori,35.5308333333333,134.199444444444,6.0,1960,1960-04-04,95,6.17,174.0,56.0,377.0
Japan/Tottori,35.4877777777778,134.238333333333,7.1,1961,1961-04-09,99,4.5,87.5,71.0,355.2
Japan/Tottori,35.5308333333333,134.199444444444,6.0,1961,1961-04-09,99,4.5,87.5,71.0,355.2
