location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Toyama,36.7094444444445,137.2025,8.6,1953,1953-04-12,102,0.3,10.5,88.0,439.9
Japan/Toyama,36.7094444444445,137.2025,8.6,1954,1954-04-08,98,0.92,32.6,86.0,400.4
Japan/Toyama,36.7094444444445,137.2025,8.6,1955,1955-04-10,100,0.63,6.4,85.0,424.8
Japan/Toyama,36.7094444444445,137.2025,8.6,1956,1956-04-15,106,-0.23,19.9,89.0,585.3
Japan/Toyama,36.7094444444445,137.2025,8.6,1957,1957-04-20,110,0.13,0.5,89.0,461.5
Japan/Toyama,36.7094444444445,137.2025,8.6,1958,1958-04-11,101,1.06,39.9,85.0,436.5
Japan/Toyama,36.7094444444445,137.2025,8.6,1959,1959-04-06,96,2.05,44.6,86.0,506.4
Japan/Toyama,36.7094444444445,137.2025,8.6,1960,1960-04-09,100,1.34,35.9,83.0,427.5
Japan/Toyama,36.7094444444445,137.2025,8.6,1961,1961-04-13,103,-0.51,1.6,89.0,394.8
Japan/Toyama,36.7094444444445,137.2025,8.6,1962,1962-04-13,103,0.13,4.2,86.0,423.9
Japan/Toyama,36.7094444444445,137.2025,8.6,1963,1963-04-14,104,-1.17,2.5,90.0,472.6
Japan/Toyama,36.7094444444445,137.2025,8.6,1964,1964-04-14,105,0.55,10.8,84.0,415.2
Japan/Toyama,36.7094444444445,137.2025,8.6,1965,1965-04-22,112,-0.5,0.0,89.0,443.9
Japan/Toyama,36.7094444444445,137.2025,8.6,1966,1966-04-15,105,0.79,10.2,87.0,578.7
Japan/Toyama,36.7094444444445,137.2025,8.6,1967,1967-04-13,103,-0.07,14.4,89.0,461.5
Japan/Toyama,36.7094444444445,137.2025,8.6,1968,1968-04-13,104,-0.65,10.7,90.0,479.8
Japan/Toyama,36.7094444444445,137.2025,8.6,1969,1969-04-15,105,0.38,13.4,76.0,512.9
Japan/Toyama,36.7094444444445,137.2025,8.6,1970,1970-04-19,109,-0.94,1.1,87.0,456.7
Japan/Toyama,36.7094444444445,137.2025,8.6,1971,1971-04-13,103,-0.28,13.4,90.0,373.1
Japan/Toyama,36.7094444444445,137.2025,8.6,1972,1972-04-13,104,2.47,61.9,87.0,505.3
Japan/Toyama,36.7094444444445,137.2025,8.6,1973,1973-04-11,101,1.02,29.8,84.0,490.3
Japan/Toyama,36.7094444444445,137.2025,8.6,1974,1974-04-17,107,-0.71,1.9,90.0,462.3
Japan/Toyama,36.7094444444445,137.2025,8.6,1975,1975-04-14,104,0.1,0.8,90.0,502.2
Japan/Toyama,36.7094444444445,137.2025,8.6,1976,1976-04-12,103,0.96,20.2,85.0,522.8
Japan/Toyama,36.7094444444445,137.2025,8.6,1977,1977-04-14,104,-0.54,8.8,90.0,492.3
Japan/Toyama,36.7094444444445,137.2025,8.6,1978,1978-04-18,108,-0.08,2.0,85.0,522.9
Japan/Toyama,36.7094444444445,137.2025,8.6,1979,1979-04-07,97,2.61,50.7,79.0,453.4
Japan/Toyama,36.7094444444445,137.2025,8.6,1980,1980-04-13,104,-0.28,9.0,85.0,474.8
Japan/Toyama,36.7094444444445,137.2025,8.6,1981,1981-04-14,104,-0.43,6.3,87.0,429.6
Japan/Toyama,36.7094444444445,137.2025,8.6,1982,1982-04-06,96,0.4,16.8,90.0,372.7
Japan/Toyama,36.7094444444445,137.2025,8.6,1983,1983-04-13,103,0.34,5.3,85.0,461.1
Japan/Toyama,36.7094444444445,137.2025,8.6,1984,1984-04-24,115,-2.17,0.3,89.0,412.6
Japan/Toyama,36.7094444444445,137.2025,8.6,1985,1985-04-14,104,0.23,6.6,86.0,453.4
Japan/Toyama,36.7094444444445,137.2025,8.6,1986,1986-04-15,105,-1.08,4.0,90.0,364.2
Japan/Toyama,36.7094444444445,137.2025,8.6,1987,1987-04-08,98,0.69,25.1,88.0,461.7
