location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1953,1953-04-12,102,5.93,153.4,69.0,185.1
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1954,1954-04-04,94,6.7,195.7,45.0,171.4
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1955,1955-04-05,95,6.11,163.8,64.0,201.8
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1956,1956-04-09,100,5.62,145.7,61.0,293.7
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1957,1957-04-13,103,5.42,110.1,69.0,178.6
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1958,1958-04-13,103,6.62,194.7,52.0,195.7
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1959,1959-04-01,91,7.25,250.6,39.0,308.0
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1960,1960-04-09,100,7.01,216.7,57.0,112.5
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1961,1961-04-09,99,5.46,121.9,69.0,176.4
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1962,1962-04-13,103,6.04,140.8,64.0,113.4
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1963,1963-04-10,100,4.52,85.9,69.0,138.0
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1964,1964-04-10,101,5.85,126.5,56.0,226.6
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1965,1965-04-17,107,5.21,84.8,66.0,161.1
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1966,1966-04-04,94,6.88,221.0,57.0,290.4
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1967,1967-04-05,95,5.83,146.7,71.0,243.6
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1968,1968-04-08,99,5.01,121.7,78.0,206.4
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1969,1969-04-11,101,6.11,163.0,48.0,273.5
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1970,1970-04-16,106,4.9,76.2,75.0,196.7
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1971,1971-04-07,97,5.86,141.1,65.0,170.3
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1972,1972-04-08,99,7.33,232.3,49.0,377.4
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1973,1973-04-13,103,6.79,187.8,52.0,175.2
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1974,1974-04-11,101,5.31,106.9,78.0,189.6
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1975,1975-04-09,99,5.5,119.5,69.0,214.8
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1976,1976-04-04,95,6.8,208.8,62.0,280.1
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1977,1977-04-04,94,5.52,168.0,63.0,255.4
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1978,1978-04-14,104,5.31,117.6,58.0,147.2
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1979,1979-04-09,99,7.28,228.1,46.0,286.5
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1980,1980-04-07,98,4.91,101.3,62.0,234.1
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1981,1981-04-05,95,5.1,118.5,81.0,216.6
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1982,1982-03-31,90,5.89,146.7,74.0,200.3
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1983,1983-04-08,98,6.1,142.9,66.0,198.5
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1984,1984-04-18,109,3.55,41.6,76.0,173.7
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1985,1985-04-06,96,6.17,164.6,69.0,287.2
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1986,1986-04-08,98,5.08,103.8,78.0,194.7
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1987,1987-04-06,96,6.37,177.2,52.0,229.4
Japan/Tsu,34.7341666666667,136.519722222222,2.7,1988,1988-04-11,102,6.15,153.7,58.0,222.2
