location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1953,1953-04-10,100,5.04,115.1,67.0,707.3
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1954,1954-04-05,95,5.93,166.3,47.0,543.7
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1955,1955-04-06,96,5.01,110.4,68.0,627.1
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1956,1956-04-11,102,4.32,101.0,63.0,889.1
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1957,1957-04-16,106,4.67,83.5,72.0,619.0
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1958,1958-04-08,98,5.65,156.0,51.0,604.5
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1959,1959-04-02,92,6.11,182.8,46.0,618.4
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1960,1960-04-03,94,6.12,172.4,58.0,539.2
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1961,1961-04-12,102,4.23,78.1,72.0,616.2
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1962,1962-04-10,100,5.02,99.9,67.0,700.2
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1963,1963-04-11,101,3.23,57.9,64.0,853.9
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1964,1964-04-11,102,4.97,83.6,63.0,586.5
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1965,1965-04-19,109,4.28,58.7,65.0,692.1
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1966,1966-04-05,95,5.84,164.8,54.0,846.9
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1967,1967-04-07,97,4.88,109.9,71.0,687.7
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1968,1968-04-11,102,3.96,75.6,79.0,777.3
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1969,1969-04-13,103,5.08,118.4,51.0,664.1
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1970,1970-04-17,107,3.72,49.5,74.0,698.0
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1971,1971-04-11,101,4.58,100.8,68.0,652.1
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1972,1972-04-09,100,6.55,183.9,52.0,623.1
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1973,1973-04-10,100,5.9,143.4,47.0,632.8
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1974,1974-04-12,102,4.02,63.3,78.0,647.9
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1975,1975-04-12,102,4.86,93.5,68.0,737.6
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1976,1976-04-08,99,5.79,159.2,59.0,701.2
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1977,1977-04-11,101,4.13,112.0,67.0,703.8
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1978,1978-04-15,105,4.46,85.5,63.0,735.4
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1979,1979-04-04,94,6.88,206.3,42.0,614.6
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1980,1980-04-11,102,4.24,73.2,62.0,716.4
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1981,1981-04-12,102,4.04,75.0,80.0,744.6
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1982,1982-04-05,95,4.95,111.9,73.0,530.7
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1983,1983-04-10,100,5.11,107.4,61.0,650.4
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1984,1984-04-18,109,2.57,19.1,79.0,755.5
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1985,1985-04-11,101,4.63,84.1,72.0,622.1
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1986,1986-04-14,104,3.43,50.6,78.0,643.9
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1987,1987-04-07,97,5.38,132.6,59.0,598.5
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1988,1988-04-16,107,5.19,112.1,58.0,598.2
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1989,1989-04-01,91,6.94,198.9,50.0,571.8
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1990,1990-03-30,89,6.19,173.5,57.0,539.3
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1991,1991-04-08,98,5.0,105.9,68.0,871.1
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1992,1992-04-03,94,6.25,165.0,56.0,568.1
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1993,1993-04-11,101,5.86,133.7,57.0,631.0
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1994,1994-04-08,98,4.87,80.4,61.0,481.0
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1995,1995-04-08,98,5.17,104.9,64.0,723.2
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1996,1996-04-14,105,4.62,91.7,75.0,652.2
