location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Urakawa,42.1625,142.776944444444,36.74,1953,1953-05-14,134,-4.34,0.0,90.0,248.5
Japan/Urakawa,42.1625,142.776944444444,36.74,1954,1954-05-13,133,-3.69,0.0,90.0,239.2
Japan/Urakawa,42.1625,142.776944444444,36.74,1955,1955-05-15,135,-4.24,0.0,90.0,272.7
Japan/Urakawa,42.1625,142.776944444444,36.74,1956,1956-05-11,132,-3.6,0.0,90.0,234.0
Japan/Urakawa,42.1625,142.776944444444,36.74,1957,1957-05-18,138,-4.35,0.0,90.0,157.8
Japan/Urakawa,42.1625,142.776944444444,36.74,1958,1958-05-16,136,-2.93,0.0,90.0,325.5
Japan/Urakawa,42.1625,142.776944444444,36.74,1959,1959-05-05,125,-2.94,0.0,90.0,253.1
Japan/Urakawa,42.1625,142.776944444444,36.74,1960,1960-05-18,139,-3.71,0.0,89.0,245.6
Japan/Urakawa,42.1625,142.776944444444,36.74,1961,1961-05-09,129,-4.21,0.0,90.0,202.8
Japan/Urakawa,42.1625,142.776944444444,36.74,1962,1962-05-08,128,-3.64,0.0,90.0,184.7
Japan/Urakawa,42.1625,142.776944444444,36.74,1963,1963-05-15,135,-3.01,0.0,90.0,202.2
Japan/Urakawa,42.1625,142.776944444444,36.74,1964,1964-05-16,137,-4.12,0.3,89.0,113.3
Japan/Urakawa,42.1625,142.776944444444,36.74,1965,1965-05-23,143,-3.45,0.0,90.0,209.6
Japan/Urakawa,42.1625,142.776944444444,36.74,1966,1966-05-16,136,-3.45,0.0,90.0,331.7
Japan/Urakawa,42.1625,142.776944444444,36.74,1967,1967-05-10,130,-4.06,0.0,90.0,164.7
Japan/Urakawa,42.1625,142.776944444444,36.74,1968,1968-05-14,135,-3.07,0.1,90.0,142.7
Japan/Urakawa,42.1625,142.776944444444,36.74,1969,1969-05-13,133,-4.73,0.0,88.0,184.7
Japan/Urakawa,42.1625,142.776944444444,36.74,1970,1970-05-15,135,-4.58,0.0,90.0,284.8
Japan/Urakawa,42.1625,142.776944444444,36.74,1971,1971-05-18,138,-3.47,0.0,90.0,259.9
