location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1953,1953-04-12,102,2.41,50.4,88.0,184.0
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1954,1954-04-07,97,2.12,63.5,81.0,150.5
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1955,1955-04-08,98,2.5,44.2,85.0,245.6
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1956,1956-04-15,106,1.72,66.4,88.0,259.2
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1957,1957-04-14,104,1.97,21.8,88.0,177.4
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1958,1958-04-11,101,2.98,67.3,85.0,179.0
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1959,1959-04-06,96,2.83,50.3,86.0,284.6
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1960,1960-04-08,99,3.3,62.7,86.0,121.2
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1961,1961-04-10,100,1.86,21.3,89.0,153.8
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1962,1962-04-12,102,2.28,18.4,86.0,158.4
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1963,1963-04-12,102,1.37,35.4,90.0,133.2
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1964,1964-04-11,102,2.03,14.6,85.0,253.4
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1965,1965-04-16,106,1.86,9.4,90.0,101.8
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1966,1966-04-07,97,3.27,71.4,83.0,271.0
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1967,1967-04-09,99,1.87,40.9,89.0,204.5
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1968,1968-04-09,100,1.65,51.3,87.0,185.0
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1969,1969-04-13,103,2.04,50.3,74.0,315.4
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1970,1970-04-19,109,0.76,14.1,85.0,175.3
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1971,1971-04-10,100,1.98,46.3,88.0,181.2
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1972,1972-04-05,96,3.43,71.6,88.0,343.6
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1973,1973-04-08,98,3.13,41.5,83.0,187.7
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1974,1974-04-12,102,1.37,16.0,90.0,209.4
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1975,1975-04-11,101,1.63,19.7,90.0,264.1
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1976,1976-04-11,102,3.18,56.0,87.0,227.6
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1977,1977-04-08,98,1.09,41.1,89.0,253.2
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1978,1978-04-16,106,1.32,14.2,89.0,168.2
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1979,1979-04-04,94,3.69,67.4,83.0,268.0
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1980,1980-04-13,104,1.13,19.8,84.0,227.7
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1981,1981-04-12,102,1.16,27.4,88.0,164.3
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1982,1982-04-07,97,2.39,48.2,90.0,162.3
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1983,1983-04-12,102,2.05,23.5,84.0,203.8
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1984,1984-04-24,115,-1.07,4.4,90.0,181.5
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1985,1985-04-11,101,1.88,25.2,85.0,338.5
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1986,1986-04-16,106,1.01,14.1,86.0,189.4
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1987,1987-04-08,98,2.53,51.6,86.0,210.3
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1988,1988-04-15,106,2.7,30.2,88.0,197.8
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1989,1989-04-06,96,4.05,59.4,86.0,340.1
