location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1953,1953-04-16,106,4.62,101.4,72.0,367.7
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1954,1954-04-11,101,5.38,145.9,51.0,356.5
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1955,1955-04-10,100,4.58,92.0,65.0,366.0
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1956,1956-04-16,107,3.92,85.7,63.0,514.7
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1957,1957-04-21,111,4.14,68.7,73.0,411.6
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1958,1958-04-15,105,5.43,143.0,58.0,401.4
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1959,1959-04-05,95,5.86,157.3,48.0,486.3
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1960,1960-04-11,102,5.47,143.7,60.0,422.7
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1961,1961-04-14,104,4.21,79.6,71.0,384.7
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1962,1962-04-15,105,4.88,88.5,67.0,406.0
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1963,1963-04-14,104,3.58,57.0,65.0,381.8
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1964,1964-04-14,105,4.46,60.9,67.0,340.3
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1965,1965-04-22,112,4.16,58.0,64.0,386.0
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1966,1966-04-14,104,5.31,143.0,56.0,462.3
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1967,1967-04-14,104,4.55,101.9,76.0,416.2
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1968,1968-04-17,108,4.07,83.8,76.0,463.4
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1969,1969-04-20,110,4.42,99.8,54.0,433.5
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1970,1970-04-23,113,3.19,42.8,71.0,400.2
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1971,1971-04-16,106,4.28,89.6,73.0,363.7
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1972,1972-04-14,105,6.13,161.9,53.0,456.8
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1973,1973-04-14,104,5.72,135.7,46.0,399.2
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1974,1974-04-19,109,3.8,55.8,75.0,452.6
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1975,1975-04-17,107,4.44,76.0,72.0,412.6
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1976,1976-04-19,110,5.24,131.0,66.0,480.1
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1977,1977-04-14,104,3.8,102.9,69.0,438.3
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1978,1978-04-19,109,4.03,77.8,62.0,423.5
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1979,1979-04-10,100,6.11,162.9,47.0,390.8
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1980,1980-04-15,106,3.99,72.0,62.0,456.6
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1981,1981-04-14,104,3.85,70.1,79.0,348.2
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1982,1982-04-11,101,4.63,101.7,69.0,323.2
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1983,1983-04-15,105,4.83,94.3,66.0,455.2
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1984,1984-04-28,119,2.33,14.6,80.0,445.7
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1985,1985-04-19,109,3.92,59.1,73.0,371.6
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1986,1986-04-18,108,3.34,49.1,80.0,341.7
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1987,1987-04-11,101,4.9,117.1,57.0,417.5
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1988,1988-04-20,111,4.42,95.5,62.0,372.6
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1989,1989-04-07,97,6.39,167.0,57.0,490.7
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1990,1990-04-07,97,5.8,153.7,60.0,387.9
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1991,1991-04-16,106,4.73,89.5,66.0,431.3
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1992,1992-04-09,100,5.8,139.0,58.0,439.7
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1993,1993-04-16,106,5.75,127.2,58.0,386.4
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1994,1994-04-15,105,4.33,68.7,61.0,333.0
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1995,1995-04-16,106,5.01,100.1,67.0,428.8
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1996,1996-04-22,113,4.37,83.0,74.0,443.7
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1997,1997-04-11,101,5.3,113.3,65.0,318.3
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1998,1998-04-09,99,5.69,134.5,59.0,416.0
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1999,1999-04-12,102,5.38,133.7,60.0,405.9
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2000,2000-04-17,108,4.85,103.0,63.0,443.6
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2001,2001-04-10,100,4.4,94.2,69.0,433.6
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2002,2002-04-02,92,6.41,186.9,64.0,534.5
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2003,2003-04-12,102,4.88,89.1,69.0,319.1
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2004,2004-04-06,97,5.78,153.5,60.0,372.4
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2005,2005-04-15,105,4.79,93.0,65.0,415.4
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2006,2006-04-15,105,4.71,100.8,78.0,391.7
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2007,2007-04-15,105,6.57,175.9,48.0,332.0
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2008,2008-04-11,102,5.37,133.3,60.0,342.9
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2009,2009-04-12,102,5.89,138.6,55.0,368.2
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2010,2010-04-14,104,5.29,121.5,61.0,533.4
